cbsa,period,num0,num1,wsum,fb0,fb1,h0,pop0,pop1,hc0,hn0,hn1,dlog,imm_pc,hisp_pc,_w,period_fe
35840,A,7.90493e+07,9.38023e+07,79302,84297,94588,0.112111,680316,752884,160,78798,96129,0.171117,0.0151268,0.0254749,680316,A
35840,B,1.02119e+08,1.41748e+08,86215,94962,109390,0.122716,758134,838837,160,96227,118855,0.327909,0.0190309,0.0298469,758134,B
35980,A,3.62662e+07,3.8363e+07,34652,23206,22586,0.0895696,267659,262995,63,23726,27198,0.0562068,-0.00231638,0.0129717,267659,A
36100,A,2.50308e+07,2.65589e+07,31108,25036,25457,0.103287,330817,344156,60,37189,44192,0.0592552,0.00127261,0.0211688,330817,A
36100,B,2.78499e+07,3.83221e+07,32499,24952,33796,0.11397,338095,373541,59,43463,60765,0.319196,0.0261583,0.051175,338095,B
36140,A,1.1109e+07,1.17098e+07,10663,5174,4488,0.0611941,95646,92846,31,6162,6980,0.0526728,-0.00717228,0.00855239,95646,A
36140,B,9.43137e+06,1.18673e+07,8547,4300,4406,0.0715298,87155,87918,28,6892,7560,0.229747,0.00121622,0.00766447,87155,B
36220,A,1.35579e+07,1.72285e+07,17140,19380,20869,0.531709,141542,158342,28,76718,94453,0.239594,0.0105198,0.125298,141542,A
36220,B,1.79385e+07,2.20936e+07,17855,20869,27036,0.587779,158342,163206,28,94453,101602,0.208337,0.0389473,0.0451492,158342,B
36260,A,3.85504e+07,4.4217e+07,46457,31298,34133,0.137578,559940,600754,107,68895,79735,0.137141,0.00506304,0.0193592,559940,A
36260,B,4.71794e+07,6.70493e+07,49026,34218,37269,0.149402,606091,653138,108,80232,94644,0.35147,0.0050339,0.0237786,606091,B
36420,A,1.28679e+08,1.42625e+08,166399,97623,106195,0.12913,1236608,1323736,333,146278,176095,0.102894,0.00693187,0.0241119,1236608,A
36420,B,1.58357e+08,1.96728e+08,180809,105426,114248,0.147403,1299215,1376193,326,173267,214686,0.216969,0.00679025,0.03188,1299215,B
36500,A,3.46968e+07,3.9949e+07,33436,19504,21311,0.0726659,256080,274684,49,19128,23964,0.140958,0.00705639,0.0188847,256080,A
36500,B,4.74606e+07,6.38994e+07,39279,21311,25144,0.0862152,274684,296640,49,23964,30528,0.29741,0.0139542,0.0238966,274684,B
36540,A,8.76917e+07,9.92528e+07,110210,57429,64143,0.0985878,809401,846056,235,78590,91825,0.123842,0.00829502,0.0163516,809401,A
36540,B,1.09773e+08,1.3923e+08,121017,64452,73182,0.11227,850838,891039,236,91711,110791,0.237708,0.0102605,0.0224249,850838,B
36740,A,2.93251e+08,3.32007e+08,281359,349583,434167,0.237322,2151464,2417157,377,564266,725029,0.124127,0.0393146,0.0747226,2151464,A
36740,B,3.96275e+08,5.48037e+08,333211,433209,547666,0.274028,2394516,2676361,367,723837,877069,0.324234,0.0477996,0.0639929,2394516,B
36780,A,1.51663e+07,1.74128e+07,22946,5415,5986,0.0350461,167860,169926,41,6001,6789,0.138129,0.00340164,0.00469436,167860,A
36780,B,1.85122e+07,2.27801e+07,24570,5986,5679,0.0401916,169926,171357,41,6789,8464,0.207458,-0.00180667,0.00985724,169926,B
36980,A,7.77315e+06,8.84817e+06,12710,2013,3068,0.0265377,115362,117987,29,2780,3267,0.129536,0.00914513,0.00422149,115362,A
36980,B,1.02585e+07,1.25026e+07,14583,3063,3959,0.027155,115304,119022,28,3204,4424,0.197837,0.00777076,0.0105807,115304,B
37100,A,1.16651e+08,1.36678e+08,82927,158341,157341,0.445788,624813,642714,130,299407,319048,0.158442,-0.00160048,0.031435,624813,A
37100,B,1.62009e+08,2.11942e+08,95007,173242,172289,0.425984,762624,762142,150,343717,354996,0.268658,-0.00124963,0.0147897,762624,B
37340,A,5.38213e+07,6.05687e+07,58251,47393,49551,0.0778978,541071,572388,109,46073,57565,0.118109,0.00398839,0.0212394,541071,A
37340,B,6.39591e+07,8.97588e+07,61147,48528,58456,0.0937211,558962,604415,106,56798,71894,0.338882,0.0177615,0.0270072,558962,B
37460,A,2.51277e+07,2.7444e+07,26901,8851,10944,0.051613,186497,198537,46,9281,12213,0.0881785,0.0112227,0.0157215,186497,A
37460,B,2.55871e+07,3.52973e+07,25515,10386,15053,0.0597752,192096,195761,44,11284,15823,0.321715,0.0242951,0.0236288,192096,B
37620,A,6.14502e+06,6.84409e+06,9978,682,918,0.00823531,92575,91353,28,777,1012,0.107743,0.00254928,0.00253848,92575,A
37620,B,7.35533e+06,8.39764e+06,10669,901,858,0.0105279,88240,86154,27,967,1170,0.132525,-0.000487307,0.00230053,88240,B
37860,A,5.07906e+07,5.58062e+07,55242,23650,23477,0.04634,456374,481964,96,22120,26492,0.0941731,-0.000379075,0.00957986,456374,A
37860,B,6.10803e+07,7.97919e+07,60761,23409,27312,0.0530298,475202,508868,94,26181,33777,0.267233,0.00821335,0.0159848,475202,B
37900,A,2.98294e+07,3.28321e+07,42969,12118,13390,0.0352816,373308,367593,93,10985,12366,0.095912,0.00340737,0.00369936,373308,A
37900,B,3.21453e+07,3.83061e+07,41512,13163,14882,0.0375982,360656,354105,91,12120,14748,0.175345,0.00476631,0.00728674,360656,B
37980,A,6.96868e+08,7.78862e+08,688055,544291,609030,0.0821767,5484331,5567518,1327,467908,539334,0.111237,0.0118044,0.0130237,5484331,A
37980,B,8.28357e+08,1.04398e+09,723217,607078,667969,0.0937722,5511851,5667748,1319,533938,618819,0.231349,0.0110473,0.0153997,5511851,B
38060,A,4.88638e+08,5.54551e+08,517417,548182,595454,0.312665,3633957,3956466,828,1.14523e+06,1.29287e+06,0.126538,0.0130084,0.0406284,3633957,A
38060,B,6.41815e+08,9.25588e+08,591721,617068,625083,0.315036,4173643,4413617,864,1.33276e+06,1.41012e+06,0.366128,0.00192038,0.0185356,4173643,B
38220,A,7.60996e+06,8.3866e+06,12088,1322,1492,0.0163423,96862,90667,29,1745,2013,0.0971773,0.00175507,0.00276683,96862,A
38220,B,8.42565e+06,9.70164e+06,11893,1492,1564,0.0186188,90667,84675,29,2013,2214,0.141015,0.000794115,0.00221691,90667,B
38300,A,2.09203e+08,2.38429e+08,291431,74318,84414,0.0146734,2247473,2228752,665,30919,38041,0.130766,0.00449216,0.00316889,2247473,A
38300,B,2.44512e+08,3.07768e+08,293540,83025,94288,0.0179655,2181385,2211998,641,37062,51182,0.230082,0.00516323,0.00647295,2181385,B
38340,A,1.33352e+07,1.49473e+07,17461,6343,8148,0.0310965,128752,125614,38,4703,5807,0.114118,0.0140192,0.00857465,128752,A
38340,B,1.43944e+07,1.83523e+07,16875,8048,7484,0.041889,121048,121757,36,5653,7044.01,0.242915,-0.00465931,0.0114913,121048,B
38540,A,5.58502e+06,6.30541e+06,9284,2398,3213,0.0752747,76792,78682,20,5450,6592.01,0.12132,0.0106131,0.0148713,76792,A
38540,B,6.52394e+06,8.37659e+06,9647,3213,2635,0.0852057,78682,80986,20,6592.01,7792,0.249962,-0.00734603,0.0152512,78682,B
38860,A,5.84908e+07,6.50945e+07,62669,23253,25818,0.0169734,509643,522263,112,8294,9865,0.106971,0.00503293,0.00308256,509643,A
38860,B,6.44696e+07,8.71479e+07,62548,25576,28799,0.0199898,514049,542565,110,9780,12973,0.301413,0.00626983,0.00621147,514049,B
38900,A,3.22529e+08,3.99955e+08,334438,276209,299310,0.106099,2221535,2375093,479,247132,282734,0.21516,0.0103987,0.0160258,2221535,A
38900,B,4.19251e+08,5.72578e+08,348380,299336,308707,0.115801,2358983,2452079,472,281642,335789,0.311679,0.00397247,0.0229535,2358983,B
38940,A,4.24471e+07,4.92015e+07,42709,55780,65685,0.133758,420231,453396,74,65296,77040,0.147667,0.0235704,0.0279465,420231,A
38940,B,5.02728e+07,6.6405e+07,43708,65423,78197,0.15201,449015,493388,73,76937,96515,0.278308,0.0284489,0.043602,449015,B
