outcome,treat,arm,coef,se,t,n,cbsa_periods
rent,fb,forward_priceB_on_shareA,-0.0344313,0.0170735,-2.01665,54920,377
rent,fb,placebo_priceA_on_shareB,-0.0187751,0.0139133,-1.34944,54819,377
rent,fb,same_period_A,-0.044113,0.0145041,-3.04143,54823,377
rent,fb,same_period_B,0.011243,0.0124371,0.903985,55151,377
rent,hisp,forward_priceB_on_shareA,-0.0161972,0.0114369,-1.41621,54920,377
rent,hisp,placebo_priceA_on_shareB,-0.0216399,0.00936554,-2.31059,54819,377
rent,hisp,same_period_A,-0.0714789,0.0134481,-5.31515,54823,377
rent,hisp,same_period_B,-0.0365735,0.0145478,-2.51402,55151,377
rent,mex,forward_priceB_on_shareA,-0.0175829,0.0152669,-1.1517,54920,377
rent,mex,placebo_priceA_on_shareB,-0.0228315,0.0111333,-2.05073,54819,377
rent,mex,same_period_A,-0.0648716,0.0233245,-2.78126,54823,377
rent,mex,same_period_B,-0.0541307,0.0121919,-4.43991,55151,377
value,fb,forward_priceB_on_shareA,0.00366515,0.0150967,0.242779,56117,377
value,fb,placebo_priceA_on_shareB,-0.0248603,0.0132413,-1.87748,56512,377
value,fb,same_period_A,-0.045739,0.0166576,-2.74583,56517,377
value,fb,same_period_B,0.0283158,0.0155529,1.82061,56376,377
value,hisp,forward_priceB_on_shareA,0.0669106,0.0128663,5.20045,56117,377
value,hisp,placebo_priceA_on_shareB,-0.0655063,0.0145098,-4.51461,56512,377
value,hisp,same_period_A,-0.0977058,0.0197966,-4.93547,56517,377
value,hisp,same_period_B,-0.00906357,0.0134056,-0.676102,56376,377
value,mex,forward_priceB_on_shareA,0.0683034,0.0161787,4.22181,56117,377
value,mex,placebo_priceA_on_shareB,-0.0502336,0.0132096,-3.80282,56512,377
value,mex,same_period_A,-0.109845,0.0219925,-4.99464,56517,377
value,mex,same_period_B,-0.0442303,0.0158348,-2.79323,56376,377
