outcome,treat,sample,period,arm,coef,se,t,n,clusters,cbsa_periods,F_first,J_p,r2
value,fb,sw,A,iv_gravity_full,5.53703,3.69399,1.49893,21765,85,85,3.02659,0.271261,
value,fb,sw,A,iv_gravity_full_beta2,4.42888,2.53763,1.74528,21765,85,85,6.86923,0.834915,
value,fb,sw,A,iv_gravity_simple,2.92751,1.07273,2.72904,21765,85,85,7.51678,,
value,fb,sw,A,iv_shiftshare,-0.614273,0.606969,-1.01203,21765,85,85,27.8623,,
value,fb,sw,A,ols1_feonly,-0.0252696,0.0286509,-0.881982,21765,85,85,,,7.63328e-05
value,fb,sw,A,ols2_baseline,-0.0242984,0.0271187,-0.896004,21765,85,85,,,0.0350315
value,fb,sw,A,ols3_meanrev,-0.0429712,0.0251219,-1.71051,21765,85,85,,,0.0649008
value,fb,sw,B,iv_gravity_full,-4.22724,4.40579,-0.959474,23604,84,84,1.06605,0.000875629,
value,fb,sw,B,iv_gravity_full_beta2,4.09043,2.11505,1.93396,23604,84,84,3.40571,0.474826,
value,fb,sw,B,iv_gravity_simple,-3.29875,1.74998,-1.88502,23604,84,84,8.73159,,
value,fb,sw,B,iv_shiftshare,1.48046,0.485549,3.04904,23604,84,84,45.6273,,
value,fb,sw,B,ols1_feonly,0.0494148,0.0351555,1.40561,23604,84,84,,,0.000293509
value,fb,sw,B,ols2_baseline,0.0542951,0.0220219,2.4655,23604,84,84,,,0.158381
value,fb,sw,B,ols3_meanrev,0.0261474,0.0194201,1.34641,23604,84,84,,,0.218645
value,fb,sw,pooled,iv_gravity_full,-0.96736,6.0023,-0.161165,45369,133,169,0.307013,0.000223972,
value,fb,sw,pooled,iv_gravity_full_beta2,4.07219,1.8365,2.21737,45369,133,169,3.12622,0.0671421,
value,fb,sw,pooled,iv_gravity_simple,-1.78676,2.39424,-0.746275,45369,133,169,5.39549,,
value,fb,sw,pooled,iv_shiftshare,0.427816,0.304462,1.40515,45369,133,169,38.4225,,
value,fb,sw,pooled,ols1_feonly,0.0181523,0.0236484,0.767593,45369,133,169,,,3.95156e-05
value,fb,sw,pooled,ols2_baseline,0.0458877,0.019871,2.30928,45369,133,169,,,0.0529351
value,fb,sw,pooled,ols3_meanrev,0.0213084,0.0178212,1.19567,45369,133,169,,,0.0986763
value,hisp,full,A,iv_gravity_full,-4.29628,3.77944,-1.13675,57348,381,381,1.11246,0.57037,
value,hisp,full,A,iv_gravity_simple,3.1693,1.10118,2.87809,57348,381,381,20.8192,,
value,hisp,full,A,iv_shiftshare,8.47853,20.6264,0.411052,57348,381,381,0.253936,,
value,hisp,full,A,ols1_feonly,-0.106334,0.0208972,-5.08843,57348,381,381,,,0.00159813
value,hisp,full,A,ols2_baseline,-0.0984931,0.0195363,-5.04155,57348,381,381,,,0.0384155
value,hisp,full,A,ols3_meanrev,-0.117403,0.0162028,-7.24587,57348,381,381,,,0.0503733
value,hisp,full,B,iv_gravity_full,0.805951,1.42927,0.563889,56223,377,377,2.83421,0.263205,
value,hisp,full,B,iv_gravity_simple,-1.54904,4.70663,-0.32912,56223,377,377,1.03438,,
value,hisp,full,B,iv_shiftshare,15.8278,65.6617,0.241051,56223,377,377,0.0560658,,
value,hisp,full,B,ols1_feonly,0.00222333,0.0175779,0.126485,56223,377,377,,,7.88745e-07
value,hisp,full,B,ols2_baseline,-0.0131975,0.0132174,-0.998498,56223,377,377,,,0.105513
value,hisp,full,B,ols3_meanrev,-0.0560176,0.0129057,-4.34052,56223,377,377,,,0.161202
value,hisp,full,pooled,iv_gravity_full,-1.62202,1.25858,-1.28878,113571,381,758,3.44272,0.342966,
value,hisp,full,pooled,iv_gravity_simple,2.21482,1.30357,1.69904,113571,381,758,8.27447,,
value,hisp,full,pooled,iv_shiftshare,-5.52112,84.0515,-0.0656873,113571,381,758,0.00445424,,
value,hisp,full,pooled,ols1_feonly,-0.0443441,0.0144937,-3.05955,113571,381,758,,,0.00029732
value,hisp,full,pooled,ols2_baseline,-0.0501147,0.0138084,-3.62929,113571,381,758,,,0.0337166
value,hisp,full,pooled,ols3_meanrev,-0.0828016,0.012801,-6.46836,113571,381,758,,,0.0672079
value,hisp,sw,A,iv_gravity_full,10.9596,34.7368,0.315505,21765,85,85,0.0735311,0.0412671,
value,hisp,sw,A,iv_gravity_simple,0.43206,1.17034,0.369176,21765,85,85,10.9419,,
value,hisp,sw,A,iv_shiftshare,9.53064,31.9915,0.297912,21765,85,85,0.100939,,
value,hisp,sw,A,ols1_feonly,-0.0989465,0.0297891,-3.32157,21765,85,85,,,0.00161281
value,hisp,sw,A,ols2_baseline,-0.0884784,0.0261949,-3.3777,21765,85,85,,,0.0362261
value,hisp,sw,A,ols3_meanrev,-0.117071,0.0261018,-4.48517,21765,85,85,,,0.066887
value,hisp,sw,B,iv_gravity_full,-1.08594,1.57127,-0.691122,23604,84,84,3.23756,0.00952399,
value,hisp,sw,B,iv_gravity_simple,-7.53019,11.0796,-0.679645,23604,84,84,0.719731,,
value,hisp,sw,B,iv_shiftshare,4.30496,2.7224,1.58131,23604,84,84,3.23648,,
value,hisp,sw,B,ols1_feonly,0.0270586,0.0269966,1.0023,23604,84,84,,,0.000122478
value,hisp,sw,B,ols2_baseline,-0.0149215,0.0185908,-0.802625,23604,84,84,,,0.158067
value,hisp,sw,B,ols3_meanrev,-0.0607895,0.0168874,-3.59969,23604,84,84,,,0.219168
value,hisp,sw,pooled,iv_gravity_full,2.10424,2.62998,0.800098,45369,133,169,0.899667,0.118908,
value,hisp,sw,pooled,iv_gravity_simple,-2.15367,1.57099,-1.3709,45369,133,169,7.2314,,
value,hisp,sw,pooled,iv_shiftshare,0.10751,2.91715,0.0368545,45369,133,169,1.12941,,
value,hisp,sw,pooled,ols1_feonly,-0.0253849,0.0221366,-1.14674,45369,133,169,,,0.000107106
value,hisp,sw,pooled,ols2_baseline,-0.0413062,0.0211649,-1.95163,45369,133,169,,,0.052963
value,hisp,sw,pooled,ols3_meanrev,-0.0802375,0.0207684,-3.86344,45369,133,169,,,0.099668
value,mex,full,A,iv_gravity_full,1.25265,2.1776,0.575244,57348,381,381,1.94606,0.139388,
value,mex,full,A,iv_gravity_simple,4.77863,1.98496,2.40742,57348,381,381,7.02599,,
value,mex,full,A,iv_shiftshare,-1.61552,0.361095,-4.47395,57348,381,381,140.819,,
value,mex,full,A,ols1_feonly,-0.116312,0.0238178,-4.8834,57348,381,381,,,0.00132862
value,mex,full,A,ols2_baseline,-0.110868,0.0220572,-5.0264,57348,381,381,,,0.0382636
value,mex,full,A,ols3_meanrev,-0.129146,0.0221592,-5.8281,57348,381,381,,,0.0500844
value,mex,full,B,iv_gravity_full,0.367323,1.20063,0.305942,56223,377,377,1.25471,0.0507147,
value,mex,full,B,iv_gravity_simple,-0.768729,2.75926,-0.2786,56223,377,377,1.19195,,
value,mex,full,B,iv_shiftshare,-0.777875,0.227636,-3.41719,56223,377,377,183.471,,
value,mex,full,B,ols1_feonly,-0.072292,0.02195,-3.29349,56223,377,377,,,0.000567003
value,mex,full,B,ols2_baseline,-0.0484708,0.0158245,-3.06302,56223,377,377,,,0.105738
value,mex,full,B,ols3_meanrev,-0.0823517,0.0173773,-4.73902,56223,377,377,,,0.161438
value,mex,full,pooled,iv_gravity_full,1.06324,1.12418,0.945788,113571,381,758,1.49112,0.571468,
value,mex,full,pooled,iv_gravity_simple,13.9453,28.1113,0.496075,113571,381,758,0.193748,,
value,mex,full,pooled,iv_shiftshare,-1.09711,0.18199,-6.02839,113571,381,758,185.135,,
value,mex,full,pooled,ols1_feonly,-0.091409,0.0177358,-5.15394,113571,381,758,,,0.000867099
value,mex,full,pooled,ols2_baseline,-0.0846415,0.0176377,-4.79891,113571,381,758,,,0.0340794
value,mex,full,pooled,ols3_meanrev,-0.112649,0.0187827,-5.99751,113571,381,758,,,0.0674937
value,mex,sw,A,iv_gravity_full,-2.12722,1.89233,-1.12413,21765,85,85,2.7578,0.0250709,
value,mex,sw,A,iv_gravity_simple,-0.000923492,6.36626,-0.00014506,21765,85,85,0.788074,,
value,mex,sw,A,iv_shiftshare,-1.00554,0.490767,-2.04891,21765,85,85,166.171,,
value,mex,sw,A,ols1_feonly,-0.154865,0.033258,-4.65647,21765,85,85,,,0.00272599
value,mex,sw,A,ols2_baseline,-0.140244,0.0304034,-4.61275,21765,85,85,,,0.0371721
value,mex,sw,A,ols3_meanrev,-0.171564,0.0285523,-6.00875,21765,85,85,,,0.067979
value,mex,sw,B,iv_gravity_full,0.341982,0.468862,0.729388,23604,84,84,6.76347,0.0106992,
value,mex,sw,B,iv_gravity_simple,0.764416,1.85738,0.411557,23604,84,84,1.66918,,
value,mex,sw,B,iv_shiftshare,-0.558586,0.296064,-1.8867,23604,84,84,84.4129,,
value,mex,sw,B,ols1_feonly,-0.0841847,0.0315524,-2.66809,23604,84,84,,,0.000603014
value,mex,sw,B,ols2_baseline,-0.0501966,0.0181303,-2.76866,23604,84,84,,,0.158244
value,mex,sw,B,ols3_meanrev,-0.0844166,0.0217182,-3.88691,23604,84,84,,,0.219164
value,mex,sw,pooled,iv_gravity_full,-0.715863,0.958942,-0.746513,45369,133,169,7.62963,0.0501725,
value,mex,sw,pooled,iv_gravity_simple,57.9317,919.834,0.0629807,45369,133,169,0.00374885,,
value,mex,sw,pooled,iv_shiftshare,-0.407031,0.220782,-1.84359,45369,133,169,156.35,,
value,mex,sw,pooled,ols1_feonly,-0.118933,0.0251989,-4.71978,45369,133,169,,,0.00137331
value,mex,sw,pooled,ols2_baseline,-0.10555,0.0240838,-4.38259,45369,133,169,,,0.0537562
value,mex,sw,pooled,ols3_meanrev,-0.140084,0.0257245,-5.44556,45369,133,169,,,0.100506
