fiscal_year,group,in_matched_tracts,unmatched_share,q1_share,q2_share,q3_share,q4_share,q5_share
FY23,all_population,330931752,0.00413,0.19243,0.1938,0.19677,0.20107,0.21594
FY23,us_born_all,285025886,0.0042,0.19405,0.19618,0.19838,0.201,0.21039
FY23,us_born_nh_white,192794432,0.00276,0.14536,0.19286,0.20697,0.21574,0.23907
FY23,mexican_origin_all,37293657,0.00394,0.2476,0.22934,0.21298,0.18626,0.12382
FY23,mexico_born,10779548,0.00334,0.26617,0.2479,0.21945,0.17148,0.095
FY23,us_born_mexican_origin,26548606,0.00426,0.24005,0.22174,0.21037,0.19226,0.13557
FY23,india_born,2768674,0.00239,0.05152,0.07397,0.11383,0.20791,0.55278
FY23,asian_indian_all,4420853,0.00381,0.05887,0.07424,0.11624,0.20115,0.54951
FY23,us_born_asian_indian,1744565,0.00594,0.07485,0.07981,0.1239,0.19233,0.5291
FY23,youth_18_24_all,29760193,0.01781,0.26219,0.20113,0.18873,0.17635,0.17161
FY23,youth_18_24_nh_white,15363222,0.01844,0.22896,0.19791,0.1936,0.18483,0.1947
FY23,youth_18_24_hispanic,7052069,0.01216,0.2672,0.22444,0.20575,0.17729,0.12532
FY23,youth_18_24_asian,6059090,0.01202,0.0963,0.08879,0.12706,0.19928,0.48856
FY23,teen_15_17_all,13018299,0.00199,0.18719,0.18828,0.1931,0.19617,0.23527
FY23,teen_15_17_nh_white,6491728,0.00108,0.12111,0.17924,0.20074,0.21568,0.28322
FY23,teen_15_17_hispanic,3291392,0.00206,0.24025,0.21903,0.20764,0.18432,0.14876
FY23,teen_15_17_asian,648251,0.00285,0.07671,0.10227,0.14167,0.20601,0.47334
FY23,households,127238222,0.00177,0.19893,0.19893,0.19891,0.1989,0.20433
FY23,dod_nps_accessions,126578,,0.17883,0.28066,0.24153,0.19827,0.1007
FY22,all_population,330931752,0.00413,0.16316,0.18458,0.19702,0.21412,0.24112
FY22,us_born_all,285025886,0.0042,0.16436,0.18689,0.19883,0.21428,0.23565
FY22,us_born_nh_white,192794432,0.00276,0.11834,0.18005,0.20591,0.22885,0.26685
FY22,mexican_origin_all,37293657,0.00394,0.20974,0.22377,0.21818,0.205,0.14331
FY22,mexico_born,10779548,0.00334,0.22629,0.24135,0.22794,0.19316,0.11126
FY22,us_born_mexican_origin,26548606,0.00426,0.20303,0.21652,0.21422,0.20984,0.15638
FY22,india_born,2768674,0.00239,0.04341,0.06512,0.1025,0.20363,0.58534
FY22,asian_indian_all,4420853,0.00381,0.0497,0.06655,0.10477,0.19811,0.58088
FY22,us_born_asian_indian,1744565,0.00594,0.06346,0.07376,0.11232,0.19202,0.55846
FY22,youth_18_24_all,29760193,0.01781,0.22983,0.19569,0.19116,0.19056,0.19276
FY22,youth_18_24_nh_white,15363222,0.01844,0.19912,0.1891,0.19554,0.19873,0.21751
FY22,youth_18_24_hispanic,7052069,0.01216,0.22971,0.22097,0.20919,0.1956,0.14453
FY22,youth_18_24_asian,6059090,0.01202,0.08401,0.08197,0.11752,0.19783,0.51867
FY22,teen_15_17_all,13018299,0.00199,0.15879,0.1794,0.19316,0.2081,0.26055
FY22,teen_15_17_nh_white,6491728,0.00108,0.09686,0.16607,0.19809,0.22648,0.3125
FY22,teen_15_17_hispanic,3291392,0.00206,0.20521,0.21291,0.21137,0.2017,0.16882
FY22,teen_15_17_asian,648251,0.00285,0.06385,0.09282,0.13397,0.20456,0.5048
FY22,households,127238222,0.00177,0.16857,0.19009,0.19957,0.21289,0.22887
FY22,dod_nps_accessions,125961,,0.174,0.26252,0.23625,0.20926,0.11797
