group,sex,age_band,share_outside_birth_state,share_se,ever_rate_stayers,ever_se_stayers,ratio_stayers,ratio_se_stayers,records_stayers,ever_rate_movers,ever_se_movers,ratio_movers,ratio_se_movers,records_movers
usb_mexican_hisp,men,18_49,0.224342,0.00125412,0.0358303,0.000755322,0.80701,0.0175113,122071,0.122044,0.00206797,1.05597,0.0183592,35564
usb_mexican_hisp,men,25_49,0.246354,0.00162748,0.0479081,0.00106651,0.882348,0.020406,79188,0.121457,0.00231096,1.00552,0.0194033,25061
usb_mexican_hisp,men,25_34,0.231505,0.0019886,0.0354679,0.00113571,0.834219,0.0289164,42587,0.118531,0.00266733,1.10068,0.0259182,12571
usb_mexican_hisp,men,18_plus_born_1956_on,0.234892,0.00119426,0.0473366,0.000643994,0.736462,0.010252,147778,0.130996,0.00191548,0.937246,0.0138912,45390
usb_mexican_hisp,women,18_49,0.225263,0.00129583,0.00677032,0.000280556,0.981869,0.0433935,118476,0.0323363,0.00105899,1.39975,0.0487311,34449
usb_mexican_hisp,women,25_49,0.248111,0.00162416,0.00860558,0.000403442,1.03786,0.0528997,77558,0.0312072,0.00120094,1.28007,0.0539613,24882
usb_mexican_hisp,women,25_34,0.238721,0.0021293,0.00715557,0.000425367,1.20181,0.0741105,40914,0.029739,0.00181436,1.40646,0.0957246,12569
usb_mexican_hisp,women,18_plus_born_1956_on,0.235604,0.00123471,0.00744006,0.00025719,0.907633,0.0331963,146762,0.0309472,0.000897313,1.22179,0.0389482,45146
usb_mexican_ancestry,men,18_49,0.207896,0.00180926,0.0336735,0.000869132,0.758433,0.0202122,78080,0.127705,0.00299649,1.10495,0.0263386,20906
usb_mexican_ancestry,men,25_49,0.229441,0.00226416,0.0449122,0.00125439,0.82717,0.0239438,50575,0.119881,0.00336108,0.992464,0.0279794,14643
usb_mexican_ancestry,men,25_34,0.214688,0.00276118,0.0329051,0.00125963,0.773942,0.0313936,27178,0.116537,0.00399133,1.08216,0.0374985,7365
usb_mexican_ancestry,men,18_plus_born_1956_on,0.21863,0.00173126,0.0445084,0.000753298,0.692461,0.0117043,94416,0.135835,0.00272546,0.971866,0.0203301,26675
usb_mexican_ancestry,women,18_49,0.207499,0.00180254,0.00565593,0.000312238,0.820254,0.0461523,76683,0.0336165,0.00159908,1.45516,0.0718538,20362
usb_mexican_ancestry,women,25_49,0.230816,0.00225407,0.00736762,0.00046433,0.888562,0.0578578,50004,0.0297929,0.0016796,1.22206,0.0737495,14698
usb_mexican_ancestry,women,25_34,0.222368,0.00256497,0.00573081,0.000493649,0.962511,0.0860097,26341,0.0293827,0.0023582,1.38961,0.121148,7477
usb_mexican_ancestry,women,18_plus_born_1956_on,0.218656,0.00159714,0.00616094,0.000297964,0.75159,0.0368738,94724,0.0314772,0.00137571,1.24272,0.0572283,26842
usb_asian_indian_ancestry,men,18_49,0.501422,0.00898922,0.00370607,0.000901116,0.0834724,0.0202968,3160,0.0183787,0.00232061,0.15902,0.020032,3180
usb_asian_indian_ancestry,men,25_49,0.545949,0.0101838,0.00343689,0.00123868,0.0632988,0.022817,1705,0.0226206,0.00330273,0.18727,0.0272784,2002
usb_asian_indian_ancestry,men,25_34,0.519662,0.0141897,0.00172032,0.00119882,0.0404627,0.0281289,914,0.0189965,0.0048737,0.176402,0.0451205,950
usb_asian_indian_ancestry,men,18_plus_born_1956_on,0.508079,0.0086625,0.00445924,0.00104869,0.0693769,0.0163077,3346,0.0189765,0.00234726,0.135772,0.0167208,3447
usb_asian_indian_ancestry,women,18_49,0.523646,0.00914438,0.00125881,0.000970892,0.182559,0.141564,2893,0.00402448,0.00128013,0.174208,0.0556912,3142
usb_asian_indian_ancestry,women,25_49,0.567552,0.0120343,0.000684679,0.000688903,0.0825748,0.0831149,1571,0.00500123,0.00133067,0.205142,0.0547502,1889
usb_asian_indian_ancestry,women,25_34,0.546348,0.0170922,0,0,0,0,867,0.00406423,0.00169973,0.192212,0.0804329,910
usb_asian_indian_ancestry,women,18_plus_born_1956_on,0.534958,0.00866065,0.00120215,0.000927416,0.146654,0.113636,3055,0.00421942,0.00120779,0.166583,0.0476597,3454
usb_asian_indian_race,men,18_49,0.476666,0.00756374,0.0131236,0.0022903,0.295585,0.0516677,4586,0.0214307,0.00239734,0.185427,0.0204455,4085
usb_asian_indian_race,men,25_49,0.520242,0.0081616,0.0183392,0.00406584,0.337761,0.0748682,2429,0.0266834,0.00354275,0.220905,0.0290032,2566
usb_asian_indian_race,men,25_34,0.493914,0.0109718,0.0122905,0.00353668,0.289077,0.0833554,1358,0.0211633,0.00552512,0.196523,0.0507918,1263
usb_asian_indian_race,men,18_plus_born_1956_on,0.48101,0.00717772,0.014023,0.00229572,0.218169,0.0356297,4900,0.0251415,0.00275828,0.179881,0.0195851,4438
usb_asian_indian_race,women,18_49,0.499409,0.00722668,0.00356365,0.00109236,0.516819,0.159777,4212,0.00611447,0.00171474,0.264678,0.0743709,4128
usb_asian_indian_race,women,25_49,0.542966,0.0101493,0.00283269,0.00118267,0.341633,0.14281,2301,0.00522135,0.0012361,0.214171,0.0505396,2537
usb_asian_indian_race,women,25_34,0.522218,0.0126475,0.0042357,0.00197445,0.711403,0.328304,1297,0.00519316,0.00176963,0.245603,0.0843183,1241
usb_asian_indian_race,women,18_plus_born_1956_on,0.504438,0.00712049,0.00333732,0.0010245,0.407128,0.125782,4523,0.00598338,0.00158031,0.236224,0.0618906,4524
usb_nh_white,men,18_49,0.36203,0.000612235,0.0443988,0.000287533,1,0,708332,0.115575,0.000546615,1,0,392650
usb_nh_white,men,25_49,0.381816,0.00068454,0.0542962,0.000375209,1,0,544849,0.120791,0.000582678,1,0,321662
usb_nh_white,men,25_34,0.359861,0.00100306,0.0425163,0.000565096,1,0,222038,0.107689,0.000962538,1,0,118195
usb_nh_white,men,18_plus_born_1956_on,0.38959,0.000492905,0.0642756,0.000260263,1,0,1170060,0.139767,0.000568303,1,0,733714
usb_nh_white,women,18_49,0.367665,0.000576695,0.00689534,0.000130439,1,0,675148,0.0231015,0.000296938,1,0,388865
usb_nh_white,women,25_49,0.386118,0.000659508,0.00829162,0.000161378,1,0,522105,0.0243793,0.00034912,1,0,318893
usb_nh_white,women,25_34,0.371024,0.00120827,0.00595402,0.000192415,1,0,209198,0.0211445,0.000527522,1,0,118767
usb_nh_white,women,18_plus_born_1956_on,0.394003,0.000407467,0.00819722,0.000111117,1,0,1160315,0.0253293,0.000234172,1,0,750965
usb_all,men,18_49,0.347692,0.000505257,0.0414268,0.000260628,0.93306,0.00435339,1097272,0.116074,0.000496385,1.00432,0.00325959,580519
usb_all,men,25_49,0.371176,0.000568727,0.0520946,0.000330507,0.959453,0.00439301,810461,0.12191,0.000594064,1.00926,0.00347983,461467
usb_all,men,25_34,0.346455,0.000864452,0.0393195,0.000484124,0.92481,0.00784158,352546,0.108889,0.000806515,1.01115,0.00656637,179940
usb_all,men,18_plus_born_1956_on,0.374465,0.000449014,0.0620974,0.000223615,0.966111,0.00277247,1688144,0.141736,0.000512794,1.01409,0.00233584,1006397
usb_all,women,18_49,0.350888,0.000499862,0.00777145,0.000113722,1.12706,0.0144081,1043913,0.0272728,0.000274873,1.18056,0.0105708,570697
usb_all,women,25_49,0.372436,0.000579894,0.00945738,0.000135606,1.14059,0.0154728,774984,0.0287197,0.000310104,1.17803,0.0130272,455115
usb_all,women,25_34,0.352929,0.000911031,0.00700565,0.000181193,1.17663,0.025967,329940,0.0253056,0.000463238,1.19679,0.024094,177618
usb_all,women,18_plus_born_1956_on,0.376125,0.000402279,0.00945951,8.99811e-05,1.15399,0.0107431,1674400,0.0292531,0.000209291,1.15491,0.00783137,1024139
