group,sex,age_band,by,region,n_records,share_of_group,share_se,rate,se,white_rate,white_se,ratio,ratio_se,ratio_age_standardised,ratio_age_standardised_se,white_age_cells_missing
usb_mexican_hisp,men,25_49,birth_region,south_atlantic,3003,0.0278936,0.000609153,0.0807004,0.00614684,0.0903667,0.0010064,0.893033,0.0699219,0.941993,0.0732252,0
usb_mexican_hisp,men,25_49,birth_region,east_south_central,477,0.00422569,0.000227849,0.0832567,0.0164939,0.0786377,0.00127183,1.05874,0.206765,1.12844,0.218671,0
usb_mexican_hisp,men,25_49,birth_region,west_south_central_ex_texas,951,0.00888072,0.000418827,0.101229,0.0163846,0.0867955,0.00173974,1.16629,0.190302,1.23992,0.204561,0
usb_mexican_hisp,men,25_49,birth_region,mountain,10720,0.106723,0.00100971,0.0716777,0.00283887,0.0871319,0.00159022,0.822634,0.0372302,0.859202,0.0387619,0
usb_mexican_hisp,men,25_49,birth_region,pacific_ex_california,2539,0.0239962,0.000581905,0.0788984,0.00589311,0.0950219,0.00208526,0.830318,0.0640655,0.876541,0.0676093,0
usb_mexican_hisp,men,25_49,birth_region,outside_states,2244,0.0222748,0.000541269,0.0664085,0.00642611,0.127914,0.00467636,0.519166,0.0504515,0.536284,0.0519805,0
usb_mexican_hisp,men,25_49,birth_region,california,45836,0.417864,0.00178975,0.0569942,0.00150536,0.0877034,0.0013722,0.649852,0.0189084,0.681657,0.0206154,0
usb_mexican_hisp,men,25_49,birth_region,texas,26994,0.268532,0.0015818,0.0733483,0.00228813,0.098216,0.00146269,0.746807,0.0246771,0.766993,0.0247269,0
usb_mexican_hisp,men,25_49,residence_region,all,104249,1,0,0.0660273,0.00108881,0.079685,0.000338777,0.828604,0.0140742,0.862253,0.0147733,0
usb_mexican_hisp,men,25_49,residence_region,new_england,532,0.00484062,0.000241616,0.11143,0.0156532,0.0567941,0.00150725,1.962,0.285789,2.05391,0.302168,0
usb_mexican_hisp,men,25_49,residence_region,middle_atlantic,1656,0.0175924,0.00043677,0.0687898,0.00749547,0.0482889,0.00095197,1.42455,0.159124,1.5625,0.173917,0
usb_mexican_hisp,men,25_49,residence_region,east_north_central,7182,0.0755685,0.000899363,0.0516506,0.00335123,0.0582783,0.000727329,0.886275,0.0582236,0.941716,0.0617544,0
usb_mexican_hisp,men,25_49,residence_region,west_north_central,2301,0.0253502,0.000660214,0.0821366,0.00639768,0.0688827,0.0011191,1.19241,0.0957306,1.26659,0.101603,0
usb_mexican_hisp,men,25_49,residence_region,south_atlantic,5125,0.0465025,0.000837134,0.151466,0.0055773,0.107477,0.000982043,1.40929,0.0541419,1.4629,0.0563119,0
usb_mexican_hisp,men,25_49,residence_region,east_south_central,1032,0.00934251,0.000335215,0.145068,0.0144201,0.0844127,0.00150612,1.71855,0.183365,1.81226,0.193249,0
usb_mexican_hisp,men,25_49,residence_region,west_south_central_ex_texas,1468,0.0140043,0.000416873,0.083933,0.00872817,0.0917946,0.00185871,0.914356,0.0951827,0.973017,0.102991,0
usb_mexican_hisp,men,25_49,residence_region,mountain,13955,0.142645,0.00100795,0.073644,0.00235627,0.0909455,0.0013188,0.809759,0.0274594,0.839334,0.0283519,0
usb_mexican_hisp,men,25_49,residence_region,pacific_ex_california,3788,0.0356242,0.000591319,0.106542,0.00524767,0.106783,0.00182073,0.997741,0.0524126,1.0084,0.0534322,0
usb_mexican_hisp,men,25_49,residence_region,california,39526,0.352012,0.00163253,0.0435185,0.00140616,0.0743492,0.00137737,0.585326,0.0220967,0.591998,0.0226905,0
usb_mexican_hisp,men,25_49,residence_region,texas,27684,0.276518,0.00150885,0.0690686,0.00195328,0.10672,0.00157682,0.647197,0.0192101,0.666843,0.0196448,0
usb_mexican_hisp,women,18_49,birth_region,all,152925,1,0,0.0125294,0.000353865,0.0128538,0.000115058,0.974763,0.0285954,1.0964,0.0324037,0
usb_mexican_hisp,women,18_49,birth_region,new_england,677,0.00503709,0.000206519,0.00446862,0.00294774,0.0112249,0.00052836,0.398099,0.267483,0.398143,0.266542,0
usb_mexican_hisp,women,18_49,birth_region,middle_atlantic,2680,0.0180474,0.00047316,0.0115773,0.00234384,0.0105549,0.000363068,1.09687,0.223741,1.41645,0.283004,0
usb_mexican_hisp,women,18_49,birth_region,east_north_central,11432,0.0823194,0.000735233,0.0101223,0.0011334,0.0116419,0.000291502,0.869476,0.101358,1.00908,0.119913,0
usb_mexican_hisp,women,18_49,birth_region,west_north_central,2961,0.0218266,0.000401009,0.015551,0.00263139,0.0124878,0.000486685,1.2453,0.220008,1.5028,0.271527,0
usb_mexican_hisp,women,18_49,birth_region,south_atlantic,6126,0.0396383,0.00064812,0.0164267,0.00202477,0.0139842,0.000352954,1.17466,0.149583,1.45162,0.186095,0
usb_mexican_hisp,women,18_49,birth_region,east_south_central,1059,0.00641802,0.000291795,0.010064,0.00292111,0.00913771,0.000456642,1.10137,0.326372,1.41773,0.414304,0
usb_mexican_hisp,women,18_49,birth_region,west_south_central_ex_texas,1666,0.0111319,0.000389812,0.0150625,0.0036639,0.0118165,0.000528951,1.2747,0.314972,1.52371,0.378262,0
usb_mexican_hisp,women,18_49,birth_region,mountain,15982,0.111678,0.000973485,0.0137576,0.0010213,0.014323,0.000570012,0.960527,0.0827065,1.08682,0.0969252,0
usb_mexican_hisp,women,18_49,birth_region,pacific_ex_california,4051,0.0275523,0.000400195,0.0166548,0.0027128,0.0166618,0.000734172,0.999576,0.172605,1.22853,0.218049,0
usb_mexican_hisp,women,18_49,birth_region,outside_states,2914,0.0189537,0.000466996,0.011302,0.00223435,0.0278711,0.00212985,0.40551,0.090827,0.46418,0.103148,0
usb_mexican_hisp,women,18_49,birth_region,california,65199,0.403554,0.00117377,0.0111282,0.000534986,0.0165194,0.000576555,0.673647,0.0350285,0.7432,0.0409339,0
usb_mexican_hisp,women,18_49,birth_region,texas,38178,0.253843,0.000987026,0.0139515,0.000758527,0.0155798,0.000699158,0.89549,0.0678506,0.987214,0.0743352,0
usb_mexican_hisp,women,18_49,residence_region,all,152925,1,0,0.0125294,0.000353865,0.0128538,0.000115058,0.974763,0.0285954,1.0964,0.0324037,0
usb_mexican_hisp,women,18_49,residence_region,new_england,712,0.00384978,0.000199582,0.0211982,0.00658221,0.00746926,0.000506998,2.83806,0.870575,3.1895,0.988205,0
usb_mexican_hisp,women,18_49,residence_region,middle_atlantic,2831,0.0192242,0.000522945,0.0102266,0.0025725,0.00691416,0.000281391,1.47909,0.367452,1.98538,0.502799,0
usb_mexican_hisp,women,18_49,residence_region,east_north_central,11112,0.0810729,0.000681565,0.00743317,0.000928219,0.00850995,0.000266527,0.873468,0.11199,1.05859,0.135286,0
usb_mexican_hisp,women,18_49,residence_region,west_north_central,3658,0.028196,0.000445844,0.0161511,0.00292323,0.0105972,0.00041918,1.52409,0.282505,1.77008,0.335004,0
usb_mexican_hisp,women,18_49,residence_region,south_atlantic,8694,0.0543709,0.000749831,0.0442746,0.00229561,0.0186786,0.000454509,2.37035,0.128873,2.79926,0.164437,0
usb_mexican_hisp,women,18_49,residence_region,east_south_central,1893,0.0115051,0.000321798,0.0270402,0.00413267,0.010294,0.000394255,2.6268,0.43791,3.3893,0.534266,0
usb_mexican_hisp,women,18_49,residence_region,west_south_central_ex_texas,2413,0.0159217,0.000348371,0.0188087,0.00294342,0.0136459,0.000732137,1.37834,0.240447,1.58784,0.28078,0
usb_mexican_hisp,women,18_49,residence_region,mountain,19652,0.139499,0.00076028,0.0123573,0.00103469,0.0161084,0.000440361,0.767134,0.0692795,0.843584,0.0787257,0
usb_mexican_hisp,women,18_49,residence_region,pacific_ex_california,5594,0.0368066,0.000422212,0.0272063,0.00293119,0.020529,0.000721125,1.32526,0.157331,1.44616,0.17935,0
usb_mexican_hisp,women,18_49,residence_region,california,56812,0.344442,0.00116093,0.00755426,0.000442668,0.0150357,0.000643807,0.50242,0.037256,0.52396,0.0394395,0
usb_mexican_hisp,women,18_49,residence_region,texas,39554,0.265112,0.000829225,0.0107431,0.000597812,0.0176955,0.000650021,0.607111,0.0424577,0.671888,0.047834,0
usb_mexican_hisp,women,25_49,birth_region,all,102440,1,0,0.0142133,0.00044841,0.0145034,0.00014264,0.979999,0.0323322,1.0258,0.0340574,0
usb_mexican_hisp,women,25_49,birth_region,new_england,482,0.00578278,0.000286457,0.00584903,0.00385119,0.0128267,0.000631806,0.456006,0.305094,0.446407,0.298175,0
usb_mexican_hisp,women,25_49,birth_region,middle_atlantic,1542,0.0157103,0.000483242,0.00996911,0.00300939,0.0119661,0.000416271,0.833115,0.252649,0.949576,0.285112,0
usb_mexican_hisp,women,25_49,birth_region,east_north_central,7313,0.0780615,0.000889854,0.011588,0.00135228,0.0131007,0.00033971,0.884537,0.105308,0.928703,0.111169,0
usb_mexican_hisp,women,25_49,birth_region,west_north_central,1725,0.0194776,0.000455434,0.0160148,0.00357908,0.0142153,0.000599052,1.12658,0.251671,1.18464,0.26702,0
usb_mexican_hisp,women,25_49,birth_region,south_atlantic,2892,0.0279428,0.000637479,0.0210368,0.00332989,0.0155967,0.000405271,1.3488,0.217579,1.41766,0.229118,0
usb_mexican_hisp,women,25_49,birth_region,east_south_central,401,0.00376913,0.000242151,0.0179911,0.00699373,0.0102266,0.000566047,1.75924,0.702659,1.81907,0.723466,0
usb_mexican_hisp,women,25_49,birth_region,west_south_central_ex_texas,984,0.0101903,0.000437756,0.0156339,0.00462289,0.0133553,0.000708958,1.17062,0.344786,1.23798,0.364475,0
usb_mexican_hisp,women,25_49,birth_region,mountain,10319,0.106798,0.00113271,0.0164855,0.00150749,0.0166604,0.000674979,0.989504,0.0983009,1.01652,0.100284,0
usb_mexican_hisp,women,25_49,birth_region,pacific_ex_california,2379,0.0246122,0.00048086,0.0177293,0.00357759,0.0188151,0.000881053,0.942294,0.196564,1.02902,0.220579,0
usb_mexican_hisp,women,25_49,birth_region,outside_states,2122,0.0206028,0.000567443,0.0128521,0.00293244,0.0323752,0.00252144,0.396973,0.102923,0.412721,0.106785,0
usb_mexican_hisp,women,25_49,birth_region,california,45942,0.424805,0.0014152,0.01291,0.000625488,0.0180077,0.000661666,0.716916,0.0381607,0.758107,0.0397771,0
usb_mexican_hisp,women,25_49,birth_region,texas,26339,0.262247,0.00117476,0.0154257,0.000898565,0.0177514,0.00081291,0.868989,0.0682901,0.89716,0.0698241,0
usb_mexican_hisp,women,25_49,residence_region,all,102440,1,0,0.0142133,0.00044841,0.0145034,0.00014264,0.979999,0.0323322,1.0258,0.0340574,0
usb_mexican_hisp,women,25_49,residence_region,new_england,444,0.00388253,0.000246519,0.0236732,0.00928284,0.00867899,0.000628233,2.72765,1.06003,2.86923,1.11291,0
usb_mexican_hisp,women,25_49,residence_region,middle_atlantic,1639,0.0172117,0.000499148,0.0145441,0.00387019,0.00812732,0.000341066,1.78953,0.466626,2.10375,0.55009,0
usb_mexican_hisp,women,25_49,residence_region,east_north_central,7043,0.0771891,0.000873705,0.00996198,0.00131603,0.010049,0.000306883,0.991337,0.13465,1.06291,0.143584,0
usb_mexican_hisp,women,25_49,residence_region,west_north_central,2249,0.0268552,0.000565391,0.0163154,0.00306419,0.0120293,0.000516212,1.35631,0.263634,1.44984,0.288083,0
usb_mexican_hisp,women,25_49,residence_region,south_atlantic,4985,0.0469111,0.000847754,0.0457183,0.00319303,0.0208686,0.000513316,2.19077,0.151475,2.27711,0.160239,0
usb_mexican_hisp,women,25_49,residence_region,east_south_central,1073,0.00954725,0.000336583,0.0364545,0.00554,0.0120667,0.000487504,3.02109,0.507732,3.18239,0.530544,0
usb_mexican_hisp,women,25_49,residence_region,west_south_central_ex_texas,1502,0.0153958,0.000430175,0.0202288,0.00414798,0.0157579,0.0008542,1.28373,0.28136,1.31681,0.291654,0
usb_mexican_hisp,women,25_49,residence_region,mountain,13429,0.140873,0.000936333,0.0154082,0.00134086,0.017799,0.000504368,0.865675,0.0804622,0.899086,0.0843907,0
usb_mexican_hisp,women,25_49,residence_region,pacific_ex_california,3551,0.0355149,0.000634383,0.0243777,0.00331464,0.0214904,0.000789779,1.13435,0.162133,1.18847,0.172776,0
usb_mexican_hisp,women,25_49,residence_region,california,39199,0.353173,0.00141007,0.00892612,0.000576694,0.0156934,0.000762421,0.56878,0.0495728,0.578306,0.0520542,0
usb_mexican_hisp,women,25_49,residence_region,texas,27326,0.273447,0.00107883,0.0134247,0.000850893,0.0196999,0.000748057,0.681456,0.0538396,0.706501,0.0558411,0
usb_mexican_ancestry,men,18_49,birth_region,all,98986,1,0,0.0532223,0.00101118,0.0701668,0.000286852,0.758512,0.0146678,0.855662,0.016605,0
usb_mexican_ancestry,men,18_49,birth_region,new_england,473,0.00580413,0.000358345,0.0399029,0.0131428,0.0582619,0.00109842,0.684888,0.224229,0.684577,0.223842,0
usb_mexican_ancestry,men,18_49,birth_region,middle_atlantic,1724,0.018891,0.000641176,0.0627954,0.00817053,0.05693,0.000901661,1.10303,0.148513,1.53221,0.206779,0
usb_mexican_ancestry,men,18_49,birth_region,east_north_central,7412,0.0824655,0.00109093,0.0534999,0.00392453,0.0631224,0.000698536,0.847558,0.0620808,0.982573,0.071445,0
usb_mexican_ancestry,men,18_49,birth_region,west_north_central,1726,0.0202883,0.000558794,0.0533344,0.00493531,0.0656274,0.000976648,0.812685,0.0757069,1.03972,0.0958074,0
usb_mexican_ancestry,men,18_49,birth_region,south_atlantic,4065,0.0399265,0.0007057,0.0470458,0.00407261,0.0792084,0.000819439,0.593949,0.0517966,0.78483,0.0695405,0
usb_mexican_ancestry,men,18_49,birth_region,east_south_central,648,0.00611331,0.000260218,0.0559628,0.0116356,0.0686478,0.00103074,0.815216,0.16758,1.18022,0.235573,0
