group,sex,age_band,per_1000,n_records_denominator,denominator_per_year,outcome,spec,group_rate,group_rate_se,comparison_rate,comparison_se,ratio,ratio_se,n_eff,ref_share_off_support,margins,replicate_fallbacks,max_factor,top10_cell_share,share_at_finest_cell,share_unmatched,expected_ratio
usb_mexican_hisp,men,18_64,employed,133573,5596970,public_safety_total,raw,0.0242797,0.000541224,0.0261078,0.000182421,0.929982,0.0206526,,,,,,,,,
usb_mexican_hisp,men,18_64,employed,133573,5596970,police_sheriff_detective,raw,0.0131955,0.000377321,0.0130714,0.000135627,1.00949,0.0311266,,,,,,,,,
usb_mexican_hisp,men,18_64,employed,133573,5596970,corrections_bailiff,raw,0.00481576,0.000260774,0.00359232,6.90224e-05,1.34057,0.0778056,,,,,,,,,
usb_mexican_hisp,men,18_64,employed,133573,5596970,fire,raw,0.00451316,0.000216693,0.00696848,9.03498e-05,0.647653,0.0326476,,,,,,,,,
usb_mexican_hisp,men,18_64,employed,133573,5596970,ems,raw,0.00175535,0.000135216,0.00247556,5.69542e-05,0.709073,0.0571386,,,,,,,,,
usb_mexican_hisp,men,18_64,employed,133573,5596970,security_guard,raw,0.0118074,0.000427292,0.00569369,8.38557e-05,2.07377,0.0796065,,,,,,,,,
usb_mexican_hisp,men,18_64,employed,133573,5596970,all_protective_service_soc33,raw,0.0376069,0.000693167,0.0323765,0.000220554,1.16155,0.0226085,,,,,,,,,
usb_mexican_hisp,men,18_64,employed,133573,5596970,public_safety_total,a_education_direct,0.028877,0.000663996,0.0261078,0.000182421,1.10607,0.0254735,,,,,,,,,
usb_mexican_hisp,men,18_64,employed,133573,5596970,police_sheriff_detective,a_education_direct,0.0175878,0.000555457,0.0130714,0.000135627,1.34552,0.0456379,,,,,,,,,
usb_mexican_hisp,men,18_64,employed,133573,5596970,corrections_bailiff,a_education_direct,0.00462011,0.000258573,0.00359232,6.90224e-05,1.28611,0.0778035,,,,,,,,,
usb_mexican_hisp,men,18_64,employed,133573,5596970,fire,a_education_direct,0.00478332,0.000240898,0.00696848,9.03498e-05,0.686422,0.0362897,,,,,,,,,
usb_mexican_hisp,men,18_64,employed,133573,5596970,ems,a_education_direct,0.00188581,0.000155788,0.00247556,5.69542e-05,0.761769,0.0651662,,,,,,,,,
usb_mexican_hisp,men,18_64,employed,133573,5596970,security_guard,a_education_direct,0.0104984,0.000392033,0.00569369,8.38557e-05,1.84386,0.0719146,,,,,,,,,
usb_mexican_hisp,men,18_64,employed,133573,5596970,all_protective_service_soc33,a_education_direct,0.0412032,0.000753829,0.0323765,0.000220554,1.27263,0.0248943,,,,,,,,,
usb_mexican_hisp,men,18_64,employed,133573,5596970,public_safety_total,a_education_indirect,0.0242797,0.000541224,0.0250331,0.000203332,0.969904,0.0213707,,,,,,,,,
usb_mexican_hisp,men,18_64,employed,133573,5596970,police_sheriff_detective,a_education_indirect,0.0131955,0.000377321,0.0113843,0.000135458,1.15909,0.0351699,,,,,,,,,
usb_mexican_hisp,men,18_64,employed,133573,5596970,corrections_bailiff,a_education_indirect,0.00481576,0.000260774,0.00410511,8.15964e-05,1.17311,0.068846,,,,,,,,,
usb_mexican_hisp,men,18_64,employed,133573,5596970,fire,a_education_indirect,0.00451316,0.000216693,0.00698612,9.76041e-05,0.646018,0.0329492,,,,,,,,,
usb_mexican_hisp,men,18_64,employed,133573,5596970,ems,a_education_indirect,0.00175535,0.000135216,0.00255757,6.31481e-05,0.686336,0.0550582,,,,,,,,,
usb_mexican_hisp,men,18_64,employed,133573,5596970,security_guard,a_education_indirect,0.0118074,0.000427292,0.00658486,0.000110524,1.79311,0.0696895,,,,,,,,,
usb_mexican_hisp,men,18_64,employed,133573,5596970,all_protective_service_soc33,a_education_indirect,0.0376069,0.000693167,0.0321588,0.000260941,1.16941,0.0228307,,,,,,,,,
usb_mexican_hisp,men,18_64,employed,133573,5596970,public_safety_total,age_direct,0.0259037,0.000638372,0.0261078,0.000182421,0.992183,0.0246645,,0.0,age (min 20),0,2.971547875358645,0.12518260974394405,,,
usb_mexican_hisp,men,18_64,employed,133573,5596970,police_sheriff_detective,age_direct,0.0146398,0.000488648,0.0130714,0.000135627,1.11999,0.0391699,,0.0,age (min 20),0,2.971547875358645,0.12518260974394405,,,
usb_mexican_hisp,men,18_64,employed,133573,5596970,corrections_bailiff,age_direct,0.00495396,0.000280777,0.00359232,6.90224e-05,1.37904,0.0809949,,0.0,age (min 20),0,2.971547875358645,0.12518260974394405,,,
usb_mexican_hisp,men,18_64,employed,133573,5596970,fire,age_direct,0.00474153,0.000231653,0.00696848,9.03498e-05,0.680426,0.0349729,,0.0,age (min 20),0,2.971547875358645,0.12518260974394405,,,
