fiscal_year,propensity_basis,group,index_vs_denominator,expected_ratio_to_nh_white,expected_ratio_to_nh_white_teens,propensity_q1,propensity_q2,propensity_q3,propensity_q4,propensity_q5
FY23,per_teen_15_17,all_population,1.0145,1.00882,1.04242,0.95534,1.4907,1.25085,1.01072,0.42801
FY23,per_teen_15_17,us_born_all,1.01917,1.01346,1.04722,0.95534,1.4907,1.25085,1.01072,0.42801
FY23,per_teen_15_17,us_born_nh_white,1.00564,1.0,1.03331,0.95534,1.4907,1.25085,1.01072,0.42801
FY23,per_teen_15_17,mexican_origin_all,1.08608,1.07999,1.11597,0.95534,1.4907,1.25085,1.01072,0.42801
FY23,per_teen_15_17,mexico_born,1.1123,1.10607,1.14292,0.95534,1.4907,1.25085,1.01072,0.42801
FY23,per_teen_15_17,us_born_mexican_origin,1.07537,1.06935,1.10497,0.95534,1.4907,1.25085,1.01072,0.42801
FY23,per_teen_15_17,india_born,0.7486,0.7444,0.7692,0.95534,1.4907,1.25085,1.01072,0.42801
FY23,per_teen_15_17,asian_indian_all,0.7508,0.7466,0.77147,0.95534,1.4907,1.25085,1.01072,0.42801
FY23,per_teen_15_17,us_born_asian_indian,0.76633,0.76203,0.78742,0.95534,1.4907,1.25085,1.01072,0.42801
FY23,per_teen_15_17,youth_18_24_all,1.03806,1.03224,1.06663,0.95534,1.4907,1.25085,1.01072,0.42801
FY23,per_teen_15_17,youth_18_24_nh_white,1.02607,1.02032,1.05431,0.95534,1.4907,1.25085,1.01072,0.42801
FY23,per_teen_15_17,youth_18_24_hispanic,1.08003,1.07398,1.10975,0.95534,1.4907,1.25085,1.01072,0.42801
FY23,per_teen_15_17,youth_18_24_asian,0.79383,0.78938,0.81568,0.95534,1.4907,1.25085,1.01072,0.42801
FY23,per_teen_15_17,teen_15_17_all,1.0,0.9944,1.02752,0.95534,1.4907,1.25085,1.01072,0.42801
FY23,per_teen_15_17,teen_15_17_nh_white,0.97321,0.96776,1.0,0.95534,1.4907,1.25085,1.01072,0.42801
FY23,per_teen_15_17,teen_15_17_hispanic,1.06572,1.05975,1.09505,0.95534,1.4907,1.25085,1.01072,0.42801
FY23,per_teen_15_17,teen_15_17_asian,0.81376,0.8092,0.83616,0.95534,1.4907,1.25085,1.01072,0.42801
FY23,per_youth_18_24,all_population,1.00629,0.99043,1.00797,0.68206,1.39546,1.2798,1.12434,0.58679
FY23,per_youth_18_24,us_born_all,1.00945,0.99354,1.01113,0.68206,1.39546,1.2798,1.12434,0.58679
FY23,per_youth_18_24,us_born_nh_white,1.01601,1.0,1.0177,0.68206,1.39546,1.2798,1.12434,0.58679
FY23,per_youth_18_24,mexican_origin_all,1.04356,1.02712,1.0453,0.68206,1.39546,1.2798,1.12434,0.58679
FY23,per_youth_18_24,mexico_born,1.05688,1.04023,1.05864,0.68206,1.39546,1.2798,1.12434,0.58679
FY23,per_youth_18_24,us_born_mexican_origin,1.03811,1.02176,1.03985,0.68206,1.39546,1.2798,1.12434,0.58679
FY23,per_youth_18_24,india_born,0.84216,0.82889,0.84357,0.68206,1.39546,1.2798,1.12434,0.58679
FY23,per_youth_18_24,asian_indian_all,0.84111,0.82786,0.84252,0.68206,1.39546,1.2798,1.12434,0.58679
FY23,per_youth_18_24,us_born_asian_indian,0.84772,0.83436,0.84913,0.68206,1.39546,1.2798,1.12434,0.58679
FY23,per_youth_18_24,youth_18_24_all,1.0,0.98425,1.00167,0.68206,1.39546,1.2798,1.12434,0.58679
FY23,per_youth_18_24,youth_18_24_nh_white,1.00217,0.98638,1.00385,0.68206,1.39546,1.2798,1.12434,0.58679
FY23,per_youth_18_24,youth_18_24_hispanic,1.03163,1.01538,1.03336,0.68206,1.39546,1.2798,1.12434,0.58679
FY23,per_youth_18_24,youth_18_24_asian,0.86295,0.84935,0.86439,0.68206,1.39546,1.2798,1.12434,0.58679
FY23,per_youth_18_24,teen_15_17_all,0.99615,0.98045,0.99781,0.68206,1.39546,1.2798,1.12434,0.58679
FY23,per_youth_18_24,teen_15_17_nh_white,0.99833,0.9826,1.0,0.68206,1.39546,1.2798,1.12434,0.58679
FY23,per_youth_18_24,teen_15_17_hispanic,1.02978,1.01355,1.0315,0.68206,1.39546,1.2798,1.12434,0.58679
FY23,per_youth_18_24,teen_15_17_asian,0.88572,0.87177,0.8872,0.68206,1.39546,1.2798,1.12434,0.58679
FY23,per_household,all_population,0.99219,1.00529,1.03343,0.89896,1.41089,1.21427,0.99683,0.49282
FY23,per_household,us_born_all,0.99617,1.00931,1.03757,0.89896,1.41089,1.21427,0.99683,0.49282
FY23,per_household,us_born_nh_white,0.98698,1.0,1.02799,0.89896,1.41089,1.21427,0.99683,0.49282
FY23,per_household,mexican_origin_all,1.05146,1.06534,1.09516,0.89896,1.41089,1.21427,0.99683,0.49282
FY23,per_household,mexico_born,1.07326,1.08743,1.11787,0.89896,1.41089,1.21427,0.99683,0.49282
FY23,per_household,us_born_mexican_origin,1.04257,1.05632,1.08589,0.89896,1.41089,1.21427,0.99683,0.49282
FY23,per_household,india_born,0.76856,0.7787,0.8005,0.89896,1.41089,1.21427,0.99683,0.49282
FY23,per_household,asian_indian_all,0.77013,0.78029,0.80213,0.89896,1.41089,1.21427,0.99683,0.49282
FY23,per_household,us_born_asian_indian,0.78282,0.79315,0.81536,0.89896,1.41089,1.21427,0.99683,0.49282
FY23,per_household,youth_18_24_all,1.009,1.02231,1.05093,0.89896,1.41089,1.21427,0.99683,0.49282
FY23,per_household,youth_18_24_nh_white,1.00034,1.01354,1.04191,0.89896,1.41089,1.21427,0.99683,0.49282
FY23,per_household,youth_18_24_hispanic,1.04519,1.05898,1.08862,0.89896,1.41089,1.21427,0.99683,0.49282
FY23,per_household,youth_18_24_asian,0.80556,0.81619,0.83904,0.89896,1.41089,1.21427,0.99683,0.49282
FY23,per_household,teen_15_17_all,0.97988,0.99281,1.0206,0.89896,1.41089,1.21427,0.99683,0.49282
FY23,per_household,teen_15_17_nh_white,0.9601,0.97277,1.0,0.89896,1.41089,1.21427,0.99683,0.49282
