group,sex,age_band,education,outcome,n_records,adults_per_year,rate,se,ratio_to_nh_white,ratio_se
usb_mexican_hisp,men,18_24,less_than_hs,ever_active_duty,7647,315757,0.00543666,0.00103931,1.37288,0.317192
usb_mexican_hisp,men,18_24,less_than_hs,now_active_duty,7647,315757,0.00268983,0.000632515,2.1768,0.757166
usb_mexican_hisp,men,18_24,less_than_hs,reserve_guard_only,7647,315757,0.00110211,0.000354122,0.323933,0.1221
usb_mexican_hisp,men,18_24,hs_diploma,ever_active_duty,24232,975396,0.0438571,0.00147001,0.880846,0.0348101
usb_mexican_hisp,men,18_24,hs_diploma,now_active_duty,24232,975396,0.0312947,0.00116553,0.94383,0.0432664
usb_mexican_hisp,men,18_24,hs_diploma,reserve_guard_only,24232,975396,0.00924616,0.00075381,0.812705,0.078398
usb_mexican_hisp,men,18_24,some_college,ever_active_duty,18601,710331,0.0343952,0.00171511,0.996589,0.0548306
usb_mexican_hisp,men,18_24,some_college,now_active_duty,18601,710331,0.0237955,0.00138265,1.02137,0.0666729
usb_mexican_hisp,men,18_24,some_college,reserve_guard_only,18601,710331,0.0113952,0.000920974,0.969563,0.0905996
usb_mexican_hisp,men,18_24,ba_plus,ever_active_duty,2906,110544,0.01802,0.00327654,0.753342,0.146363
usb_mexican_hisp,men,18_24,ba_plus,now_active_duty,2906,110544,0.00980002,0.00242501,0.550154,0.148094
usb_mexican_hisp,men,18_24,ba_plus,reserve_guard_only,2906,110544,0.00929343,0.00222623,1.22769,0.303886
usb_mexican_hisp,men,18_49,less_than_hs,ever_active_duty,21992,855060,0.0125395,0.000992022,0.94936,0.0806452
usb_mexican_hisp,men,18_49,less_than_hs,now_active_duty,21992,855060,0.00136053,0.000253566,1.63568,0.394002
usb_mexican_hisp,men,18_49,less_than_hs,reserve_guard_only,21992,855060,0.00206535,0.000347221,0.517655,0.094917
usb_mexican_hisp,men,18_49,hs_diploma,ever_active_duty,59306,2437989,0.0452672,0.00127136,0.713242,0.0212679
usb_mexican_hisp,men,18_49,hs_diploma,now_active_duty,59306,2437989,0.017025,0.000608054,1.11885,0.0424365
usb_mexican_hisp,men,18_49,hs_diploma,reserve_guard_only,59306,2437989,0.00898609,0.000538292,0.717428,0.0475784
usb_mexican_hisp,men,18_49,some_college,ever_active_duty,51585,2059461,0.0749227,0.0015949,0.795502,0.0176378
usb_mexican_hisp,men,18_49,some_college,now_active_duty,51585,2059461,0.0205005,0.000698062,1.03645,0.0389797
usb_mexican_hisp,men,18_49,some_college,reserve_guard_only,51585,2059461,0.0135495,0.000626647,0.859504,0.0436446
usb_mexican_hisp,men,18_49,ba_plus,ever_active_duty,24752,960565,0.075913,0.00185986,1.16268,0.0310764
usb_mexican_hisp,men,18_49,ba_plus,now_active_duty,24752,960565,0.0137041,0.000743713,0.922976,0.0533786
usb_mexican_hisp,men,18_49,ba_plus,reserve_guard_only,24752,960565,0.0128775,0.00103919,1.25203,0.0967716
usb_mexican_hisp,men,25_49,less_than_hs,ever_active_duty,14345,539303,0.0166981,0.0014345,0.902339,0.0834255
usb_mexican_hisp,men,25_49,less_than_hs,now_active_duty,14345,539303,0.000582233,0.000247728,0.969671,0.445416
usb_mexican_hisp,men,25_49,less_than_hs,reserve_guard_only,14345,539303,0.00262932,0.00055625,0.607747,0.134703
usb_mexican_hisp,men,25_49,hs_diploma,ever_active_duty,35074,1462594,0.0462076,0.00165178,0.668112,0.0249683
usb_mexican_hisp,men,25_49,hs_diploma,now_active_duty,35074,1462594,0.00750858,0.000598504,0.969273,0.0801825
usb_mexican_hisp,men,25_49,hs_diploma,reserve_guard_only,35074,1462594,0.00881265,0.000682879,0.677709,0.057223
usb_mexican_hisp,men,25_49,some_college,ever_active_duty,32984,1349130,0.0962608,0.00218394,0.830931,0.0196833
usb_mexican_hisp,men,25_49,some_college,now_active_duty,32984,1349130,0.0187657,0.000910732,1.01423,0.0536487
usb_mexican_hisp,men,25_49,some_college,reserve_guard_only,32984,1349130,0.0146838,0.000824168,0.85268,0.054794
usb_mexican_hisp,men,25_49,ba_plus,ever_active_duty,21846,850021,0.0834419,0.00207856,1.20973,0.032687
