group,sex,age_band,n_records,outcome,spec,group_rate,group_rate_se,comparison_rate,comparison_se,ratio,ratio_se,n_eff,ref_share_off_support,margins,replicate_fallbacks,max_factor,top10_cell_share,share_at_finest_cell,share_unmatched,expected_ratio
usb_mexican_hisp,men,18_24,53386,ever_active_duty,b_indirect_geo,0.0335785,0.000890321,0.0488596,0.00100826,0.687244,0.0216448,,,,,,,0.998772112238411,0.0,
usb_mexican_hisp,men,18_24,53386,now_active_duty,b_indirect_geo,0.0233709,0.000688186,0.0371507,0.00092697,0.629084,0.0243474,,,,,,,0.998772112238411,0.0,
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,b_indirect_geo,0.00875383,0.000502976,0.00781494,0.000460226,1.12014,0.0953036,,,,,,,0.998772112238411,0.0,
usb_mexican_hisp,men,18_24,53386,ever_active_duty,b_indirect_full,0.0335785,0.000890321,0.0505544,0.00111443,0.664205,0.0213378,,,,,,,0.9671197540941692,0.0,
usb_mexican_hisp,men,18_24,53386,now_active_duty,b_indirect_full,0.0233709,0.000688186,0.0375311,0.000973556,0.622707,0.0241042,,,,,,,0.9671197540941692,0.0,
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,b_indirect_full,0.00875383,0.000502976,0.00810934,0.000514505,1.07947,0.0967869,,,,,,,0.9671197540941692,0.0,
usb_mexican_hisp,men,18_24,53386,ever_active_duty,c_neighborhood_per_teen_15_17,0.0335785,0.000890321,0.0380771,0.000494709,0.881855,0.0266376,,,,,,,,,1.06935
usb_mexican_hisp,men,18_24,53386,now_active_duty,c_neighborhood_per_teen_15_17,0.0233709,0.000688186,0.0255852,0.000397135,0.913454,0.0323155,,,,,,,,,1.06935
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,c_neighborhood_per_teen_15_17,0.00875383,0.000502976,0.0108415,0.000310099,0.80744,0.054548,,,,,,,,,1.06935
usb_mexican_hisp,men,18_24,53386,ever_active_duty,c_age_neighborhood_per_teen_15_17,0.0335785,0.000890321,0.0368088,0.000472239,0.912241,0.0276375,,,,,,,,,1.06935
usb_mexican_hisp,men,18_24,53386,now_active_duty,c_age_neighborhood_per_teen_15_17,0.0233709,0.000688186,0.0251669,0.000378867,0.928637,0.0325704,,,,,,,,,1.06935
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,c_age_neighborhood_per_teen_15_17,0.00875383,0.000502976,0.0106179,0.000304788,0.824443,0.055489,,,,,,,,,1.06935
usb_mexican_hisp,men,18_24,53386,ever_active_duty,c_neighborhood_per_youth_18_24,0.0335785,0.000890321,0.0363825,0.000472693,0.922929,0.0278783,,,,,,,,,1.02176
usb_mexican_hisp,men,18_24,53386,now_active_duty,c_neighborhood_per_youth_18_24,0.0233709,0.000688186,0.0244466,0.000379461,0.955999,0.0338206,,,,,,,,,1.02176
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,c_neighborhood_per_youth_18_24,0.00875383,0.000502976,0.010359,0.000296299,0.845048,0.0570886,,,,,,,,,1.02176
usb_mexican_hisp,men,18_24,53386,ever_active_duty,c_age_neighborhood_per_youth_18_24,0.0335785,0.000890321,0.0351707,0.000451223,0.95473,0.0289248,,,,,,,,,1.02176
usb_mexican_hisp,men,18_24,53386,now_active_duty,c_age_neighborhood_per_youth_18_24,0.0233709,0.000688186,0.0240469,0.000362006,0.971889,0.0340874,,,,,,,,,1.02176
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,c_age_neighborhood_per_youth_18_24,0.00875383,0.000502976,0.0101453,0.000291224,0.862843,0.0580735,,,,,,,,,1.02176
usb_mexican_hisp,men,18_24,53386,ever_active_duty,c_neighborhood_per_household,0.0335785,0.000890321,0.0376131,0.000488681,0.892733,0.0269662,,,,,,,,,1.05632
usb_mexican_hisp,men,18_24,53386,now_active_duty,c_neighborhood_per_household,0.0233709,0.000688186,0.0252734,0.000392296,0.924722,0.0327141,,,,,,,,,1.05632
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,c_neighborhood_per_household,0.00875383,0.000502976,0.0107094,0.000306321,0.8174,0.0552208,,,,,,,,,1.05632
usb_mexican_hisp,men,18_24,53386,ever_active_duty,c_age_neighborhood_per_household,0.0335785,0.000890321,0.0363603,0.000466485,0.923493,0.0279784,,,,,,,,,1.05632
usb_mexican_hisp,men,18_24,53386,now_active_duty,c_age_neighborhood_per_household,0.0233709,0.000688186,0.0248602,0.000374251,0.940092,0.0329721,,,,,,,,,1.05632
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,c_age_neighborhood_per_household,0.00875383,0.000502976,0.0104885,0.000301074,0.834613,0.0561735,,,,,,,,,1.05632
usb_mexican_hisp,men,18_49,157635,ever_active_duty,raw,0.0551716,0.000856274,0.0701668,0.000286852,0.786293,0.0123688,,,,,,,,,
usb_mexican_hisp,men,18_49,157635,now_active_duty,raw,0.0155318,0.000333093,0.0155377,0.000137938,0.999621,0.0242543,,,,,,,,,
usb_mexican_hisp,men,18_49,157635,reserve_guard_only,raw,0.0101295,0.000331412,0.0121706,0.000159627,0.83229,0.0301763,,,,,,,,,
usb_mexican_hisp,men,18_49,157635,ever_active_duty,a_education_direct,0.0628646,0.000990949,0.0701668,0.000286852,0.895931,0.014368,,,,,,,,,
usb_mexican_hisp,men,18_49,157635,now_active_duty,a_education_direct,0.0159001,0.00034962,0.0155377,0.000137938,1.02332,0.0255738,,,,,,,,,
usb_mexican_hisp,men,18_49,157635,reserve_guard_only,a_education_direct,0.011283,0.000420618,0.0121706,0.000159627,0.92707,0.0361918,,,,,,,,,
usb_mexican_hisp,men,18_49,157635,ever_active_duty,a_education_indirect,0.0551716,0.000856274,0.0669575,0.000331382,0.82398,0.0128753,,,,,,,,,
usb_mexican_hisp,men,18_49,157635,now_active_duty,a_education_indirect,0.0155318,0.000333093,0.0147006,0.000147796,1.05654,0.0257919,,,,,,,,,
usb_mexican_hisp,men,18_49,157635,reserve_guard_only,a_education_indirect,0.0101295,0.000331412,0.0120851,0.000172127,0.838182,0.0315843,,,,,,,,,
usb_mexican_hisp,men,18_49,157635,ever_active_duty,age_direct,0.0617531,0.00102151,0.0701668,0.000286852,0.88009,0.0148318,81000.97392755754,0.0,age (min 20),0,1.7189977659950588,0.10278242228802435,,,
usb_mexican_hisp,men,18_49,157635,now_active_duty,age_direct,0.0132866,0.000302767,0.0155377,0.000137938,0.855119,0.0217721,81000.97392755754,0.0,age (min 20),0,1.7189977659950588,0.10278242228802435,,,
usb_mexican_hisp,men,18_49,157635,reserve_guard_only,age_direct,0.0102515,0.000369275,0.0121706,0.000159627,0.842316,0.0328434,81000.97392755754,0.0,age (min 20),0,1.7189977659950588,0.10278242228802435,,,
usb_mexican_hisp,men,18_49,157635,ever_active_duty,a_age_education_direct,0.0689809,0.00115093,0.0701668,0.000286852,0.983099,0.0168005,65883.18029165093,0.0,age x educ (min 20),0,4.526121782613521,0.12218585799110102,,,
usb_mexican_hisp,men,18_49,157635,now_active_duty,a_age_education_direct,0.0142402,0.000323755,0.0155377,0.000137938,0.916491,0.0234,65883.18029165093,0.0,age x educ (min 20),0,4.526121782613521,0.12218585799110102,,,
usb_mexican_hisp,men,18_49,157635,reserve_guard_only,a_age_education_direct,0.0113394,0.000467649,0.0121706,0.000159627,0.931698,0.0397688,65883.18029165093,0.0,age x educ (min 20),0,4.526121782613521,0.12218585799110102,,,
usb_mexican_hisp,men,18_49,157635,ever_active_duty,b_raked_geo,0.0941577,0.00242287,0.0701668,0.000286852,1.34191,0.0348414,16254.844423692464,0.0,"age, state, division x metro (min 20)",0,20.40236520630887,0.06250529632312289,,,
usb_mexican_hisp,men,18_49,157635,now_active_duty,b_raked_geo,0.0275368,0.000789997,0.0155377,0.000137938,1.77226,0.0531562,16254.844423692464,0.0,"age, state, division x metro (min 20)",0,20.40236520630887,0.06250529632312289,,,
usb_mexican_hisp,men,18_49,157635,reserve_guard_only,b_raked_geo,0.0140677,0.000775357,0.0121706,0.000159627,1.15587,0.0674313,16254.844423692464,0.0,"age, state, division x metro (min 20)",0,20.40236520630887,0.06250529632312289,,,
usb_mexican_hisp,men,18_49,157635,ever_active_duty,b_raked_full,0.10263,0.00248431,0.0701668,0.000286852,1.46266,0.0356426,14596.052759038268,0.0,"age x educ, state, metro x educ, division x metro (min 20)",0,29.111249881865294,0.06818976903505553,,,
usb_mexican_hisp,men,18_49,157635,now_active_duty,b_raked_full,0.0295011,0.000860289,0.0155377,0.000137938,1.89868,0.0580211,14596.052759038268,0.0,"age x educ, state, metro x educ, division x metro (min 20)",0,29.111249881865294,0.06818976903505553,,,
usb_mexican_hisp,men,18_49,157635,reserve_guard_only,b_raked_full,0.0152198,0.000885728,0.0121706,0.000159627,1.25053,0.0749538,14596.052759038268,0.0,"age x educ, state, metro x educ, division x metro (min 20)",0,29.111249881865294,0.06818976903505553,,,
usb_mexican_hisp,men,18_49,157635,ever_active_duty,age_indirect,0.0551716,0.000856274,0.0624729,0.00027089,0.883129,0.0139752,,,,,,,1.0,0.0,
usb_mexican_hisp,men,18_49,157635,now_active_duty,age_indirect,0.0155318,0.000333093,0.0175923,0.000155389,0.882879,0.021539,,,,,,,1.0,0.0,
usb_mexican_hisp,men,18_49,157635,reserve_guard_only,age_indirect,0.0101295,0.000331412,0.0118797,0.000166423,0.85267,0.031157,,,,,,,1.0,0.0,
usb_mexican_hisp,men,18_49,157635,ever_active_duty,a_age_education_indirect,0.0551716,0.000856274,0.0623085,0.000320929,0.885459,0.0138464,,,,,,,1.0,0.0,
usb_mexican_hisp,men,18_49,157635,now_active_duty,a_age_education_indirect,0.0155318,0.000333093,0.0169821,0.000167679,0.9146,0.0223194,,,,,,,1.0,0.0,
usb_mexican_hisp,men,18_49,157635,reserve_guard_only,a_age_education_indirect,0.0101295,0.000331412,0.0120184,0.000177345,0.842835,0.032225,,,,,,,1.0,0.0,
usb_mexican_hisp,men,18_49,157635,ever_active_duty,b_indirect_geo,0.0551716,0.000856274,0.0749504,0.000586781,0.736109,0.0123702,,,,,,,0.9994027739358106,0.0,
usb_mexican_hisp,men,18_49,157635,now_active_duty,b_indirect_geo,0.0155318,0.000333093,0.0264657,0.000423066,0.586866,0.0156919,,,,,,,0.9994027739358106,0.0,
usb_mexican_hisp,men,18_49,157635,reserve_guard_only,b_indirect_geo,0.0101295,0.000331412,0.00983348,0.00026429,1.0301,0.0451436,,,,,,,0.9994027739358106,0.0,
usb_mexican_hisp,men,18_49,157635,ever_active_duty,b_indirect_full,0.0551716,0.000856274,0.0736571,0.000707659,0.749033,0.0124957,,,,,,,0.9737738504322272,0.0,
usb_mexican_hisp,men,18_49,157635,now_active_duty,b_indirect_full,0.0155318,0.000333093,0.0250861,0.000476078,0.619141,0.0176336,,,,,,,0.9737738504322272,0.0,
usb_mexican_hisp,men,18_49,157635,reserve_guard_only,b_indirect_full,0.0101295,0.000331412,0.0101854,0.000311431,0.994512,0.0481334,,,,,,,0.9737738504322272,0.0,
usb_mexican_hisp,men,18_49,157635,ever_active_duty,c_neighborhood_per_teen_15_17,0.0551716,0.000856274,0.0750328,0.000306745,0.7353,0.0115667,,,,,,,,,1.06935
usb_mexican_hisp,men,18_49,157635,now_active_duty,c_neighborhood_per_teen_15_17,0.0155318,0.000333093,0.0166153,0.000147504,0.934793,0.0226814,,,,,,,,,1.06935
usb_mexican_hisp,men,18_49,157635,reserve_guard_only,c_neighborhood_per_teen_15_17,0.0101295,0.000331412,0.0130147,0.000170697,0.778314,0.0282193,,,,,,,,,1.06935
usb_mexican_hisp,men,18_49,157635,ever_active_duty,c_age_neighborhood_per_teen_15_17,0.0551716,0.000856274,0.0668054,0.000289677,0.825856,0.0130689,,,,,,,,,1.06935
usb_mexican_hisp,men,18_49,157635,now_active_duty,c_age_neighborhood_per_teen_15_17,0.0155318,0.000333093,0.0188123,0.000166166,0.825622,0.0201421,,,,,,,,,1.06935
usb_mexican_hisp,men,18_49,157635,reserve_guard_only,c_age_neighborhood_per_teen_15_17,0.0101295,0.000331412,0.0127036,0.000177965,0.797372,0.0291364,,,,,,,,,1.06935
usb_mexican_hisp,men,18_49,157635,ever_active_duty,c_neighborhood_per_youth_18_24,0.0551716,0.000856274,0.0716936,0.000293094,0.769548,0.0121054,,,,,,,,,1.02176
usb_mexican_hisp,men,18_49,157635,now_active_duty,c_neighborhood_per_youth_18_24,0.0155318,0.000333093,0.0158758,0.000140939,0.978332,0.0237378,,,,,,,,,1.02176
usb_mexican_hisp,men,18_49,157635,reserve_guard_only,c_neighborhood_per_youth_18_24,0.0101295,0.000331412,0.0124355,0.0001631,0.814565,0.0295337,,,,,,,,,1.02176
usb_mexican_hisp,men,18_49,157635,ever_active_duty,c_age_neighborhood_per_youth_18_24,0.0551716,0.000856274,0.0638323,0.000276785,0.864321,0.0136776,,,,,,,,,1.02176
usb_mexican_hisp,men,18_49,157635,now_active_duty,c_age_neighborhood_per_youth_18_24,0.0155318,0.000333093,0.0179751,0.000158771,0.864076,0.0210802,,,,,,,,,1.02176
usb_mexican_hisp,men,18_49,157635,reserve_guard_only,c_age_neighborhood_per_youth_18_24,0.0101295,0.000331412,0.0121382,0.000170044,0.834511,0.0304935,,,,,,,,,1.02176
usb_mexican_hisp,men,18_49,157635,ever_active_duty,c_neighborhood_per_household,0.0551716,0.000856274,0.0741185,0.000303008,0.74437,0.0117094,,,,,,,,,1.05632
usb_mexican_hisp,men,18_49,157635,now_active_duty,c_neighborhood_per_household,0.0155318,0.000333093,0.0164128,0.000145707,0.946324,0.0229612,,,,,,,,,1.05632
usb_mexican_hisp,men,18_49,157635,reserve_guard_only,c_neighborhood_per_household,0.0101295,0.000331412,0.0128561,0.000168617,0.787915,0.0285674,,,,,,,,,1.05632
usb_mexican_hisp,men,18_49,157635,ever_active_duty,c_age_neighborhood_per_household,0.0551716,0.000856274,0.0659914,0.000286147,0.836043,0.0132301,,,,,,,,,1.05632
usb_mexican_hisp,men,18_49,157635,now_active_duty,c_age_neighborhood_per_household,0.0155318,0.000333093,0.0185831,0.000164141,0.835806,0.0203906,,,,,,,,,1.05632
usb_mexican_hisp,men,18_49,157635,reserve_guard_only,c_age_neighborhood_per_household,0.0101295,0.000331412,0.0125488,0.000175796,0.807208,0.0294958,,,,,,,,,1.05632
usb_mexican_hisp,men,25_49,104249,ever_active_duty,raw,0.0660273,0.00108881,0.079685,0.000338777,0.828604,0.0140742,,,,,,,,,
usb_mexican_hisp,men,25_49,104249,now_active_duty,raw,0.0115908,0.000364457,0.0132274,0.000132057,0.876272,0.0286983,,,,,,,,,
usb_mexican_hisp,men,25_49,104249,reserve_guard_only,raw,0.0108211,0.000429843,0.0127304,0.000172787,0.850023,0.0371008,,,,,,,,,
usb_mexican_hisp,men,25_49,104249,ever_active_duty,a_education_direct,0.0741298,0.00121167,0.079685,0.000338777,0.930285,0.0157375,,,,,,,,,
usb_mexican_hisp,men,25_49,104249,now_active_duty,a_education_direct,0.0130888,0.00036848,0.0132274,0.000132057,0.989517,0.0294143,,,,,,,,,
usb_mexican_hisp,men,25_49,104249,reserve_guard_only,a_education_direct,0.0120111,0.000531433,0.0127304,0.000172787,0.943501,0.0438709,,,,,,,,,
usb_mexican_hisp,men,25_49,104249,ever_active_duty,a_education_indirect,0.0660273,0.00108881,0.0776136,0.0003965,0.850719,0.0143002,,,,,,,,,
usb_mexican_hisp,men,25_49,104249,now_active_duty,a_education_indirect,0.0115908,0.000364457,0.0116667,0.000139961,0.993498,0.03298,,,,,,,,,
usb_mexican_hisp,men,25_49,104249,reserve_guard_only,a_education_indirect,0.0108211,0.000429843,0.0127429,0.000190459,0.849188,0.0382499,,,,,,,,,
usb_mexican_hisp,men,25_49,104249,ever_active_duty,age_direct,0.0692327,0.00121728,0.079685,0.000338777,0.86883,0.0156696,56864.48803275146,0.0,age (min 20),0,1.316349736513641,0.11692820445827258,,,
