measure,spec,group,n_model,columns,gap_points,se_points
volunteered,raw,mexico_born,72423,7,-19.8315,0.859657
volunteered,raw,mexican_2nd_gen,72423,7,-15.815,1.02706
volunteered,raw,mexican_3rd_plus,72423,7,-11.1639,1.11765
volunteered,raw,india_born,72423,7,-5.24764,2.04743
volunteered,raw,indian_2nd_gen,72423,7,-0.496611,4.37605
volunteered,ses,mexico_born,72423,23,-10.2404,0.958267
volunteered,ses,mexican_2nd_gen,72423,23,-9.11031,1.0217
volunteered,ses,mexican_3rd_plus,72423,23,-5.97653,1.05654
volunteered,ses,india_born,72423,23,-18.3117,2.05359
volunteered,ses,indian_2nd_gen,72423,23,-8.28803,4.5896
volunteered,ses_geo,mexico_born,72423,75,-9.19659,1.03115
volunteered,ses_geo,mexican_2nd_gen,72423,75,-7.95136,1.12493
volunteered,ses_geo,mexican_3rd_plus,72423,75,-5.24061,1.11115
volunteered,ses_geo,india_born,72423,75,-17.012,2.0618
volunteered,ses_geo,indian_2nd_gen,72423,75,-6.61412,4.52251
volunteered_pes16,raw,mexico_born,68671,7,-20.2088,0.74521
volunteered_pes16,raw,mexican_2nd_gen,68671,7,-15.4527,0.983565
volunteered_pes16,raw,mexican_3rd_plus,68671,7,-11.7203,1.08914
volunteered_pes16,raw,india_born,68671,7,-5.62385,2.00588
volunteered_pes16,raw,indian_2nd_gen,68671,7,2.66804,4.65061
volunteered_pes16,ses,mexico_born,68671,23,-9.82479,0.848363
volunteered_pes16,ses,mexican_2nd_gen,68671,23,-8.517,0.98124
volunteered_pes16,ses,mexican_3rd_plus,68671,23,-6.05781,1.03922
volunteered_pes16,ses,india_born,68671,23,-17.1335,2.07868
volunteered_pes16,ses,indian_2nd_gen,68671,23,-4.95836,4.92086
volunteered_pes16,ses_geo,mexico_born,68671,75,-8.81406,0.92138
volunteered_pes16,ses_geo,mexican_2nd_gen,68671,75,-7.30252,1.05988
volunteered_pes16,ses_geo,mexican_3rd_plus,68671,75,-5.14972,1.10371
volunteered_pes16,ses_geo,india_born,68671,75,-16.045,2.08013
volunteered_pes16,ses_geo,indian_2nd_gen,68671,75,-3.72828,4.8644
gave_over_25,raw,mexico_born,68165,7,-27.7962,1.15383
gave_over_25,raw,mexican_2nd_gen,68165,7,-29.1425,1.31251
gave_over_25,raw,mexican_3rd_plus,68165,7,-18.9805,1.6313
gave_over_25,raw,india_born,68165,7,-4.20256,2.52305
gave_over_25,raw,indian_2nd_gen,68165,7,-1.07577,5.40571
gave_over_25,ses,mexico_born,68165,23,-11.0813,1.30257
gave_over_25,ses,mexican_2nd_gen,68165,23,-12.2623,1.33145
gave_over_25,ses,mexican_3rd_plus,68165,23,-7.61158,1.51693
gave_over_25,ses,india_born,68165,23,-15.6465,2.32725
gave_over_25,ses,indian_2nd_gen,68165,23,-0.629761,5.41958
gave_over_25,ses_geo,mexico_born,68165,75,-8.58406,1.38269
gave_over_25,ses_geo,mexican_2nd_gen,68165,75,-9.44873,1.40041
gave_over_25,ses_geo,mexican_3rd_plus,68165,75,-5.60028,1.43093
gave_over_25,ses_geo,india_born,68165,75,-14.8612,2.27654
gave_over_25,ses_geo,indian_2nd_gen,68165,75,0.55941,5.27651
veteran,raw,mexico_born,25126,7,-7.89573,0.344399
veteran,raw,mexican_2nd_gen,25126,7,-3.8595,0.813906
veteran,raw,mexican_3rd_plus,25126,7,-2.00427,1.00697
veteran,raw,india_born,25126,7,-8.51288,0.279403
veteran,raw,indian_2nd_gen,25126,7,-8.7291,0.210273
veteran,ses,mexico_born,25126,21,-6.34589,0.430885
veteran,ses,mexican_2nd_gen,25126,21,-1.30876,0.829702
veteran,ses,mexican_3rd_plus,25126,21,-0.562567,1.02402
veteran,ses,india_born,25126,21,-6.74985,0.4193
veteran,ses,indian_2nd_gen,25126,21,-4.5455,0.623705
veteran,ses_geo,mexico_born,25126,73,-6.15421,0.494314
veteran,ses_geo,mexican_2nd_gen,25126,73,-0.970659,0.871844
veteran,ses_geo,mexican_3rd_plus,25126,73,-0.759417,1.05254
veteran,ses_geo,india_born,25126,73,-6.46709,0.457431
veteran,ses_geo,indian_2nd_gen,25126,73,-4.17226,0.695084
