st,puma,metro_size,pop20,dominant_share,share_metro_5m_plus,share_metro_1m_5m,share_metro_under_1m,share_non_metro
1,100,metro_under_1m,182904,0.8244,0.0,0.0,0.8244,0.1756
1,200,metro_under_1m,103570,1.0,0.0,0.0,1.0,0.0
1,300,metro_under_1m,156494,1.0,0.0,0.0,1.0,0.0
1,401,metro_under_1m,113502,1.0,0.0,0.0,1.0,0.0
1,402,metro_under_1m,153097,1.0,0.0,0.0,1.0,0.0
1,403,metro_under_1m,107983,1.0,0.0,0.0,1.0,0.0
1,501,non_metro,111183,0.8779,0.0,0.0,0.1221,0.8779
1,600,non_metro,124187,1.0,0.0,0.0,0.0,1.0
1,700,metro_under_1m,128407,0.8055,0.0,0.0,0.8055,0.1945
1,800,metro_under_1m,116441,1.0,0.0,0.0,1.0,0.0
1,900,metro_1m_5m,150237,1.0,0.0,1.0,0.0,0.0
1,1000,non_metro,140747,1.0,0.0,0.0,0.0,1.0
1,1100,non_metro,125892,0.4922,0.0,0.1771,0.3307,0.4922
1,1201,metro_under_1m,101012,1.0,0.0,0.0,1.0,0.0
1,1202,metro_under_1m,126024,1.0,0.0,0.0,1.0,0.0
1,1301,metro_1m_5m,115817,1.0,0.0,1.0,0.0,0.0
1,1401,metro_1m_5m,118409,1.0,0.0,1.0,0.0,0.0
1,1402,metro_1m_5m,133581,1.0,0.0,1.0,0.0,0.0
1,1403,metro_1m_5m,187166,1.0,0.0,1.0,0.0,0.0
1,1404,metro_1m_5m,185090,1.0,0.0,1.0,0.0,0.0
1,1501,metro_1m_5m,137436,1.0,0.0,1.0,0.0,0.0
1,1502,metro_1m_5m,130602,1.0,0.0,1.0,0.0,0.0
1,1600,non_metro,133408,1.0,0.0,0.0,0.0,1.0
1,1700,metro_under_1m,116089,0.5954,0.0,0.0,0.5954,0.4046
1,1801,metro_under_1m,109409,1.0,0.0,0.0,1.0,0.0
1,1802,metro_under_1m,105471,1.0,0.0,0.0,1.0,0.0
1,1901,metro_under_1m,102051,1.0,0.0,0.0,1.0,0.0
1,2000,non_metro,116359,0.8321,0.0,0.0,0.1679,0.8321
1,2101,metro_under_1m,127904,1.0,0.0,0.0,1.0,0.0
1,2201,metro_under_1m,105520,1.0,0.0,0.0,1.0,0.0
1,2300,metro_under_1m,151007,1.0,0.0,0.0,1.0,0.0
1,2400,non_metro,102791,1.0,0.0,0.0,0.0,1.0
1,2500,non_metro,128047,1.0,0.0,0.0,0.0,1.0
1,2600,non_metro,129866,1.0,0.0,0.0,0.0,1.0
1,2701,metro_under_1m,118618,1.0,0.0,0.0,1.0,0.0
1,2702,metro_under_1m,113149,1.0,0.0,0.0,1.0,0.0
1,2801,metro_under_1m,139133,1.0,0.0,0.0,1.0,0.0
1,2802,metro_under_1m,129797,1.0,0.0,0.0,1.0,0.0
1,2803,metro_under_1m,145879,1.0,0.0,0.0,1.0,0.0
2,101,metro_under_1m,131989,1.0,0.0,0.0,1.0,0.0
2,102,metro_under_1m,159258,1.0,0.0,0.0,1.0,0.0
2,200,metro_under_1m,165880,0.6455,0.0,0.0,0.6455,0.3545
2,300,metro_under_1m,163324,0.5857,0.0,0.0,0.5857,0.4143
2,400,non_metro,112940,1.0,0.0,0.0,0.0,1.0
4,101,metro_1m_5m,185881,1.0,0.0,1.0,0.0,0.0
4,102,metro_1m_5m,144062,1.0,0.0,1.0,0.0,0.0
4,103,metro_1m_5m,120951,1.0,0.0,1.0,0.0,0.0
