group,sex,age_band,universe,outcome,n_records,adults_per_year,rate,se,ratio_to_nh_white,ratio_se,share_in_group_quarters
usb_mexican_hisp,women,18_49,household,reserve_guard_only,145672,6009269,0.00298389,0.000180844,0.886787,0.0543867,0
usb_mexican_hisp,women,25_49,all,ever_active_duty,102440,4079987,0.0142133,0.00044841,0.979999,0.0323322,0.0188596
usb_mexican_hisp,women,25_49,all,now_active_duty,102440,4079987,0.00230033,0.000193858,1.0808,0.0994928,0.0838187
usb_mexican_hisp,women,25_49,all,reserve_guard_only,102440,4079987,0.00296226,0.000227506,0.863507,0.0667404,0.00739147
usb_mexican_hisp,women,25_49,household,ever_active_duty,100591,4053935,0.0140348,0.000443114,0.971888,0.0321218,0
usb_mexican_hisp,women,25_49,household,now_active_duty,100591,4053935,0.00212107,0.000176759,1.03771,0.0953043,0
usb_mexican_hisp,women,25_49,household,reserve_guard_only,100591,4053935,0.00295926,0.000227926,0.864982,0.0671479,0
usb_mexican_hisp,women,25_34,all,ever_active_duty,53483,2167157,0.0125467,0.00057736,1.08254,0.055504,0.0280121
usb_mexican_hisp,women,25_34,all,now_active_duty,53483,2167157,0.00324603,0.000310955,1.01481,0.109406,0.104293
usb_mexican_hisp,women,25_34,all,reserve_guard_only,53483,2167157,0.00274076,0.00029011,0.736481,0.0802589,0.00684662
usb_mexican_hisp,women,25_34,household,ever_active_duty,52540,2154430,0.0122673,0.000567346,1.07618,0.0553778,0
usb_mexican_hisp,women,25_34,household,now_active_duty,52540,2154430,0.00292467,0.000281091,0.975134,0.107887,0
usb_mexican_hisp,women,25_34,household,reserve_guard_only,52540,2154430,0.00273808,0.000291786,0.739365,0.0808659,0
usb_mexican_hisp,women,18_plus_born_1956_on,all,ever_active_duty,191908,7393569,0.0129784,0.000303028,0.86828,0.021266,0.0769789
usb_mexican_hisp,women,18_plus_born_1956_on,all,now_active_duty,191908,7393569,0.00293665,0.000163944,1.83884,0.115105,0.295746
usb_mexican_hisp,women,18_plus_born_1956_on,all,reserve_guard_only,191908,7393569,0.00318543,0.000169616,0.980177,0.0527712,0.0449084
usb_mexican_hisp,women,18_plus_born_1956_on,household,ever_active_duty,184057,7263402,0.0121941,0.0003113,0.818133,0.0216774,0
usb_mexican_hisp,women,18_plus_born_1956_on,household,now_active_duty,184057,7263402,0.00210521,0.000143845,1.57855,0.117561,0
usb_mexican_hisp,women,18_plus_born_1956_on,household,reserve_guard_only,184057,7263402,0.0030969,0.000162263,0.950431,0.0507163,0
usb_mexican_ancestry,men,18_24,all,ever_active_duty,33768,1384112,0.0359776,0.00114701,1.01039,0.0369667,0.491536
usb_mexican_ancestry,men,18_24,all,now_active_duty,33768,1384112,0.0257491,0.000899079,1.0762,0.0440544,0.653523
