allocation,weighting,contrast,metric,estimate,se_sampling,ci95_sampling_low,ci95_sampling_high,se_sampling_cps_and_meps,ci95_sampling_combined_low,ci95_sampling_combined_high
equal_all_members,resource_unit_head,all_native_minus_mexico_born,payroll,1488.1326560094922,46.176678271026674,1397.62636659828,1578.6389454207044,,,
equal_all_members,resource_unit_head,all_native_minus_mexico_born,federal_before_refundable,5290.680513382771,209.02160542182366,4880.998166755997,5700.362860009545,,,
equal_all_members,resource_unit_head,all_native_minus_mexico_born,federal_after_refundable,5572.770659236592,211.68617419783476,5157.865757808836,5987.675560664348,,,
equal_all_members,resource_unit_head,all_native_minus_mexico_born,federal_eitc,-201.55887907947158,10.494161456623202,-222.12743553445307,-180.9903226244901,,,
equal_all_members,resource_unit_head,all_native_minus_mexico_born,federal_actc,-80.53126677435336,5.432094136600316,-91.17817128208998,-69.88436226661673,,,
equal_all_members,resource_unit_head,all_native_minus_mexico_born,state_after_credits,1350.1489655587964,47.06867148425615,1257.8943694496543,1442.4035616679384,,,
equal_all_members,resource_unit_head,all_native_minus_mexico_born,social_security,926.9072188782164,56.92682659906535,815.3306387440483,1038.4837990123845,,,
equal_all_members,resource_unit_head,all_native_minus_mexico_born,ssi,179.1108949698425,13.267128138019393,153.10732381932448,205.1144661203605,,,
equal_all_members,resource_unit_head,all_native_minus_mexico_born,cash_assistance,3.674844499843502,4.024150344385785,-4.212490175152637,11.562179174839642,,,
equal_all_members,resource_unit_head,all_native_minus_mexico_born,unemployment,31.91809848478765,10.627723494451208,11.08776043566328,52.74843653391201,,,
equal_all_members,resource_unit_head,all_native_minus_mexico_born,veterans,369.6566433758535,30.485286814063425,309.9054812202892,429.4078055314178,,,
equal_all_members,resource_unit_head,all_native_minus_mexico_born,snap,-0.36543709843232364,13.06140102025429,-25.965783098130732,25.234908901266085,,,
equal_all_members,resource_unit_head,all_native_minus_mexico_born,energy,2.5555278233695082,2.0165429132715333,-1.396896286642697,6.5079519333817135,,,
