geography,frame,passthrough,occupied_owner_share_of_property_tax,occupied_renter_share_of_property_tax,nonresidential_residual_share,owner_base_dollars,renter_base_dollars,cog_property_tax_dollars
US,national,0.0,0.48986374759946166,0.13870725595569483,0.3714289964448435,317938312305.89734,90025749158.30371,649034173000.0
US,national,0.5,0.48986374759946166,0.13870725595569483,0.3714289964448435,317938312305.89734,90025749158.30371,649034173000.0
US,national,1.0,0.48986374759946166,0.13870725595569483,0.3714289964448435,317938312305.89734,90025749158.30371,649034173000.0
CA,state,0.0,0.42583783666803987,0.1807124043003661,0.39344975903159407,35525485327.81511,15075916968.203674,83424915000.0
CA,state,0.5,0.42583783666803987,0.1807124043003661,0.39344975903159407,35525485327.81511,15075916968.203674,83424915000.0
CA,state,1.0,0.42583783666803987,0.1807124043003661,0.39344975903159407,35525485327.81511,15075916968.203674,83424915000.0
TX,state,0.0,0.4659730021394432,0.11246835722586242,0.4215586406346944,31255880015.576553,7543993885.612711,67076590000.0
TX,state,0.5,0.4659730021394432,0.11246835722586242,0.4215586406346944,31255880015.576553,7543993885.612711,67076590000.0
TX,state,1.0,0.4659730021394432,0.11246835722586242,0.4215586406346944,31255880015.576553,7543993885.612711,67076590000.0
CA,state,0.0,0.42583783666803987,0.1807124043003661,0.39344975903159407,35525485327.81511,15075916968.203674,83424915000.0
CA,state,0.5,0.42583783666803987,0.1807124043003661,0.39344975903159407,35525485327.81511,15075916968.203674,83424915000.0
CA,state,1.0,0.42583783666803987,0.1807124043003661,0.39344975903159407,35525485327.81511,15075916968.203674,83424915000.0
TX,state,0.0,0.4659730021394432,0.11246835722586242,0.4215586406346944,31255880015.576553,7543993885.612711,67076590000.0
TX,state,0.5,0.4659730021394432,0.11246835722586242,0.4215586406346944,31255880015.576553,7543993885.612711,67076590000.0
TX,state,1.0,0.4659730021394432,0.11246835722586242,0.4215586406346944,31255880015.576553,7543993885.612711,67076590000.0
