group,federal_bn,state_local_bn,total_bn,deficit_financed_share,rate,annual_interest_bn
mexican_observed_total,-243.20869202634594,-235.09946803492164,-478.3081600612676,0.5084769868763953,0.03324,8.084256922955738
mexican_observed_total,-243.20869202634594,-235.09946803492164,-478.3081600612676,0.5084769868763953,0.049400000000000006,12.014509386101492
third_plus_nh_white,-999.1002275411821,-301.7779209845422,-1300.8781485257243,0.7680198400391728,0.03324,33.21009156346889
third_plus_nh_white,-999.1002275411821,-301.7779209845422,-1300.8781485257243,0.7680198400391728,0.049400000000000006,49.3555512405344
all_native,-1615.0297456763349,-843.8128617757068,-2458.842607452042,0.6568251830278384,0.03324,53.68358874628137
all_native,-1615.0297456763349,-843.8128617757068,-2458.842607452042,0.6568251830278384,0.049400000000000006,79.78246943641096
