group,geography,convention,passthrough,decile,tenure,households,income_dollars,federal_dollars,state_local_dollars,total_dollars,per_household,share_of_income,note
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,1,no_cash_rent,275763.57723149,2347924995.266514,259024.78806999957,111479124.21387735,111738149.00194734,405.1954580939768,0.04759016971462664,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,1,owner,6082867.27027557,41203566588.52645,24958815.28356766,3620655724.570064,3645614539.8536315,599.3250185925026,0.08847813045555114,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,1,renter,5360171.59550726,43292252733.99284,13882885.168378191,2187343333.8068295,2201226218.975208,410.6633863774457,0.05084573058603663,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,2,no_cash_rent,293086.75319936,6244721348.75032,1495599.8594947397,200228995.46494696,201724595.3244417,688.2760586154059,0.032303218039474314,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,2,owner,5637410.67828922,122732404947.81564,27802719.273741562,4892557945.716755,4920360664.990497,872.8050776821664,0.04009015114698172,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,2,renter,5788887.1275282595,125991735628.54825,34969066.59092323,3946328471.597035,3981297538.1879582,687.7483444538836,0.031599672139811706,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,3,no_cash_rent,179350.95385456,5682609033.4062605,2041706.318408746,151982172.87093005,154023879.1893388,858.7848343100559,0.027104430074967528,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,3,owner,6208503.42834028,200906614856.70615,60862795.343540564,6362447363.999539,6423310159.34308,1034.5987939738036,0.03197162106346979,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,3,renter,5332736.17221653,172823142386.7999,65350527.5232314,4443379453.988611,4508729981.511843,845.4815381646393,0.026088693442575757,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,4,no_cash_rent,146609.07592127,6363603514.844706,2941584.825725557,154081984.9685791,157023569.79430467,1071.0358059867133,0.024675259768778445,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,4,owner,6332146.11438108,275342556996.8819,109270394.63475116,7625292188.139302,7734562582.774054,1221.4756960847626,0.028090690618746753,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,4,renter,5241493.7946272,226817732759.5499,110858899.29639064,5186782266.380801,5297641165.677192,1010.7120933935944,0.023356380037945428,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,5,no_cash_rent,126248.43665238,7038463370.036355,4424924.05747194,156866133.8569863,161291057.91445825,1277.5687540477566,0.022915663467269722,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,5,owner,7080665.79356858,389748433090.511,197812165.7563134,10117074584.83494,10314886750.591253,1456.7679158025421,0.02646549895992997,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,5,renter,4513138.78272012,247469691969.17874,147140282.88178486,5356824046.873613,5503964329.755398,1219.542450329457,0.02224096327093215,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,6,no_cash_rent,107958.64864836,7286984606.846871,4470528.732510274,155288963.84403375,159759492.57654402,1479.8211590894243,0.02192395087900056,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,6,owner,7981122.95739667,546982394783.4121,311823342.33787715,13376165508.72338,13687988851.061256,1715.0454797060395,0.02502455103053412,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,6,renter,3630667.80053183,247274484812.6564,164690365.7980066,5013241060.553498,5177931426.351505,1426.1650227522957,0.020940015021260618,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,7,no_cash_rent,117997.58214996,10193433624.797731,6936951.32522196,195901076.8623648,202838028.18758675,1719.0015633524192,0.019898891350421843,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
