YEAR,records,with_sex,weighted_share_with_sex,inferred_women,men_per_woman_where_known
1980,11343120,4214616,0.3716,2075764,0.9795
1990,12501046,7977925,0.6491,0,0.9805
2000,14081466,9059449,0.6527,0,0.9892
2010,3061692,1976229,0.6624,0,0.9879
2023,3405809,891055,0.2899,390378,1.0339
