domain,race_code,race_label,measure,measure_label,estimate,se,n_obs,weighted_n,cv,ci95_lo,ci95_hi
75+,3,Hispanic,PAMTALPR,All private insurance payments,304.75678979344775,85.3746047418621,366,1643243.59568928,0.28014012353826695,137.42256449939805,472.09101508749745
75+,3,Hispanic,PAMTOTH,Other payments (includes VA),255.3256954451962,54.24426062906238,366,1643243.59568928,0.21245124010914723,149.00694461223395,361.64444627815845
75+,3,Hispanic,PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,17228.58871788175,1984.295605098572,366,1643243.59568928,0.11517458786621615,13339.369331888549,21117.80810387495
75+,3,Hispanic,ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.375618363820766,0.0334562341253432,366,1643243.59568928,0.08906975097018294,0.31004414493509336,0.4411925827064387
75+,3,Hispanic,ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.676514511405232,0.03806721176187595,366,1643243.59568928,0.05626961598030482,0.6019027763519551,0.7511262464585089
75+,4,Other,PAMTTOT,"Total payments, all sources",16822.356600467763,1845.6417637891261,154,1255932.6083616,0.10971362738427541,13204.898743441076,20439.81445749445
75+,4,Other,PAMTCARE,Medicare payments,6845.4230302953865,1279.978986036655,154,1255932.6083616,0.18698318283208024,4336.664217663543,9354.18184292723
75+,4,Other,PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,4775.692778500393,1190.4238792359602,154,1255932.6083616,0.2492672653892454,2442.4619751979108,7108.923581802875
75+,4,Other,PAMTCAID,Medicaid payments,1129.6754324513304,501.7623305540222,154,1255932.6083616,0.4441650372667014,146.22126456544686,2113.129600337214
75+,4,Other,PAMTOOP,Out-of-pocket payments,2216.008287050679,319.2164202734316,154,1255932.6083616,0.14405019247391077,1590.344103314753,2841.672470786605
75+,4,Other,PAMTALPR,All private insurance payments,817.1902225982424,304.0269614291326,154,1255932.6083616,0.37203940162485555,221.2973781971425,1413.0830669993422
75+,4,Other,PAMTOTH,Other payments (includes VA),794.1311987919432,353.52586930246304,154,1255932.6083616,0.44517312736265424,101.22049495911574,1487.0419026247707
75+,4,Other,PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,12750.79124124711,1632.928259386934,154,1255932.6083616,0.12806485719134267,9550.25185284872,15951.330629645501
75+,4,Other,ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.14962401226387773,0.03059589593955551,154,1255932.6083616,0.20448519911093163,0.08965605622234893,0.20959196830540652
75+,4,Other,ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.5328691770280193,0.0490997734033445,154,1255932.6083616,0.0921422659069709,0.43663362115746407,0.6291047328985745
"65+ income <$25,000",1,Non-Hispanic white,PAMTTOT,"Total payments, all sources",17827.243653546015,1489.3638741155958,693,5769269.1443999,0.08354425973301524,14908.090460279447,20746.396846812582
"65+ income <$25,000",1,Non-Hispanic white,PAMTCARE,Medicare payments,8531.149596429499,1020.4312226340892,693,5769269.1443999,0.11961239351155738,6531.104400066684,10531.194792792314
"65+ income <$25,000",1,Non-Hispanic white,PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,4495.410417315309,597.2272354026819,693,5769269.1443999,0.13285266081652902,3324.8450359260523,5665.975798704566
"65+ income <$25,000",1,Non-Hispanic white,PAMTCAID,Medicaid payments,1577.6088103191287,326.5324586519303,693,5769269.1443999,0.20697935794734645,937.6051913613453,2217.612429276912
"65+ income <$25,000",1,Non-Hispanic white,PAMTOOP,Out-of-pocket payments,1924.3583357731918,174.8519461027306,693,5769269.1443999,0.09086246716751768,1581.6485214118397,2267.068150134544
"65+ income <$25,000",1,Non-Hispanic white,PAMTALPR,All private insurance payments,538.8218298943625,165.98179460228351,693,5769269.1443999,0.30804578692519696,213.49751247388684,864.1461473148381
"65+ income <$25,000",1,Non-Hispanic white,PAMTOTH,Other payments (includes VA),395.2307872579112,91.02543404024074,693,5769269.1443999,0.23030957348178782,216.82093653903934,573.640637976783
"65+ income <$25,000",1,Non-Hispanic white,PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,14604.168824063938,1355.6005111695677,693,5769269.1443999,0.09282284582576754,11947.191822171586,17261.14582595629
"65+ income <$25,000",1,Non-Hispanic white,ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.2634440607002387,0.022093538195848035,693,5769269.1443999,0.08386424858895299,0.22014072583637653,0.3067473955641008
"65+ income <$25,000",1,Non-Hispanic white,ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.5884216398472448,0.023616857518272815,693,5769269.1443999,0.04013594320631,0.5421325991114301,0.6347106805830596
"65+ income <$25,000",2,Non-Hispanic black,PAMTTOT,"Total payments, all sources",13983.42721552714,1509.0978115747632,248,2169729.3339173,0.10792045385691051,11025.595504840603,16941.258926213675
"65+ income <$25,000",2,Non-Hispanic black,PAMTCARE,Medicare payments,6826.887248001446,1007.5899204119997,248,2169729.3339173,0.14759141081566407,4852.011003993926,8801.763492008966
"65+ income <$25,000",2,Non-Hispanic black,PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,3152.186329768979,359.37909578432095,248,2169729.3339173,0.11400947094731534,2447.80330203171,3856.569357506248
"65+ income <$25,000",2,Non-Hispanic black,PAMTCAID,Medicaid payments,2854.4233121560737,882.8354271348759,248,2169729.3339173,0.30928679126714065,1124.065874971717,4584.780749340431
"65+ income <$25,000",2,Non-Hispanic black,PAMTOOP,Out-of-pocket payments,741.7877941893952,134.4980097144873,248,2169729.3339173,0.1813160189046558,478.1716951490001,1005.4038932297904
"65+ income <$25,000",2,Non-Hispanic black,PAMTALPR,All private insurance payments,45.281583792633356,20.204635379200443,248,2169729.3339173,0.4461998385861989,5.680498449400488,84.88266913586622
"65+ income <$25,000",2,Non-Hispanic black,PAMTOTH,Other payments (includes VA),139.49399354326266,34.84492193651259,248,2169729.3339173,0.2497951420804781,71.19794654769798,207.79004053882733
"65+ income <$25,000",2,Non-Hispanic black,PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,12833.496889926511,1510.4544381371547,248,2169729.3339173,0.11769624842647264,9873.006191177688,15793.987588675334
"65+ income <$25,000",2,Non-Hispanic black,ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.4625705913533333,0.039781239033170816,248,2169729.3339173,0.08600036356998758,0.38459936284831847,0.540541819858348
"65+ income <$25,000",2,Non-Hispanic black,ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.7559899527867658,0.03125260730224062,248,2169729.3339173,0.04133997705529788,0.6947348424743742,0.8172450630991575
"65+ income <$25,000",3,Hispanic,PAMTTOT,"Total payments, all sources",23372.898642649678,2898.842649575551,373,2227872.9628894,0.12402580843292968,17691.1670494816,29054.630235817756
"65+ income <$25,000",3,Hispanic,PAMTCARE,Medicare payments,12912.855152557715,2277.4391361400976,373,2227872.9628894,0.17636991271361033,8449.074445723123,17376.635859392307
"65+ income <$25,000",3,Hispanic,PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,5214.140797474203,598.4265337780189,373,2227872.9628894,0.1147699222214913,4041.2247912692865,6387.05680367912
"65+ income <$25,000",3,Hispanic,PAMTCAID,Medicaid payments,4331.098589381956,1081.5101496869509,373,2227872.9628894,0.2497080422824735,2211.3386959955324,6450.85848276838
"65+ income <$25,000",3,Hispanic,PAMTOOP,Out-of-pocket payments,599.087772760364,97.50736599415767,373,2227872.9628894,0.1627597330936693,407.973335411815,790.202210108913
"65+ income <$25,000",3,Hispanic,PAMTALPR,All private insurance payments,66.13712912381281,29.508354896858084,373,2227872.9628894,0.44616927416998414,8.300753525970968,123.97350472165465
"65+ income <$25,000",3,Hispanic,PAMTOTH,Other payments (includes VA),124.31542342589744,31.303503228575707,373,2227872.9628894,0.251807075629962,62.96055709788905,185.67028975390582
"65+ income <$25,000",3,Hispanic,PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,22458.094539413865,2899.144913267346,373,2227872.9628894,0.1290913130755309,16775.770509409867,28140.418569417863
"65+ income <$25,000",3,Hispanic,ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.615548962362684,0.034679805657406616,373,2227872.9628894,0.0563396379132764,0.547576543274167,0.6835213814512009
"65+ income <$25,000",3,Hispanic,ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.7444215614358765,0.03125246053896392,373,2227872.9628894,0.04198220760651083,0.6831667387795072,0.8056763840922457
"65+ income <$25,000",4,Other,PAMTTOT,"Total payments, all sources",14849.270241453012,2298.578193249715,93,1021855.0004794,0.15479401720584468,10344.05698268357,19354.483500222454
