age_group,published_total_n,computed_total_n,published_total_weighted,computed_total_weighted,published_hispanic_n,computed_hispanic_n,published_hispanic_weighted,computed_hispanic_weighted,published_nonhispanic_n,computed_nonhispanic_n,published_nonhispanic_weighted,computed_nonhispanic_weighted
Under 65,1058,1058,6779654,6779654,121,121,749890,749890,937,937,6029764,6029764
65-74,2463,2463,31805081,31805081,266,266,2698696,2698696,2197,2197,29106385,29106385
75+,3399,3399,22784842,22784842,366,366,1643244,1643244,3033,3033,21141598,21141598
