domain,measure,measure_label,hispanic_mean,hispanic_se,hispanic_n_obs,nhwhite_mean,nhwhite_se,nhwhite_n_obs,ratio,ratio_se,ratio_ci95_lo,ratio_ci95_hi,ratio_excludes_1,diff,diff_se,diff_ci95_lo,diff_ci95_hi
65+,PAMTTOT,"Total payments, all sources",17805.104694134778,1634.4680872059926,632,17917.671699479353,690.7332254446501,4454,0.9937175428128954,0.10129276922383428,0.7951837151341802,1.1922513704916105,False,-112.56700534457559,1801.112810056047,-3642.7481130544274,3417.6141023652763
65+,PAMTCARE,Medicare payments,8716.126681713517,1197.322277323532,632,7898.232253267218,419.3875553310139,4454,1.1035541121379362,0.1656118982180028,0.7789547916306507,1.4281534326452217,False,817.8944284462987,1281.870035156899,-1694.5708404612233,3330.3596973538206
65+,PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,4542.178782906162,533.3988056591347,632,4203.642861078511,366.9149235147266,4454,1.0805339399695804,0.16096611815603507,0.7650403483837516,1.3960275315554092,False,338.5359218276517,659.0775905713903,-953.2561556922733,1630.3279993475767
65+,PAMTCAID,Medicaid payments,2379.281335550771,571.5511794422315,632,259.8813322363483,47.99300999682329,4454,9.155260653300562,3.2268228020896474,2.8306879612048537,15.47983334539627,True,2119.4000033144225,574.7816522097237,992.8279649833642,3245.972041645481
65+,PAMTOOP,Out-of-pocket payments,1263.1723136366313,127.87500403476268,632,3011.728810934819,79.96117290892909,4454,0.41941768098454774,0.04341522374252506,0.3343238424491986,0.5045115195198968,True,-1748.5564972981879,149.35360202766188,-2041.289557272405,-1455.8234373239707
65+,PAMTALPR,All private insurance payments,463.03355357491904,133.93181487716993,632,1443.0024128235073,82.37107086167264,4454,0.3208820369668726,0.09441569220513149,0.1358272802448149,0.5059367936889303,True,-979.9688592485882,154.21943115763173,-1282.2389443175464,-677.6987741796299
65+,PAMTOTH,Other payments (includes VA),233.6919799627436,48.946485488915755,632,598.3833230901895,49.82830810118321,4454,0.3905389253763028,0.08911082156850503,0.21588171510203294,0.5651961356505727,True,-364.69134312744586,68.24638102721623,-498.4542499407897,-230.92843631410204
65+,PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,15637.58680017046,1694.0512492220084,632,12361.75644658205,592.7845445105999,4454,1.264997160212953,0.15246216057505946,0.9661713254858365,1.5638229949400695,False,3275.8303535884097,1806.434771265781,-264.7817980925206,6816.4425052693405
65+,ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.35791224276993644,0.0252839964556593,632,0.050957536599391944,0.004005752019056279,4454,7.023735185311279,0.7217513717745826,5.6091024966330965,8.43836787398946,True,0.3069547061705445,0.0251521052751334,0.25765657983128304,0.35625283250980594
65+,ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.6275459661083426,0.024832397814569696,632,0.42707526760804043,0.009350651468820114,4454,1.469403671214905,0.06661947003556266,1.3388295099452021,1.599977832484608,True,0.20047069850030214,0.026601532917285658,0.14833169398242224,0.25260970301818203
