dimension,category,education,measure,group_set,total,group_total,group_total_se,share,share_se
all_workers,all,all,employed,union,167385115.0,18900480.0,49555.3931873212,0.11291613355225762,0.000296765540740474
all_workers,all,all,employed,mx_born,167385115.0,7214373.0,40718.66533544537,0.04310044534127183,0.0002531236002251922
all_workers,all,all,employed,us_born_mx_origin,167385115.0,11440637.0,47787.86351679682,0.06834918983088789,0.00027255436797429854
all_workers,all,all,employed,fb_mx_origin,167385115.0,245470.0,7838.905564554277,0.0014664983800978958,4.675002167522546e-05
all_workers,all,all,employed,other_us_born,167385115.0,124989133.0,126595.26897163258,0.7467159370772006,0.0004943612596764822
all_workers,all,all,employed,other_foreign_born,167385115.0,23495502.0,70418.4761507944,0.1403679293705417,0.0004251078340161961
all_workers,all,all,employed,all,167385115.0,167385115.0,106898.18904102164,1.0,0.0
all_workers,all,all,earnings,union,12199428980971.373,980045330339.0015,4192574591.2643785,0.08033534453683634,0.00033211301420187913
all_workers,all,all,earnings,mx_born,12199428980971.373,353711347775.964,2428190529.3143997,0.02899409048797954,0.0002076040826961471
all_workers,all,all,earnings,us_born_mx_origin,12199428980971.373,613007693750.9,3974415963.9980745,0.05024888416556769,0.0003083503012900059
all_workers,all,all,earnings,fb_mx_origin,12199428980971.373,13326288812.1375,534367153.0789025,0.0010923698832891113,4.379510571307726e-05
all_workers,all,all,earnings,other_us_born,12199428980971.373,9318966681441.082,16684038356.74756,0.763885481523502,0.0006176279875976009
all_workers,all,all,earnings,other_foreign_born,12199428980971.373,1900416969191.289,7239611957.911887,0.15577917393966167,0.000562165949255095
all_workers,all,all,earnings,all,12199428980971.373,12199428980971.373,18399177650.337826,1.0,2.220446049250313e-16
all_workers,all,all,hours,union,333811101912.0,37284599386.0,92595652.41700256,0.11169370692718616,0.00027966344251335195
all_workers,all,all,hours,mx_born,333811101912.0,14455718122.0,76723815.5462727,0.04330508493935845,0.00024109521977102525
all_workers,all,all,hours,us_born_mx_origin,333811101912.0,22329508133.0,94696332.8635882,0.06689264678466732,0.000270509638873924
all_workers,all,all,hours,fb_mx_origin,333811101912.0,499373131.0,17432362.120582104,0.0014959752031603964,5.2181485702855526e-05
all_workers,all,all,hours,other_us_born,333811101912.0,249923795974.0,246259567.76153052,0.7486982743907824,0.00048313362277764045
all_workers,all,all,hours,other_foreign_born,333811101912.0,46602706552.0,141002670.83121198,0.13960801868203146,0.0004224623176602484
all_workers,all,all,hours,all,333811101912.0,333811101912.0,211917501.90645954,1.0,0.0
all_workers,all,hs_or_less,employed,union,54325600.0,10379481.0,47473.820329208815,0.19106058653747035,0.0007382955802607413
all_workers,all,hs_or_less,employed,mx_born,54325600.0,5211236.0,38160.108153672736,0.09592597228562592,0.0006222545810135856
all_workers,all,hs_or_less,employed,us_born_mx_origin,54325600.0,5017756.0,29708.368461596812,0.09236448377928638,0.0005528820930320191
all_workers,all,hs_or_less,employed,fb_mx_origin,54325600.0,150489.0,6531.031388685864,0.0027701304725580573,0.00011918296755213081
all_workers,all,hs_or_less,employed,other_us_born,54325600.0,36156114.0,90507.94447754296,0.6655446787518223,0.0009885948020776805
all_workers,all,hs_or_less,employed,other_foreign_born,54325600.0,7790005.0,57454.33608745296,0.1433947347107073,0.0008603098037691991
all_workers,all,hs_or_less,employed,all,54325600.0,54325600.0,138527.80191156577,1.0,0.0
all_workers,all,hs_or_less,earnings,union,2475221554797.1987,442045956763.26855,2509092871.18186,0.17858844025761828,0.0008847180595619808
all_workers,all,hs_or_less,earnings,mx_born,2475221554797.1987,224730659561.0785,1710448166.6272862,0.09079213904126301,0.0006521563081755326
all_workers,all,hs_or_less,earnings,us_born_mx_origin,2475221554797.1987,210528471736.4825,1869293221.5189986,0.08505439496050754,0.0007168050419083008
all_workers,all,hs_or_less,earnings,fb_mx_origin,2475221554797.1987,6786825465.7075,365843401.6825181,0.0027419062558476964,0.00014683973602017816
all_workers,all,hs_or_less,earnings,other_us_born,2475221554797.1987,1689732531457.3508,6286217462.474807,0.6826591050738466,0.001280550945554769
all_workers,all,hs_or_less,earnings,other_foreign_born,2475221554797.1987,343443066576.5795,2958579879.7418365,0.1387524546685352,0.001008600241671719
all_workers,all,hs_or_less,earnings,all,2475221554797.1987,2475221554797.1987,8359393059.625253,1.0,2.0471501066083614e-16
all_workers,all,hs_or_less,hours,union,104244020910.0,20297332467.0,88905894.52898265,0.19470980004238211,0.0007108474180854404
all_workers,all,hs_or_less,hours,mx_born,104244020910.0,10413034079.0,69498685.28498453,0.09989094806684583,0.0005940931936096853
all_workers,all,hs_or_less,hours,us_born_mx_origin,104244020910.0,9580061585.0,57130388.3320389,0.0919003459514578,0.0005419845424859076
all_workers,all,hs_or_less,hours,fb_mx_origin,104244020910.0,304236803.0,14949514.542796336,0.0029185060240784987,0.00014207989304384
all_workers,all,hs_or_less,hours,other_us_born,104244020910.0,69033731806.0,195173388.48669,0.6622320513288804,0.000990018594620499
all_workers,all,hs_or_less,hours,other_foreign_born,104244020910.0,14912956637.0,112221819.93754865,0.1430581486287375,0.000858756363940128
all_workers,all,hs_or_less,hours,all,104244020910.0,104244020910.0,293339076.854101,1.0,0.0
all_workers,all,more,employed,union,113059515.0,8520999.0,41197.05256811463,0.07536737620004827,0.00031404277177291245
all_workers,all,more,employed,mx_born,113059515.0,2003137.0,19962.250339077505,0.01771754460471549,0.00017515254591961592
all_workers,all,more,employed,us_born_mx_origin,113059515.0,6422881.0,37616.93747967796,0.056809734235990665,0.00029479744025757217
all_workers,all,more,employed,fb_mx_origin,113059515.0,94981.0,5086.532822070452,0.0008400973593421129,4.4876457166164925e-05
all_workers,all,more,employed,other_us_born,113059515.0,88833019.0,159073.80156031353,0.7857190878627066,0.0005050245876043732
all_workers,all,more,employed,other_foreign_born,113059515.0,15705497.0,49052.76546383496,0.1389135359372451,0.0004343560943539531
all_workers,all,more,employed,all,113059515.0,113059515.0,183745.5538670256,1.0,0.0
