geography,dose_basis,estimate,coefficient,dose,rent_share_due_to_group,other_renters_extra_rent_bn
state,mexico_born,point,-0.548,0.10610411243439903,-0.05986872234931173,-41.01290200480148
state,mexico_born,ci_low,-1.26536,0.10610411243439903,-0.14369002572709277,-98.43445313277859
state,mexico_born,ci_high,0.16935999999999996,0.10610411243439903,0.017809298546414554,12.200210517215933
state,union,point,-0.548,0.236186521954305,-0.13817967971931466,-94.6596059010145
state,union,ci_low,-1.26536,0.236186521954305,-0.34832216321694065,-238.61713070750184
state,union,ci_high,0.16935999999999996,0.236186521954305,0.039211088665070504,26.861447410537675
metro,mexico_born,point,-1.171,0.10610411243439903,-0.13229655025268938,-90.62938439589435
metro,mexico_born,ci_low,-2.18628,0.10610411243439903,-0.261086056035605,-178.85627771596293
metro,mexico_born,ci_high,-0.15572000000000008,0.10610411243439903,-0.016659784300987246,-11.412738975301934
metro,union,point,-1.171,0.236186521954305,-0.31860507597554033,-218.259522609762
metro,union,ci_low,-2.18628,0.236186521954305,-0.675932738707125,-463.04584575373195
metro,union,ci_high,-0.15572000000000008,0.236186521954305,-0.03746367991460753,-25.664389898153754
