band,band_label,union_population,foreign_born_share,n_mexican_donors,ledger_medical_bn,ledger_M_bn,ratio_public,se_ratio_public,ratio_M,se_ratio_M,delta_medical_bn,se_delta_medical_bn,delta_M_bn,se_delta_M_bn,delta_total_bn,se_delta_total_bn,ratio_public_drop_top1,delta_medical_bn_drop_top1
0,0-17,12123523.515166003,0.04503500456398496,729,-17.76516758070234,-9.138000853840087,2.4248825101986484,0.9385575143784564,2.4491851547664067,0.9852253877706877,-25.3132765764908,16.673631527060717,-13.242655181627802,9.002990434673471,-38.5559317581186,25.666886716801866,1.0900830411806932,-1.600340322754325
1,18-24,5023250.594676773,0.11544373943703556,283,-5.253363569481761,-2.457528494190027,0.8822220615648594,0.2240913946099056,0.949169383954637,0.24252155963540836,0.6187303310638333,1.1772335686780395,0.12491768730871233,0.5960036432594219,0.7436480183725457,1.7670764014035627,0.7489766647738073,1.3187168443670882
2,25-34,6301180.741889779,0.26929016471424233,358,-6.318408154659995,-2.9179770092901203,1.2410431525406176,0.30682094147781414,0.9347137565071367,0.3272084378363124,-1.5230090206375915,1.938619938653878,0.19050375753509172,0.954786698852095,-1.3325052631024996,2.7962799527326037,1.0035664405533617,-0.022534227075470984
3,35-44,5693504.730603656,0.4543640758525682,342,-7.584553927213812,-3.1762248878463626,0.7308439145240085,0.19381985901383852,0.5427091301875278,0.11907429863439319,2.041428845130427,1.4700371728554356,1.4524586416832852,0.3782067508254098,3.4938874868137124,1.748026748025596,0.47878280757298985,3.953199903753637
4,45-54,4921286.626263097,0.5829632652404485,301,-10.470798037866592,-3.8112331118375207,0.7313155416829904,0.20215864345082352,0.8941356382555679,0.26409540743903515,2.8133406989509924,2.1167623271826557,0.4034737608439251,1.0065291615158716,3.2168144597949175,3.0924443786171483,0.4790867464387288,5.454377473288062
5,55-64,3671409.3846551,0.6247910158761146,283,-11.579524790333663,-3.937313612026663,0.748008697171055,0.2542206698422082,0.9455932134907493,0.29382476596041424,2.917939538056246,2.943754548653077,0.21421658110950134,1.1568802505664872,3.132156119165747,4.0637115681569185,0.6512554112703725,4.038296610689439
6,65-74,2050156.3178037205,0.542567095608997,172,-21.958866352315283,-6.304594928542271,0.9839963056414324,0.21672877558245696,1.0303717039407667,0.21985769114476544,0.3514229855630887,4.759118217716105,-0.19148129063614514,1.3861136845923014,0.15994169492694357,6.1407768874385615,0.7820729945472681,4.7854299872968245
7,75+,1112262.2412937295,0.4818879927942867,108,-11.947000257120266,-3.4075081303680603,0.8297357201005224,0.18448331615915334,0.8411747375837907,0.17754546050629097,2.034147395737455,2.2040222255878033,0.541198372991074,0.6049876001851279,2.5753457687285293,2.791928211364676,0.8109658953207098,2.2583904972079787
-2,65plus,3162418.55909745,,280,-33.90586660943555,-9.712103058910332,,,,,2.385570381300544,5.198587935547673,0.3497170823549288,1.5090172904254906,2.7352874636554727,6.69362288643486,,7.043820484504803
-1,all_bands,40896574.152351856,,2576,-92.87768266969371,-35.150381027941116,,,,,-16.05927580262635,19.673232196079706,-10.507367670792357,10.095885488699034,-26.566643473418697,29.65453113523038,,20.185536766773232
