scheme,band,band_label,nativity,subgroup,denominator,measure,ratio,se,ci_lo,ci_hi,excludes_one,difference,se_difference,n_mexican,n_denominator,pooled_ratio,coverage_composition_part,standard_share_medicaid_ever
transport,0,0-17,us_born,all,nh_white,public,4.613969936583557,3.188608333472038,-1.6355875578259198,10.863527430993035,False,2944.8145550876548,2524.041041329865,691,1546,,,
transport,0,0-17,us_born,all,nh_white,medicare,0.021917492311780324,0.02123704742235018,-0.01970635577399522,0.06354134039755586,True,-6.857343212165654,4.86277043190576,691,1546,,,
transport,0,0-17,us_born,all,nh_white,medicaid,4.92338414102522,3.5677010140818495,-2.0691813541822324,11.915949636232673,False,2864.9789111940663,2527.8030651847084,691,1546,,,
transport,0,0-17,us_born,all,nh_white,out_of_pocket,0.3217710557785374,0.09393586427406976,0.1376601449447179,0.5058819666123568,True,-485.32129677446034,114.88368672932258,691,1546,,,
transport,0,0-17,us_born,all,nh_white,private,0.3894775549321929,0.09646977584341546,0.20040026868244648,0.5785548411819392,True,-1248.6670033761338,278.4357365435839,691,1546,,,
transport,0,0-17,us_born,all,nh_white,total_all_sources,1.325006342866872,0.6991666143274601,-0.04533504040775593,2.6953477261414998,False,1177.9076801939518,2521.2548268751734,691,1546,,,
transport,0,0-17,us_born,all,nh_white,share_medicaid_ever,2.180858531523581,0.20155714047883114,1.7858137953581916,2.5759032676889704,True,0.3355869239122197,0.04101610124641743,691,1546,,,
transport,0,0-17,us_born,all,all_donors,public,2.435796589755268,0.9457158022578613,0.5822276777194564,4.28936550179108,False,2216.154710366688,2074.4367839359506,691,3372,,,
transport,0,0-17,us_born,all,all_donors,medicare,0.035619299976934936,0.03137608116760447,-0.025876689087575275,0.09711528904144515,True,-4.160393295322419,2.3951901407183933,691,3372,,,
transport,0,0-17,us_born,all,all_donors,medicaid,2.462046827177902,0.9931305225680133,0.5155467709971528,4.408546883358651,False,2134.9577922229178,2077.7285361586155,691,3372,,,
transport,0,0-17,us_born,all,all_donors,out_of_pocket,0.46377611422320286,0.11461677956692684,0.23913135424805987,0.6884208741983459,True,-266.2182246942242,68.5228533219228,691,3372,,,
transport,0,0-17,us_born,all,all_donors,private,0.5148507468373872,0.11085065880412052,0.2975874479187731,0.7321140457560013,True,-750.6222879377384,183.582322250161,691,3372,,,
transport,0,0-17,us_born,all,all_donors,total_all_sources,1.328216954958248,0.5384461867186823,0.2728818213767017,2.3835520885397945,False,1186.6683685976805,2081.485502565612,691,3372,,,
transport,0,0-17,us_born,all,all_donors,share_medicaid_ever,1.4148443046702122,0.07551270288807058,1.2668421266343202,1.5628464827061042,True,0.1817235174186272,0.03186726327168505,691,3372,,,
transport,0,0-17,foreign_born,all,nh_white,public,8.783705309472879,5.444179163547436,-1.8866897764634931,19.45410039540925,False,407.2752839076377,140.58067717391438,38,27,,,
transport,0,0-17,foreign_born,all,nh_white,medicare,,,,,False,0.0,0.0,38,27,,,
transport,0,0-17,foreign_born,all,nh_white,medicaid,32.38597238881536,34.19131514139598,-34.62777387237979,99.39971865001051,False,445.4080622566612,138.73833643167237,38,27,,,
transport,0,0-17,foreign_born,all,nh_white,out_of_pocket,1.5233426869495026,1.0776766876844386,-0.5888648078904168,3.635550181789422,False,211.57878244947864,413.76632294501013,38,27,,,
transport,0,0-17,foreign_born,all,nh_white,private,0.4736879007320094,0.3975801826624051,-0.3055549382531606,1.2529307397171794,False,-370.0256405098024,352.75307950297105,38,27,,,
transport,0,0-17,foreign_born,all,nh_white,total_all_sources,1.294873556029114,0.6930986446247319,-0.06357482516888635,2.6533219372271146,False,343.22574387658483,757.7002061907046,38,27,,,
transport,0,0-17,foreign_born,all,nh_white,share_medicaid_ever,7.826368805362166,6.064757017904819,-4.06033652471782,19.713074135442152,False,0.5207560314459151,0.1300124734631641,38,27,,,
transport,0,0-17,foreign_born,all,all_donors,public,1.3644133435393884,0.48729185313082096,0.40933886144319775,2.319487825635579,False,122.75176339160043,146.34416750647938,38,173,,,
transport,0,0-17,foreign_born,all,all_donors,medicare,,,,,False,0.0,0.0,38,173,,,
