scheme,band,band_label,nativity,subgroup,group,n,population,mean_public,se_public,mean_medicare,se_medicare,mean_medicaid,se_medicaid,mean_out_of_pocket,se_out_of_pocket,mean_private,se_private,mean_total_all_sources,se_total_all_sources,mean_share_medicaid_ever,se_share_medicaid_ever
transport,0,0-17,us_born,all,mexican_origin,691,12192175.372419,3759.656572802809,2519.403497269601,0.15366368987327708,0.10483831413033963,3595.2104684958754,2523.311668735217,230.25019410545116,54.590670242935936,796.576399980563,184.371216513654,4802.168270937077,2505.888619642459,0.6197758550615208,0.035360976055612656
transport,0,0-17,us_born,all,nh_white,1546,32959123.605705,814.8420177151544,133.0980789698085,7.011006902038932,4.862483902274962,730.2315573018088,126.38030670913591,715.5714908799115,89.54319971385742,2045.2434033566967,224.8257173209334,3624.2605907431252,301.4448674663574,0.28418893114930105,0.02056062603364564
transport,0,0-17,us_born,all,all_donors,3372,69117110.24212399,1543.5018624361212,466.899952152847,4.3140569851956965,2.39249272160489,1460.2526762729576,466.57049382437236,496.46841879967536,46.49491701785694,1547.1986879183014,133.14975760385934,3615.4999023393966,469.917841671788,0.4380523376428936,0.017321529095031075
transport,0,0-17,foreign_born,all,mexican_origin,38,540567.273043,459.5993722068154,138.00277445867818,0.0,0.0,459.5993722068154,138.00277445867818,615.8622237310302,396.8269575873418,333.0280058427026,254.49796108202142,1507.2017493841684,679.6015614801245,0.5970419817503957,0.11682808400142326
transport,0,0-17,foreign_born,all,nh_white,27,543906.116269,52.32408829917776,28.56662985967567,0.0,0.0,14.191309950154226,14.36670763417838,404.2834412815516,119.7611862334577,703.053646352505,244.47401937388778,1163.9760055075835,338.0589842641566,0.07628595030448064,0.05722139752698989
transport,0,0-17,foreign_born,all,all_donors,173,3274759.305565,336.847608815215,96.8314280588706,0.0,0.0,303.7267688991132,93.24101085109831,443.95455867040096,100.41064449735507,731.3704180947259,275.0854232515747,1544.4438004589663,326.6392295403513,0.38978633074309893,0.052021616264503634
transport,0,0-17,both,all,mexican_origin,729,12732742.645461999,3619.5529854230795,2407.0734126181937,0.14713991380134592,0.10002117483311386,3462.088423478461,2410.8673824051584,246.62131296895603,59.90689322070001,776.8965008166643,179.481098777733,4662.280807809983,2393.6742395868314,0.6188106908197162,0.03487971795480135
transport,0,0-17,both,all,nh_white,1573,33503029.721974,802.4628935280034,131.0666571614553,6.8971864635034255,4.782712276177819,718.6069766814506,124.41514250083483,710.5178740726244,88.00538549682892,2023.4535764638354,221.20491071274517,3584.319013973001,296.371523705673,0.28081372288275164,0.02040448311643982
transport,0,0-17,both,all,all_donors,3545,72391869.54768899,1488.9169723050331,445.58595914478497,4.118903878289117,2.282694634272951,1407.9354201920858,445.29791493511743,494.09287230247935,44.95257566094864,1510.2934216910248,126.44806434221415,3521.812444281524,448.69342871702787,0.4358689494222946,0.01679558657861461
transport,1,18-34,us_born,all,mexican_origin,507,9921569.085610999,965.8693661722116,228.0893401013677,37.09595430083864,27.005156487489444,707.2747681205351,212.00595358393028,383.41908981416833,64.76128561395556,916.5743968606871,202.8837030478269,2321.115329047275,354.9118260670429,0.3683440645844116,0.03649204709457926
