poll,date,panel,url,question,statement,panelist,institution,vote,confidence,comment
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Daron Acemoglu,MIT,Strongly Agree,6,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Alberto Alesina,Harvard,Did Not Answer,,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Joseph Altonji,Yale,Strongly Agree,10,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Alan Auerbach,Berkeley,Agree,5,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,David Autor,MIT,Strongly Agree,8,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Katherine Baicker,University of Chicago,Agree,3,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Marianne Bertrand,Chicago,Agree,4,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Raj Chetty,Harvard,Agree,8,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Judith Chevalier,Yale,Strongly Agree,9,See Mankiw's NY Times column for a good discussion.
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Janet Currie,Princeton,Agree,3,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,David Cutler,Harvard,Agree,7,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Angus Deaton,Princeton,Strongly Agree,6,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Darrell Duffie,Stanford,Strongly Agree,7,"If the supply of high-skilled labor is constrained as now, productivity is harmed and the average person pays more for goods and services."
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Aaron Edlin,Berkeley,Did Not Answer,,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Barry Eichengreen,Berkeley,Agree,4,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Ray Fair,Yale,Agree,5,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Pinelopi Goldberg,Yale,Strongly Agree,1,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Claudia Goldin,Harvard,Agree,7,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Austan Goolsbee,Chicago,Strongly Agree,10,duh
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Michael Greenstone,University of Chicago,Strongly Agree,7,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Robert Hall,Stanford,Uncertain,3,"The big issue in immigration is the families of the workers. Almost any worker is a benefit, but the other family members may be costly."
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Bengt Holmström,MIT,Strongly Agree,8,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Caroline Hoxby,Stanford,Uncertain,10,"As a matter of economics,question does not have a simple answer.There are trade-offs.Canada's immigration suggests positive overall effects."
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Kenneth Judd,Stanford,Agree,4,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Anil Kashyap,Chicago Booth,Agree,7,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Pete Klenow,Stanford,Strongly Agree,7,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Jonathan Levin,Stanford,Agree,3,"Economic growth and fiscal benefits, and wage reductions for comparable domestic workers, all seem hard to measure."
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Eric Maskin,Harvard,Agree,7,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,William Nordhaus,Yale,Agree,7,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Maurice Obstfeld,Peterson Institute for International Economics,Agree,8,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Emmanuel Saez,Berkeley,Agree,5,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,José Scheinkman,Columbia University,Agree,7,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Richard Schmalensee,MIT,Agree,3,"Some highly educated natives would likely lose, but I expect there would be net gains overall.  Hard to be very confident, though."
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Hyun Song Shin,Princeton,Agree,8,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Nancy Stokey,University of Chicago,Strongly Agree,10,
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Richard Thaler,Chicago Booth,Strongly Agree,8,"This is a no brainer.  You can't be serious about ""job creators"" without supporting reform here."
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Christopher Udry,Northwestern,Strongly Agree,7,The overall benefits of increased migration of this kind are enormous. The distribution of these benefits is less well-understood.
High-Skilled Immigrants,"February 12, 2013",US,https://kentclarkcenter.org/surveys/high-skilled-immigrants/,A,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Luigi Zingales,Chicago Booth,Strongly Agree,8,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Daron Acemoglu,MIT,Agree,8,
