year,month,n_persons,n_mexborn,n_mexborn_other,population_m,hispanic_m,mexican_selfid_m,foreign_born_m,hispanic_fb_m,mexborn_m,mexborn_catx_m,mexborn_other_m,mexborn_natz_m,mexborn_noncit_m,mexborn_entry2020plus_m,mexborn_self_resp_m,mexborn_16plus_m,mexborn_nat_allocated_m,mexborn_share_of_hisp_fb
2024,1,98821,3036,1674,331.221027,65.215962,38.941851,49.918981,23.467382,12.323945,6.393308,5.930637,4.395284,7.928661,1.075118,4.894775,11.996993,0.454121,0.525152
2024,2,98931,3094,1677,331.331604,65.309995,38.235433,51.392593,24.256672,12.357713,6.5796,5.778113,4.201682,8.156032,1.219762,5.027574,12.022033,0.434723,0.509456
2024,3,94984,3074,1623,331.443286,65.397397,38.853458,51.629102,24.103177,12.70139,6.816261,5.88513,4.255218,8.446172,1.290009,5.141805,12.280825,0.353461,0.526959
2024,4,98941,3092,1583,331.566508,65.490888,38.770109,50.704627,23.968839,12.135269,6.75553,5.379739,4.054063,8.081205,1.26633,4.805214,11.701363,0.307813,0.506294
2024,5,99451,3210,1672,331.698036,65.583126,38.80864,51.111834,24.005165,12.218151,6.827428,5.390723,4.209472,8.008678,1.129016,4.948672,11.818795,0.568191,0.50898
2024,6,98393,3121,1596,331.840415,65.67886,38.546306,50.678105,24.097938,12.087268,6.836495,5.250773,4.088259,7.999009,1.247916,4.827581,11.656408,0.528466,0.501589
2024,7,98834,3134,1611,332.001533,65.777463,38.978552,51.042238,24.382403,12.292066,6.967483,5.324583,4.139206,8.152861,1.342044,4.859044,11.866785,0.479463,0.504137
2024,8,99974,3204,1712,332.173064,65.881658,39.594614,51.629981,24.343357,12.511136,6.864806,5.646331,4.209487,8.301649,1.332799,5.027637,12.090877,0.475721,0.513945
2024,9,99112,3148,1742,332.36035,65.990322,39.68919,51.620754,24.602817,12.525685,6.607338,5.918347,4.085502,8.440183,1.657681,4.919257,12.061153,0.374492,0.509116
2024,10,98719,3099,1723,332.528256,66.094963,39.583162,51.627111,24.368734,12.497946,6.472458,6.025488,4.129472,8.368474,1.598447,4.991543,12.05489,0.430327,0.512868
2024,11,98730,3010,1715,332.67668,66.197101,39.419691,51.612765,24.26311,12.259668,6.086052,6.173616,4.000084,8.259584,1.619358,4.931662,11.85072,0.38939,0.50528
2024,12,98648,3142,1747,332.825505,66.299182,39.609364,51.755821,24.706783,12.696177,6.434133,6.262044,4.12541,8.570767,1.782564,4.997591,12.217697,0.430755,0.513874
2025,1,97415,2971,1627,336.459491,68.151564,39.766159,53.312015,24.827323,12.522688,6.44683,6.075858,4.285463,8.237225,1.579651,5.142031,12.132435,0.439637,0.504391
2025,2,96504,2869,1552,336.585654,68.262211,39.408446,52.886544,24.488312,12.050246,6.352212,5.698034,4.288512,7.761734,1.379645,5.073705,11.69868,0.427253,0.492082
2025,3,93359,2724,1475,336.727803,68.369315,39.415529,53.265466,24.44771,12.027444,6.466754,5.56069,4.201877,7.825566,1.486891,4.96101,11.66321,0.505457,0.491966
2025,4,95038,2737,1530,336.868224,68.478961,39.800284,52.478225,24.125485,11.914256,6.191728,5.722527,4.330065,7.584191,1.389616,5.025897,11.537377,0.551664,0.493845
2025,5,94701,2765,1517,337.018039,68.586485,39.995673,52.354954,24.400066,12.089491,6.496991,5.5925,4.429844,7.659647,1.317158,5.109982,11.742108,0.619203,0.49547
2025,6,93976,2687,1472,337.183288,68.698239,40.653503,51.851271,24.117654,11.976338,6.434714,5.541624,4.234465,7.741874,1.30163,5.086327,11.613538,0.468343,0.49658
2025,7,93305,2628,1413,337.348423,68.808663,40.161721,51.085961,23.859998,12.005116,6.473033,5.532084,4.569675,7.435441,1.278372,5.07982,11.573952,0.551216,0.503148
2025,8,97427,2699,1453,337.528697,68.925931,40.321981,51.109919,23.65267,11.595474,6.325228,5.270247,4.563392,7.032082,1.127504,4.816105,11.288058,0.520003,0.49024
2025,9,96649,2629,1448,337.720367,69.047343,40.707627,51.036358,23.297183,11.38172,6.134089,5.247631,4.589719,6.792001,1.25725,4.770536,11.049819,0.611112,0.488545
2025,11,90023,2533,1392,338.068329,69.282748,41.691383,51.14144,23.471511,11.417508,5.982597,5.434911,4.539425,6.878083,1.43763,4.947925,11.092932,0.56785,0.486441
2025,12,90096,2635,1453,338.226509,69.397516,41.047115,51.574711,23.867239,11.678391,6.228062,5.450329,4.455264,7.223127,1.596033,4.915706,11.299773,0.510832,0.489306
2026,1,90033,2571,1389,337.551502,69.810577,40.466393,52.449419,24.140916,11.54436,6.063754,5.480606,4.38214,7.16222,1.314493,4.949571,11.150284,0.53605,0.478207
