asec,cut,n_basic,n_supp,marsupwt_all_m,marsupwt_basic_m,marsupwt_supp_m,fnlwgt_basic_m
2025,Mexico-born,2724,2913,12.231214,5.836904,6.39431,12.044692
2025,Mexico-born CA+TX,1249,1306,6.303301,3.040954,3.262347,6.473755
2025,Mexico-born other states,1475,1607,5.927913,2.79595,3.131963,5.570937
2025,Mexico-born naturalized,964,1005,4.10137,1.970444,2.130926,4.213454
2025,Mexico-born noncitizen,1760,1908,8.129844,3.86646,4.263383,7.831238
2025,All foreign-born,12152,9591,53.118195,30.273215,22.84498,53.312017
2025,All Hispanic,14739,15619,68.526434,33.057391,35.469043,68.369316
2025,Population,93359,48766,337.689642,230.732414,106.957228,336.727805
2026,Mexico-born,2443,2594,11.108947,5.274958,5.83399,10.984477
2026,Mexico-born CA+TX,1097,1230,6.020826,2.813275,3.207551,5.884891
2026,Mexico-born other states,1346,1364,5.088121,2.461683,2.626438,5.099586
2026,Mexico-born naturalized,948,1069,4.340538,1.974649,2.36589,4.223621
2026,Mexico-born noncitizen,1495,1525,6.768409,3.300309,3.4681,6.760855
2026,All foreign-born,11324,8703,52.324891,29.889651,22.435239,52.624946
2026,All Hispanic,14335,14079,70.062804,34.578081,35.484723,69.927725
2026,Population,89064,45665,338.554894,230.892129,107.662764,337.634774
