year,cps_population_m,cps_hispanic_m,cps_foreign_born_m,cps_mexborn_m,cps_mexborn_natz_m,cps_mexborn_noncit_m,cps_mexborn_n,acs_mexborn_all_m,acs_mexborn_hh_m,acs_mexborn_noninst_m,acs_mexborn_inst_m,acs_mexborn_natz_noninst_m,acs_mexborn_noncit_noninst_m,acs_at_asec_m,cps_over_acs_same_year,cps_over_acs_prior_year,cps_over_acs_at_asec,cps_over_acs_noncit_prior_year,cps_over_acs_natz_prior_year
2005,291.166198,41.840133,35.21446,10.830876,2.027722,8.803154,7584,10.993851,10.993851,10.993851,,2.427659,8.566192,,0.985176,,,,
2006,293.834358,43.167839,35.659088,10.896626,2.137505,8.759122,8128,11.534972,11.363618,11.421921,0.113051,2.483799,8.938122,11.297067,0.95401,0.991156,0.964554,1.022522,0.88048
2007,296.824002,44.854131,37.279292,11.569869,2.299207,9.270662,8283,11.73956,11.562086,11.624271,0.115289,2.570677,9.053594,11.565252,0.99532,1.012953,1.000399,1.037205,0.925682
2008,299.105719,46.026233,37.263573,11.620809,2.459396,9.161414,8396,11.451299,11.277502,11.330312,0.120987,2.500959,8.829353,11.41605,1.025639,0.999702,1.017936,1.011909,0.956711
2009,301.482827,47.485417,36.749643,11.615315,2.61163,9.003686,8246,11.478234,11.287854,11.351883,0.126351,2.576045,8.775838,11.345591,1.023206,1.025154,1.023773,1.019745,1.044251
2010,304.281698,49.796674,38.546387,11.714891,2.806205,8.908686,8518,11.746539,11.581335,11.624226,0.122313,2.688466,8.93576,11.544793,1.0078,1.031978,1.014734,1.015138,1.089346
2011,306.553211,51.074372,39.431782,11.579851,2.933536,8.646315,8284,11.691632,11.50498,11.550983,0.140649,2.815283,8.7357,11.572346,1.002499,0.996183,1.000649,0.967608,1.091156
2012,308.827259,52.358338,39.976057,11.623315,3.056897,8.566418,8033,11.489387,11.321147,11.36037,0.129017,2.854679,8.505691,11.415965,1.023146,1.006262,1.018163,0.980622,1.085822
2013,311.11617,53.229644,40.106549,11.508107,2.908326,8.599781,8094,11.556478,11.397867,11.435916,0.120562,2.942536,8.49338,11.413882,1.006313,1.013005,1.008255,1.011062,1.018793
2014,313.395422,54.253237,41.008608,11.180508,3.022692,8.157817,6234,11.710013,11.546357,11.591643,0.11837,3.111731,8.479912,11.546223,0.964532,0.977666,0.968326,0.960491,1.02724
2015,316.167949,55.614157,42.18397,11.905637,3.254146,8.65149,8145,11.576253,11.431664,11.47142,0.104833,3.234211,8.237209,11.506485,1.037852,1.027088,1.034689,1.020234,1.045767
2016,318.86849,56.87273,43.070412,11.713405,3.361329,8.352076,7512,11.56806,11.405551,11.46162,0.10644,3.295663,8.165957,11.464478,1.021968,1.021095,1.021713,1.013945,1.039304
2017,320.371997,57.670018,43.853964,11.834383,3.436885,8.397498,7568,11.236543,11.101882,11.140996,0.095547,3.430346,7.71065,11.234511,1.062237,1.032523,1.053395,1.028354,1.042851
2018,323.156083,59.227164,45.408307,11.948107,3.866741,8.081365,7417,11.182111,11.040843,11.084458,0.097653,3.582501,7.501957,11.100948,1.077915,1.072445,1.076314,1.048078,1.127216
2019,324.355841,60.09518,45.820155,12.060264,3.947855,8.112408,7382,10.867215,10.736103,10.776409,0.090806,3.677895,7.098514,10.866257,1.119136,1.088034,1.109882,1.081372,1.101983
2020,327.601105,61.126404,45.219372,11.245024,3.928396,7.316628,5678,10.231536,10.110824,10.135706,0.09583,3.682181,6.453525,10.322578,1.109447,1.043485,1.089362,1.030727,1.06811
2021,328.05948,61.878346,45.174182,11.702253,3.94296,7.759294,6294,10.712367,10.590058,10.628919,0.083448,3.692515,6.936404,10.485065,1.100982,1.154557,1.116088,1.202334,1.070822
2022,328.721881,62.654466,46.855784,11.971858,3.802103,8.169755,5969,10.638429,10.486152,10.559781,0.078648,3.729431,6.83035,10.579946,1.133722,1.126348,1.131561,1.177808,1.029678
2023,330.631702,63.95611,48.777674,11.705814,3.816803,7.889011,5740,10.882105,10.740108,10.803273,0.078832,3.75158,7.051693,10.732254,1.083543,1.108528,1.090713,1.154994,1.023428
2024,332.382485,65.551311,51.276742,12.375112,4.150501,8.224611,6054,11.153915,11.005332,11.069008,0.084907,3.817021,7.251987,10.991502,1.117996,1.145497,1.12588,1.166331,1.106334
2025,337.689642,68.526434,53.118195,12.231214,4.10137,8.129844,5637,,,,,,,,,1.104996,,1.12105,1.074495
