source,region,population_m,hispanic_m,mexican_selfid_m,mexborn_m,non_mexican_hispanic_m,mexborn_share_of_hispanic,hispanic_share_of_population
ACS 2024 households,CA+TX,69.202964,28.204993,22.458722,6.307062,5.746271,0.223615,0.407569
ACS 2024 households,other states,262.519465,38.559407,15.834093,4.69827,22.725314,0.121845,0.146882
ACS 2024 households,US,331.722429,66.7644,38.292815,11.005332,28.471585,0.164838,0.201266
CPS monthly 2024 average,CA+TX,68.975457,27.861679,22.42451,6.636741,5.437169,0.238203,0.403936
CPS monthly 2024 average,other states,262.996731,37.881397,16.661354,5.747127,21.220043,0.151714,0.144038
CPS monthly 2024 average,US,331.972189,65.743076,39.085864,12.383868,26.657212,0.188368,0.198038
CPS ASEC 2025,CA+TX,70.550101,28.22346,22.610223,6.303301,5.613237,0.223336,0.400048
CPS ASEC 2025,other states,267.13954,40.302974,17.749892,5.927913,22.553082,0.147084,0.150869
CPS ASEC 2025,US,337.689642,68.526434,40.360115,12.231214,28.166319,0.178489,0.202927
