variable,pre_months,split_months,diff_pre_mean,diff_pre_sd,diff_split_mean,did,did_se_naive,did_z,did_over_pre_level,pre_level
mex_rate,15,8,-0.001886,0.001468,-0.003721,-0.001834,0.000881,-2.082932,-0.049447,0.037092
mex_other_rate,15,8,-0.001127,0.000833,-0.001533,-0.000406,0.000346,-1.174117,-0.023488,0.017282
mex_catx_rate,15,8,-0.000759,0.00139,-0.002187,-0.001428,0.000814,-1.754911,-0.072095,0.01981
mex_noncit_rate,15,8,-0.001258,0.001407,-0.005845,-0.004587,0.000934,-4.911324,-0.186919,0.024542
mex_share_hisp,15,8,-0.005015,0.006589,-0.017616,-0.012601,0.003495,-3.605663,-0.067587,0.186441
