year,month,group,n,n_mex,pop_m,mex_rate,mex_other_rate,mex_catx_rate,mex_noncit_rate,mex_share_hisp,hisp_rate,mex_level_m,mex_other_level_m
2025,7,all,93305,2628,337.348423,0.035587,0.016399,0.019188,0.022041,0.174471,0.203969,12.005116,5.532084
2025,7,mis1_4,46848,1198,166.54034,0.032389,0.015863,0.016526,0.018436,0.161254,0.20086,10.926535,5.351396
2025,7,mis5_8,46457,1430,170.808083,0.038704,0.016921,0.021783,0.025555,0.186975,0.207001,13.056749,5.708256
2025,7,new,46848,1198,166.54034,0.032389,0.015863,0.016526,0.018436,0.161254,0.20086,10.926535,5.351396
2025,7,old,46457,1430,170.808083,0.038704,0.016921,0.021783,0.025555,0.186975,0.207001,13.056749,5.708256
2025,8,all,97427,2699,337.528697,0.034354,0.015614,0.01874,0.020834,0.168231,0.204208,11.595474,5.270247
2025,8,mis1_4,49376,1237,168.292825,0.031237,0.014712,0.016526,0.016977,0.155498,0.200884,10.54344,4.965573
2025,8,mis5_8,48051,1462,169.235872,0.037454,0.016512,0.020942,0.02467,0.180488,0.207512,12.641646,5.573223
2025,8,new,49376,1237,168.292825,0.031237,0.014712,0.016526,0.016977,0.155498,0.200884,10.54344,4.965573
2025,8,old,48051,1462,169.235872,0.037454,0.016512,0.020942,0.02467,0.180488,0.207512,12.641646,5.573223
2025,9,all,96649,2629,337.720367,0.033702,0.015538,0.018163,0.020111,0.164839,0.204451,11.38172,5.247631
2025,9,mis1_4,48767,1230,168.180949,0.030989,0.014144,0.016845,0.016142,0.152206,0.203599,10.46558,4.776789
2025,9,mis5_8,47882,1399,169.539418,0.036393,0.016921,0.019471,0.024049,0.177268,0.205297,12.290519,5.714701
2025,9,new,48767,1230,168.180949,0.030989,0.014144,0.016845,0.016142,0.152206,0.203599,10.46558,4.776789
2025,9,old,47882,1399,169.539418,0.036393,0.016921,0.019471,0.024049,0.177268,0.205297,12.290519,5.714701
2025,11,all,90023,2533,338.068329,0.033773,0.016076,0.017696,0.020345,0.164796,0.204937,11.417508,5.434911
2025,11,mis1_4,45155,1246,167.827496,0.032359,0.015915,0.016444,0.016813,0.154439,0.209527,10.939596,5.380496
2025,11,mis5_8,44868,1287,170.240833,0.035166,0.016235,0.018931,0.023828,0.17547,0.200412,11.888646,5.488554
2025,11,new,45155,1246,167.827496,0.032359,0.015915,0.016444,0.016813,0.154439,0.209527,10.939596,5.380496
2025,11,old,44868,1287,170.240833,0.035166,0.016235,0.018931,0.023828,0.17547,0.200412,11.888646,5.488554
