asec,acs,dim,level,cps_m,acs_m,cps_minus_acs_m,ratio
2013,2012,cohort,1990-1999,3.619194,3.536516,0.082678,1.023378
2013,2012,cohort,2000-2009,3.785019,3.561096,0.223923,1.06288
2013,2012,cohort,2010-2019,0.450559,0.373102,0.077457,1.207604
2013,2012,cohort,before 1990,3.653334,3.889656,-0.236322,0.939243
2013,2012,ageband,0-24,1.700279,1.780683,-0.080404,0.954847
2013,2012,ageband,25-44,5.756326,5.65475,0.101576,1.017963
2013,2012,ageband,45-64,3.251748,3.1264,0.125348,1.040094
2013,2012,ageband,65+,0.799754,0.798537,0.001217,1.001524
2013,2012,total,all,11.508107,11.36037,0.147737,1.013005
2016,2015,cohort,1990-1999,3.553513,3.373322,0.180191,1.053417
2016,2015,cohort,2000-2009,3.784686,3.525461,0.259225,1.073529
2016,2015,cohort,2010-2019,0.961152,0.857762,0.10339,1.120534
2016,2015,cohort,before 1990,3.414054,3.714875,-0.300821,0.919023
2016,2015,ageband,0-24,1.43094,1.387516,0.043424,1.031296
2016,2015,ageband,25-44,5.256176,5.3855,-0.129324,0.975987
2016,2015,ageband,45-64,4.034823,3.707531,0.327292,1.088278
2016,2015,ageband,65+,0.991466,0.990873,0.000593,1.000599
2016,2015,total,all,11.713405,11.47142,0.241985,1.021095
2020,2019,cohort,1990-1999,3.012854,2.927556,0.085298,1.029136
2020,2019,cohort,2000-2009,3.568619,2.998343,0.570276,1.190197
2020,2019,cohort,2010-2019,1.514964,1.376885,0.138079,1.100284
2020,2019,cohort,before 1990,3.148588,3.473625,-0.325037,0.906427
2020,2019,ageband,0-24,0.954202,1.001039,-0.046837,0.953212
2020,2019,ageband,25-44,4.644562,4.476091,0.168471,1.037638
2020,2019,ageband,45-64,4.401727,4.099677,0.30205,1.073676
2020,2019,ageband,65+,1.244534,1.199602,0.044932,1.037455
2020,2019,total,all,11.245024,10.776409,0.468615,1.043485
2023,2022,cohort,1990-1999,3.160308,2.69265,0.467658,1.173679
2023,2022,cohort,2000-2009,3.27447,2.875249,0.399221,1.138847
2023,2022,cohort,2010-2019,1.752673,1.491019,0.261654,1.175487
2023,2022,cohort,2020 or later,0.699931,0.439849,0.260082,1.591299
2023,2022,cohort,before 1990,2.818432,3.061014,-0.242582,0.920751
2023,2022,ageband,0-24,0.979729,0.933616,0.046113,1.049392
2023,2022,ageband,25-44,4.531904,4.00979,0.522114,1.13021
2023,2022,ageband,45-64,4.77447,4.303291,0.471179,1.109493
2023,2022,ageband,65+,1.419711,1.313084,0.106627,1.081204
2023,2022,total,all,11.705814,10.559781,1.146033,1.108528
2024,2023,cohort,1990-1999,3.007526,2.652671,0.354855,1.133773
2024,2023,cohort,2000-2009,3.440668,2.859992,0.580676,1.203034
2024,2023,cohort,2010-2019,1.903718,1.493214,0.410504,1.274913
2024,2023,cohort,2020 or later,1.222489,0.756388,0.466101,1.616219
2024,2023,cohort,before 1990,2.800711,3.041008,-0.240297,0.920981
2024,2023,ageband,0-24,1.097239,0.918299,0.17894,1.19486
2024,2023,ageband,25-44,4.689551,3.962786,0.726765,1.183397
2024,2023,ageband,45-64,5.113429,4.498571,0.614858,1.136678
2024,2023,ageband,65+,1.474894,1.423617,0.051277,1.036019
2024,2023,total,all,12.375112,10.803273,1.571839,1.145497
2025,2024,cohort,1990-1999,2.625682,2.682909,-0.057227,0.97867
2025,2024,cohort,2000-2009,3.284434,2.849234,0.4352,1.152743
2025,2024,cohort,2010-2019,1.717272,1.42335,0.293922,1.2065
2025,2024,cohort,2020 or later,1.659783,1.126637,0.533146,1.473219
2025,2024,cohort,before 1990,2.944043,2.986878,-0.042835,0.985659
2025,2024,ageband,0-24,1.125886,0.963056,0.16283,1.169076
2025,2024,ageband,25-44,4.294202,3.964114,0.330088,1.083269
2025,2024,ageband,45-64,5.162793,4.606288,0.556505,1.120814
2025,2024,ageband,65+,1.648333,1.53555,0.112783,1.073448
2025,2024,total,all,12.231214,11.069008,1.162206,1.104996
