fips,pop2012,d_hisp,d_educ_share,coef_without,delta_coef
06071,2041029,5.75649,-6.27491,0.798758,0.127876
06037,9840024,0.972426,-2.25141,0.605006,-0.0658749
06085,1788393,-1.88052,-5.66832,0.619295,-0.0515858
06001,1515136,-0.189254,3.95055,0.701224,0.0303432
06059,3021840,0.341156,1.30759,0.688743,0.0178617
48453,1034842,-0.105416,-3.46483,0.654799,-0.0160821
06065,2192982,5.24889,3.84199,0.659343,-0.0115385
12095,1153795,5.86835,-3.15621,0.682164,0.0112831
36061,1596735,0.389143,3.43039,0.681168,0.0102871
53033,1940777,1.30539,0.550952,0.661923,-0.00895859
25017,1507558,1.83751,1.68058,0.67968,0.00879899
42003,1224772,0.759508,-0.382811,0.662685,-0.00819618
51059,1083770,1.04548,-0.311192,0.678703,0.00782168
39035,1278024,1.72246,-2.68731,0.678574,0.00769287
04019,981048,3.50999,5.35398,0.66321,-0.00767108
48029,1719902,2.29948,-2.56495,0.663499,-0.00738231
36103,1492360,4.08462,2.7368,0.677996,0.00711495
48201,4101752,3.18267,-2.22978,0.677554,0.00667283
12011,1761993,6.20237,-0.612228,0.67744,0.00655889
04013,3841819,2.08129,-0.250712,0.665271,-0.00561016
27053,1158039,0.400052,-1.59325,0.66577,-0.00511145
24031,974824,2.9684,-5.94627,0.67514,0.00425841
17031,5197677,1.92367,-0.586077,0.674803,0.00392162
42101,1525811,3.34891,2.7387,0.673767,0.00288626
48113,2379214,2.78043,-1.59842,0.668455,-0.00242602
49035,1032226,2.01965,-10.6053,0.673193,0.00231181
12099,1324085,4.39073,4.07348,0.669031,-0.00185032
12057,1238365,5.06052,-1.23448,0.672476,0.00159446
06067,1422348,2.4455,3.61148,0.669396,-0.00148499
39049,1167484,1.30555,-0.185268,0.671915,0.00103425
36059,1338712,2.95415,2.76671,0.671884,0.00100307
48439,1814667,3.12682,3.42454,0.669912,-0.000968915
32003,1954773,2.89339,3.59725,0.671651,0.000769552
06073,3100500,2.49324,0.570763,0.671648,0.000766514
26163,1822469,1.10392,-2.6722,0.671491,0.000610077
12086,2512219,4.17419,0.717066,0.671356,0.000474677
29189,999147,0.598786,1.95866,0.671042,0.000160775
06013,1052047,2.14558,-0.348666,0.670736,-0.000145634
26125,1207097,1.04688,-1.88793,0.670954,7.27199e-05
15003,955215,1.94742,0,0.670882,8.57357e-07
