dropped_state_fips,coef_per_10pts,n
48,-0.278611,2853
36,-0.244218,3046
08,-0.243414,3041
13,-0.239418,2946
51,-0.235972,2973
24,-0.233323,3080
25,-0.233066,3090
04,-0.232687,3089
35,-0.232617,3071
20,-0.232537,2999
28,-0.231936,3025
19,-0.231237,3005
16,-0.231142,3060
18,-0.23058,3012
31,-0.23042,3011
53,-0.229953,3065
45,-0.229937,3058
47,-0.229809,3010
55,-0.229474,3032
49,-0.229214,3075
38,-0.228845,3051
54,-0.228375,3049
39,-0.228253,3016
02,-0.22798,3081
30,-0.227966,3048
21,-0.227892,2984
56,-0.227665,3081
10,-0.22756,3101
32,-0.22749,3087
11,-0.227469,3103
15,-0.227469,3104
50,-0.22741,3090
23,-0.227372,3088
01,-0.227286,3038
41,-0.226998,3068
05,-0.226923,3030
46,-0.226833,3040
33,-0.226761,3094
22,-0.226701,3040
27,-0.225413,3017
40,-0.225059,3027
26,-0.224422,3021
44,-0.224007,3099
42,-0.223464,3037
29,-0.222969,2989
17,-0.221429,3002
34,-0.217807,3083
12,-0.21549,3037
37,-0.215243,3004
06,-0.0926801,3046
