fips,wave,pop,hisp,fb,mex,pop_u19,pop_65p,medhhinc
01001,2000,43671.0,610.0,509.0,,,,
01001,2009,49584.0,1012.0,815.0,138.0,15367.0,5461.0,51463.0
01001,2012,54590.0,1310.0,756.0,142.0,16400.0,6692.0,53773.0
01001,2017,55036.0,1467.0,1163.0,279.0,14808.0,7843.0,55317.0
01001,2022,58761.0,1864.0,1552.0,270.0,14984.0,9176.0,68315.0
01003,2000,140415.0,2466.0,2957.0,,,,
01003,2009,171997.0,4989.0,5145.0,1361.0,44023.0,28673.0,48918.0
01003,2012,183226.0,7915.0,6835.0,2296.0,46314.0,31051.0,50706.0
01003,2017,203360.0,9029.0,6606.0,1457.0,49632.0,38687.0,52562.0
01003,2022,233420.0,11210.0,8106.0,1389.0,54726.0,49499.0,71039.0
01005,2000,29038.0,478.0,435.0,,,,
01005,2009,29663.0,1262.0,761.0,630.0,7661.0,3934.0,32537.0
01005,2012,27469.0,1365.0,778.0,488.0,6605.0,4016.0,31889.0
01005,2017,26201.0,1104.0,697.0,344.0,6031.0,4571.0,33368.0
01005,2022,24877.0,1202.0,776.0,459.0,5708.0,4926.0,39712.0
01007,2000,20826.0,210.0,89.0,,,,
01007,2009,21464.0,190.0,216.0,134.0,5515.0,2759.0,41236.0
01007,2012,22769.0,419.0,285.0,184.0,5843.0,2941.0,36824.0
01007,2017,22580.0,531.0,231.0,36.0,5302.0,3402.0,43404.0
01007,2022,22251.0,650.0,244.0,60.0,5205.0,3734.0,50669.0
01009,2000,51024.0,2718.0,1581.0,,,,
01009,2009,56804.0,4134.0,2535.0,2157.0,15164.0,7962.0,45406.0
01009,2012,57466.0,4646.0,2705.0,2327.0,15412.0,8556.0,45192.0
01009,2017,57667.0,5197.0,2621.0,2053.0,14967.0,10008.0,47412.0
01009,2022,59077.0,5721.0,2843.0,2171.0,14775.0,10791.0,57440.0
01011,2000,11714.0,322.0,358.0,,,,
01011,2009,10917.0,252.0,155.0,35.0,3073.0,1248.0,26209.0
01011,2012,10779.0,623.0,492.0,492.0,2537.0,1494.0,34500.0
01011,2017,10478.0,35.0,192.0,0.0,2415.0,1590.0,29655.0
01011,2022,10328.0,907.0,389.0,81.0,2807.0,1714.0,36136.0
01013,2000,21399.0,143.0,78.0,,,,
01013,2009,20189.0,74.0,208.0,0.0,5498.0,3259.0,31938.0
01013,2012,20730.0,203.0,271.0,21.0,5448.0,3473.0,30752.0
01013,2017,20126.0,64.0,211.0,13.0,5049.0,3731.0,36326.0
01013,2022,18981.0,322.0,322.0,105.0,4557.0,4021.0,44429.0
01015,2000,112249.0,1753.0,1907.0,,,,
01015,2009,112969.0,2725.0,2606.0,881.0,29457.0,16499.0,38382.0
01015,2012,117834.0,3838.0,2819.0,1340.0,30632.0,17150.0,40093.0
01015,2017,115527.0,4121.0,3021.0,1013.0,28571.0,19005.0,43686.0
01015,2022,116162.0,4736.0,2698.0,1002.0,28937.0,20794.0,54339.0
01017,2000,36583.0,280.0,294.0,,,,
01017,2009,34704.0,462.0,239.0,102.0,8894.0,5627.0,32433.0
01017,2012,34228.0,555.0,402.0,100.0,8614.0,5756.0,32181.0
01017,2017,33895.0,730.0,441.0,97.0,7901.0,6300.0,37342.0
01017,2022,34612.0,1129.0,508.0,42.0,7777.0,6830.0,48805.0
01019,2000,23988.0,204.0,259.0,,,,
01019,2009,24427.0,293.0,79.0,0.0,5554.0,4272.0,40240.0
01019,2012,25917.0,333.0,198.0,0.0,5941.0,4692.0,36241.0
01019,2017,25855.0,409.0,173.0,27.0,5746.0,5422.0,40041.0
01019,2022,25069.0,479.0,493.0,162.0,5206.0,5827.0,46621.0
01021,2000,39593.0,1152.0,747.0,,,,
01021,2009,42272.0,1978.0,1282.0,1036.0,11556.0,5493.0,38966.0
01021,2012,43611.0,3238.0,2041.0,1795.0,11909.0,5983.0,40834.0
01021,2017,43805.0,3371.0,2218.0,1638.0,11439.0,6790.0,43501.0
01021,2022,45140.0,3664.0,1839.0,1426.0,11646.0,7605.0,62471.0
01023,2000,15922.0,107.0,88.0,,,,
01023,2009,14229.0,84.0,51.0,0.0,3688.0,2384.0,30749.0
01023,2012,13838.0,83.0,45.0,0.0,3518.0,2567.0,35123.0
01023,2017,13188.0,71.0,50.0,5.0,3029.0,2836.0,32122.0
01023,2022,12669.0,143.0,56.0,11.0,2971.0,2950.0,43299.0
01025,2000,27867.0,180.0,149.0,,,,
01025,2009,26438.0,144.0,211.0,0.0,7890.0,3994.0,27080.0
01025,2012,25768.0,183.0,147.0,0.0,7099.0,4158.0,30954.0
01025,2017,24625.0,58.0,106.0,14.0,6076.0,4544.0,33827.0
01025,2022,23058.0,335.0,182.0,16.0,5635.0,4700.0,47549.0
01027,2000,14254.0,253.0,127.0,,,,
01027,2009,13769.0,366.0,283.0,82.0,3255.0,2764.0,37652.0
01027,2012,13828.0,401.0,260.0,164.0,3440.0,2468.0,34556.0
01027,2017,13407.0,417.0,261.0,166.0,3239.0,2608.0,37287.0
01027,2022,14209.0,437.0,92.0,57.0,3401.0,2959.0,48074.0
01029,2000,14123.0,198.0,133.0,,,,
01029,2009,14579.0,142.0,127.0,104.0,3665.0,2216.0,33742.0
01029,2012,14905.0,313.0,174.0,139.0,3949.0,2416.0,37244.0
01029,2017,14939.0,356.0,245.0,168.0,3765.0,2760.0,37396.0
01029,2022,15144.0,401.0,211.0,71.0,3727.0,2974.0,51553.0
01031,2000,43615.0,1183.0,1158.0,,,,
01031,2009,46802.0,1931.0,2074.0,452.0,12451.0,6724.0,41973.0
01031,2012,49966.0,3070.0,2360.0,704.0,13229.0,7271.0,44626.0
01031,2017,51073.0,3402.0,1893.0,577.0,13312.0,8152.0,49821.0
01031,2022,53559.0,4500.0,2110.0,380.0,13882.0,9165.0,62199.0
01033,2000,54984.0,618.0,485.0,,,,
01033,2009,54546.0,875.0,772.0,149.0,13638.0,8942.0,39366.0
01033,2012,54451.0,1132.0,935.0,410.0,13445.0,9487.0,40158.0
01033,2017,54435.0,1313.0,959.0,269.0,12795.0,10290.0,45477.0
01033,2022,57270.0,1837.0,988.0,687.0,13263.0,11453.0,56149.0
01035,2000,14089.0,102.0,54.0,,,,
01035,2009,13114.0,20.0,7.0,0.0,3782.0,2200.0,27216.0
01035,2012,13188.0,38.0,51.0,13.0,3348.0,2408.0,27064.0
01035,2017,12649.0,231.0,103.0,42.0,3107.0,2664.0,30434.0
01035,2022,11576.0,80.0,96.0,0.0,2699.0,2714.0,39888.0
01037,2000,12202.0,158.0,39.0,,,,
01037,2009,10777.0,15.0,71.0,8.0,2401.0,1793.0,33595.0
01037,2012,11305.0,225.0,190.0,162.0,2502.0,1931.0,37425.0
01037,2017,10955.0,16.0,64.0,8.0,2150.0,2304.0,34792.0
01037,2022,10329.0,284.0,47.0,7.0,1905.0,2523.0,52279.0
01039,2000,37631.0,292.0,216.0,,,,
01039,2009,36688.0,403.0,359.0,109.0,9263.0,6799.0,33278.0
01039,2012,37803.0,516.0,393.0,111.0,9471.0,7123.0,35321.0
01039,2017,37519.0,586.0,300.0,42.0,8922.0,7613.0,39467.0
01039,2022,37542.0,749.0,433.0,56.0,9152.0,8165.0,48772.0
01041,2000,13665.0,87.0,36.0,,,,
01041,2009,13687.0,145.0,510.0,98.0,3668.0,2332.0,31058.0
01041,2012,13971.0,213.0,309.0,116.0,3673.0,2227.0,37309.0
01041,2017,13866.0,253.0,288.0,128.0,3547.0,2487.0,38937.0
01041,2022,13205.0,335.0,343.0,158.0,3252.0,2611.0,48557.0
01043,2000,77483.0,1688.0,1330.0,,,,
01043,2009,80630.0,3115.0,1894.0,1243.0,20766.0,12369.0,38394.0
01043,2012,80403.0,3402.0,2291.0,1587.0,20673.0,12936.0,39244.0
01043,2017,81703.0,3466.0,2271.0,1210.0,20091.0,14508.0,40997.0
01043,2022,88284.0,4056.0,2047.0,1148.0,21765.0,16582.0,58119.0
01045,2000,49129.0,1642.0,1503.0,,,,
01045,2009,48233.0,1954.0,1581.0,181.0,13789.0,6209.0,42225.0
01045,2012,50129.0,2794.0,1956.0,510.0,13629.0,6851.0,45247.0
01045,2017,49393.0,2994.0,1413.0,523.0,12791.0,7798.0,44711.0
01045,2022,49455.0,3467.0,1664.0,477.0,12452.0,8658.0,52813.0
01047,2000,46365.0,290.0,322.0,,,,
01047,2009,42748.0,352.0,384.0,111.0,12926.0,6112.0,26442.0
01047,2012,43572.0,315.0,349.0,70.0,12836.0,6142.0,26178.0
01047,2017,40755.0,409.0,588.0,202.0,11173.0,6627.0,30065.0
01047,2022,38326.0,430.0,465.0,7.0,10025.0,7440.0,37180.0
01049,2000,64452.0,3578.0,2648.0,,,,
01049,2009,68183.0,7133.0,4115.0,2838.0,18741.0,9521.0,33634.0
01049,2012,70949.0,9544.0,5234.0,3392.0,20012.0,9964.0,36853.0
01049,2017,71194.0,10178.0,5308.0,2553.0,19187.0,11415.0,38842.0
01049,2022,71680.0,11021.0,5277.0,2710.0,18876.0,12374.0,47920.0
01051,2000,65874.0,805.0,713.0,,,,
01051,2009,76714.0,1393.0,1464.0,436.0,20790.0,8773.0,52971.0
01051,2012,79330.0,2091.0,1769.0,978.0,20958.0,9530.0,55514.0
01051,2017,80989.0,2316.0,1472.0,466.0,20159.0,11420.0,54981.0
01051,2022,87694.0,2739.0,1808.0,993.0,21380.0,13833.0,73258.0
01053,2000,38440.0,379.0,234.0,,,,
01053,2009,37561.0,527.0,377.0,197.0,9726.0,5437.0,32321.0
01053,2012,38122.0,730.0,442.0,344.0,9845.0,5768.0,31075.0
01053,2017,37621.0,809.0,297.0,146.0,9358.0,6413.0,35026.0
01053,2022,36755.0,940.0,269.0,44.0,9465.0,6830.0,41153.0
01055,2000,103459.0,1763.0,1687.0,,,,
01055,2009,103150.0,3021.0,2330.0,561.0,26677.0,16282.0,36378.0
01055,2012,104317.0,3503.0,2159.0,660.0,26662.0,16571.0,37660.0
01055,2017,103132.0,3794.0,2982.0,871.0,24841.0,18407.0,42064.0
01055,2022,103348.0,4561.0,2456.0,500.0,24306.0,20082.0,52177.0
01057,2000,18495.0,152.0,127.0,,,,
01057,2009,17651.0,197.0,86.0,11.0,4487.0,2997.0,35754.0
01057,2012,17219.0,213.0,110.0,0.0,4234.0,3135.0,33090.0
01057,2017,16657.0,277.0,114.0,0.0,3992.0,3339.0,36541.0
01057,2022,16297.0,61.0,121.0,19.0,3888.0,3461.0,45650.0
01059,2000,31223.0,2316.0,1734.0,,,,
01059,2009,30847.0,4127.0,2429.0,1272.0,8324.0,4632.0,33380.0
01059,2012,31664.0,4649.0,2546.0,1367.0,8626.0,4733.0,37235.0
01059,2017,31507.0,5146.0,3049.0,1610.0,8514.0,5139.0,39501.0
01059,2022,32011.0,5892.0,2770.0,1104.0,8855.0,5459.0,47359.0
01061,2000,25764.0,453.0,197.0,,,,
01061,2009,25800.0,640.0,377.0,207.0,6366.0,4412.0,31055.0
01061,2012,26769.0,899.0,557.0,383.0,6576.0,4710.0,33618.0
01061,2017,26572.0,1004.0,389.0,148.0,6473.0,5059.0,39293.0
01061,2022,26647.0,1185.0,468.0,229.0,6373.0,5414.0,47608.0
01063,2000,9974.0,58.0,67.0,,,,
01063,2009,9112.0,72.0,60.0,49.0,2636.0,1380.0,22352.0
01063,2012,9067.0,0.0,15.0,0.0,2635.0,1460.0,23777.0
01063,2017,8533.0,101.0,3.0,0.0,2168.0,1653.0,20954.0
01063,2022,7706.0,24.0,103.0,18.0,1845.0,1824.0,32796.0
01065,2000,17185.0,157.0,53.0,,,,
01065,2009,17994.0,65.0,169.0,25.0,5264.0,2373.0,29841.0
01065,2012,15750.0,66.0,139.0,22.0,4372.0,2400.0,29409.0
01065,2017,14995.0,196.0,166.0,136.0,3926.0,2710.0,34679.0
01065,2022,14742.0,25.0,92.0,0.0,3820.0,2903.0,35851.0
01067,2000,16310.0,249.0,184.0,,,,
01067,2009,16580.0,395.0,409.0,150.0,4490.0,2779.0,35792.0
01067,2012,17275.0,389.0,495.0,205.0,4296.0,3126.0,40680.0
01067,2017,17110.0,435.0,219.0,131.0,3914.0,3588.0,45569.0
01067,2022,17282.0,469.0,155.0,52.0,3856.0,3953.0,58395.0
01069,2000,88787.0,1122.0,1418.0,,,,
01069,2009,97091.0,1920.0,1782.0,345.0,26431.0,14494.0,41096.0
01069,2012,101459.0,2950.0,2335.0,713.0,27273.0,14742.0,41828.0
01069,2017,104108.0,3366.0,2372.0,713.0,26669.0,17203.0,42803.0
01069,2022,107040.0,3844.0,2725.0,680.0,26825.0,19450.0,55064.0
01071,2000,53926.0,610.0,395.0,,,,
01071,2009,52898.0,944.0,683.0,385.0,13170.0,8106.0,35073.0
01071,2012,53279.0,1334.0,1106.0,455.0,13311.0,8774.0,37059.0
01071,2017,52326.0,1493.0,1006.0,296.0,12398.0,9808.0,39281.0
01071,2022,52618.0,1685.0,863.0,368.0,11912.0,10817.0,46748.0
01073,2000,662047.0,10284.0,15492.0,,,,
01073,2009,662212.0,20456.0,25189.0,9561.0,176285.0,88626.0,44718.0
01073,2012,658464.0,24770.0,28198.0,11770.0,172512.0,86957.0,45415.0
01073,2017,659460.0,24692.0,26422.0,8569.0,168590.0,96497.0,49321.0
01073,2022,672265.0,27950.0,26358.0,7543.0,171078.0,109751.0,63595.0
01075,2000,15904.0,207.0,128.0,,,,
01075,2009,14438.0,294.0,65.0,46.0,3483.0,2524.0,31094.0
01075,2012,14513.0,186.0,66.0,47.0,3470.0,2722.0,35271.0
01075,2017,14021.0,212.0,88.0,61.0,3372.0,2889.0,36016.0
01075,2022,13885.0,76.0,93.0,1.0,3282.0,3075.0,49565.0
01077,2000,87966.0,894.0,889.0,,,,
01077,2009,88550.0,1410.0,1380.0,258.0,21333.0,14561.0,37691.0
01077,2012,92528.0,2065.0,1889.0,761.0,22596.0,15599.0,40701.0
01077,2017,92590.0,2285.0,1863.0,508.0,21414.0,17483.0,44888.0
01077,2022,94329.0,2803.0,2216.0,307.0,21538.0,18977.0,56081.0
01079,2000,34803.0,367.0,176.0,,,,
01079,2009,34094.0,577.0,528.0,209.0,8788.0,4387.0,41472.0
01079,2012,34148.0,601.0,439.0,188.0,8777.0,4926.0,39526.0
01079,2017,33288.0,701.0,219.0,179.0,7971.0,5607.0,43779.0
01079,2022,33116.0,829.0,367.0,155.0,7803.0,6149.0,54786.0
01081,2000,115092.0,1645.0,3089.0,,,,
01081,2009,130669.0,2607.0,5150.0,562.0,37379.0,11178.0,38588.0
01081,2012,140938.0,4668.0,6877.0,1107.0,38920.0,12886.0,43189.0
01081,2017,156597.0,5813.0,8593.0,465.0,41607.0,16836.0,47564.0
01081,2022,175126.0,6780.0,10002.0,889.0,46079.0,22160.0,59288.0
01083,2000,65676.0,1740.0,1095.0,,,,
01083,2009,74076.0,3028.0,2401.0,1258.0,19413.0,8833.0,44997.0
01083,2012,83313.0,4529.0,3614.0,2130.0,21737.0,10301.0,48197.0
01083,2017,91695.0,5323.0,3542.0,1399.0,23418.0,13135.0,52831.0
01083,2022,104199.0,6588.0,3964.0,1023.0,25279.0,16023.0,80146.0
