arm,outcome,regressor,window,unit,n,clusters,coef,se,coef10,se10,t,stars,mean_y0,mean_dx
P_noCA_log,education,hisp,2012-2022,dollars_pc,3053,48,0.00769603,0.00397191,0.0769603,0.0397191,1.93761,*,7.76744,2.06408
P_noCA_log,police,hisp,2012-2022,dollars_pc,3057,49,-0.0027443,0.00578213,-0.027443,0.0578213,-0.474617,,5.67718,2.06292
P_noCA_log,corrections,hisp,2012-2022,dollars_pc,2334,46,0.0156867,0.0180984,0.156867,0.180984,0.866743,,4.44904,2.0855
P_noCA_log,judicial,hisp,2012-2022,dollars_pc,2947,49,-0.00178925,0.0105062,-0.0178925,0.105062,-0.170304,,4.16567,2.06601
P_noCA_log,law_order,hisp,2012-2022,dollars_pc,3061,49,-0.00164737,0.0074416,-0.0164737,0.074416,-0.221373,,6.13725,2.06273
P_noCA_log,welfare,hisp,2012-2022,dollars_pc,2297,49,0.00751512,0.0298504,0.0751512,0.298504,0.251759,,3.89487,2.1155
P_noCA_log,health_hosp,hisp,2012-2022,dollars_pc,2921,49,-0.0520319,0.0299272,-0.520319,0.299272,-1.73861,*,5.1978,2.06469
P_noCA_log,highways,hisp,2012-2022,dollars_pc,3023,49,0.0139889,0.0111199,0.139889,0.111199,1.25801,,5.3441,2.06348
O_share_trim,education,hisp,2012-2022,share_pp,2386,50,0.707045,0.193886,7.07045,1.93886,3.64671,***,44.5139,2.06251
O_share_trim,police,hisp,2012-2022,share_pp,2375,50,-0.0319536,0.0310641,-0.319536,0.310641,-1.02864,,5.96758,2.0646
O_share_trim,corrections,hisp,2012-2022,share_pp,2381,50,0.00519956,0.0255829,0.0519956,0.255829,0.203243,,1.84955,2.0627
O_share_trim,judicial,hisp,2012-2022,share_pp,2378,50,-0.047874,0.03075,-0.47874,0.3075,-1.55688,,1.56677,2.06791
O_share_trim,law_order,hisp,2012-2022,share_pp,2380,50,-0.0679401,0.0712993,-0.679401,0.712993,-0.952887,,9.42105,2.0604
O_share_trim,welfare,hisp,2012-2022,share_pp,2374,50,-0.0227485,0.0576302,-0.227485,0.576302,-0.394732,,2.86195,2.07077
O_share_trim,health_hosp,hisp,2012-2022,share_pp,2370,50,-0.0818373,0.110684,-0.818373,1.10684,-0.739382,,7.88474,2.06803
O_share_trim,highways,hisp,2012-2022,share_pp,2397,50,0.111543,0.0378164,1.11543,0.378164,2.9496,***,4.52482,2.06213
O_share_trim_unwtd,education,hisp,2012-2022,share_pp,2386,50,0.257874,0.160867,2.57874,1.60867,1.60303,,49.3758,1.60561
O_share_trim_unwtd,police,hisp,2012-2022,share_pp,2375,50,-0.050489,0.0290124,-0.50489,0.290124,-1.74026,*,5.0372,1.61145
O_share_trim_unwtd,corrections,hisp,2012-2022,share_pp,2381,50,-0.0125048,0.0209704,-0.125048,0.209704,-0.596309,,1.76172,1.6055
O_share_trim_unwtd,judicial,hisp,2012-2022,share_pp,2378,50,-0.0108689,0.0129024,-0.108689,0.129024,-0.842392,,1.34541,1.60376
O_share_trim_unwtd,law_order,hisp,2012-2022,share_pp,2380,50,-0.0750144,0.0465063,-0.750144,0.465063,-1.613,,8.23363,1.60145
O_share_trim_unwtd,welfare,hisp,2012-2022,share_pp,2374,50,-0.0058605,0.02752,-0.058605,0.2752,-0.212955,,2.17038,1.61021
O_share_trim_unwtd,health_hosp,hisp,2012-2022,share_pp,2370,50,-0.167092,0.10081,-1.67092,1.0081,-1.6575,*,8.53898,1.60691
O_share_trim_unwtd,highways,hisp,2012-2022,share_pp,2397,50,0.109666,0.0475052,1.09666,0.475052,2.30851,**,5.81245,1.60485
