arm,outcome,regressor,window,unit,n,clusters,coef,se,coef10,se10,t,stars,mean_y0,mean_dx
B_share_unwtd,health_hosp,hisp,2012-2022,share_pp,3126,50,-0.167926,0.0837808,-1.67926,0.837808,-2.00435,**,9.36026,1.66819
B_share_unwtd,highways,hisp,2012-2022,share_pp,3126,50,0.0654813,0.0410051,0.654813,0.410051,1.5969,,6.84766,1.66819
C_share_cov,education,hisp,2012-2022,share_pp,3126,50,0.574387,0.132197,5.74387,1.32197,4.34492,***,44.5098,2.0817
C_share_cov,police,hisp,2012-2022,share_pp,3126,50,-0.00908736,0.0249865,-0.0908736,0.249865,-0.363691,,5.95237,2.0817
C_share_cov,corrections,hisp,2012-2022,share_pp,3126,50,0.01241,0.0194055,0.1241,0.194055,0.639508,,1.89103,2.0817
C_share_cov,judicial,hisp,2012-2022,share_pp,3126,50,-0.0298652,0.0268622,-0.298652,0.268622,-1.11179,,1.58038,2.0817
C_share_cov,law_order,hisp,2012-2022,share_pp,3126,50,-0.0265426,0.053289,-0.265426,0.53289,-0.498088,,9.42377,2.0817
C_share_cov,welfare,hisp,2012-2022,share_pp,3126,50,-0.0294311,0.0298339,-0.294311,0.298339,-0.986498,,2.90694,2.0817
C_share_cov,health_hosp,hisp,2012-2022,share_pp,3126,50,-0.130197,0.118937,-1.30197,1.18937,-1.09468,,8.22002,2.0817
C_share_cov,highways,hisp,2012-2022,share_pp,3126,50,0.106031,0.0469005,1.06031,0.469005,2.26076,**,4.61119,2.0817
D_share_fb,education,fb,2012-2022,share_pp,3126,50,0.223437,0.130418,2.23437,1.30418,1.71324,*,44.5098,0.664346
D_share_fb,police,fb,2012-2022,share_pp,3126,50,-0.0283528,0.0421181,-0.283528,0.421181,-0.673174,,5.95237,0.664346
D_share_fb,corrections,fb,2012-2022,share_pp,3126,50,-0.0209289,0.0216106,-0.209289,0.216106,-0.968454,,1.89103,0.664346
D_share_fb,judicial,fb,2012-2022,share_pp,3126,50,-0.0613661,0.0246239,-0.613661,0.246239,-2.49214,**,1.58038,0.664346
D_share_fb,law_order,fb,2012-2022,share_pp,3126,50,-0.110648,0.0620657,-1.10648,0.620657,-1.78275,*,9.42377,0.664346
D_share_fb,welfare,fb,2012-2022,share_pp,3126,50,0.00234797,0.0214298,0.0234797,0.214298,0.109566,,2.90694,0.664346
D_share_fb,health_hosp,fb,2012-2022,share_pp,3126,50,0.140501,0.144967,1.40501,1.44967,0.969193,,8.22002,0.664346
D_share_fb,highways,fb,2012-2022,share_pp,3126,50,-0.0802161,0.063972,-0.802161,0.63972,-1.25392,,4.61119,0.664346
E_share_mex,education,mex,2012-2022,share_pp,3126,50,0.733747,0.213275,7.33747,2.13275,3.44038,***,44.5098,-0.542589
E_share_mex,police,mex,2012-2022,share_pp,3126,50,0.0628948,0.113122,0.628948,1.13122,0.555993,,5.95237,-0.542589
E_share_mex,corrections,mex,2012-2022,share_pp,3126,50,0.0486292,0.0244052,0.486292,0.244052,1.99257,**,1.89103,-0.542589
E_share_mex,judicial,mex,2012-2022,share_pp,3126,50,-0.0426567,0.0692355,-0.426567,0.692355,-0.61611,,1.58038,-0.542589
E_share_mex,law_order,mex,2012-2022,share_pp,3126,50,0.0688672,0.181963,0.688672,1.81963,0.378468,,9.42377,-0.542589
E_share_mex,welfare,mex,2012-2022,share_pp,3126,50,-0.0190737,0.0300506,-0.190737,0.300506,-0.634721,,2.90694,-0.542589
E_share_mex,health_hosp,mex,2012-2022,share_pp,3126,50,-0.358293,0.170087,-3.58293,1.70087,-2.10653,**,8.22002,-0.542589
E_share_mex,highways,mex,2012-2022,share_pp,3126,50,-0.0503144,0.0552201,-0.503144,0.552201,-0.911161,,4.61119,-0.542589
F_share_droptop25,education,hisp,2012-2022,share_pp,3101,50,0.683032,0.26804,6.83032,2.6804,2.54824,**,46.6296,2.02218
F_share_droptop25,police,hisp,2012-2022,share_pp,3101,50,-0.00284559,0.0326621,-0.0284559,0.326621,-0.0871221,,5.72011,2.02218
F_share_droptop25,corrections,hisp,2012-2022,share_pp,3101,50,0.0191582,0.0257542,0.191582,0.257542,0.743888,,1.84276,2.02218
F_share_droptop25,judicial,hisp,2012-2022,share_pp,3101,50,0.00796462,0.0162055,0.0796462,0.162055,0.491476,,1.49803,2.02218
F_share_droptop25,law_order,hisp,2012-2022,share_pp,3101,50,0.0242773,0.0591251,0.242773,0.591251,0.410608,,9.0609,2.02218
F_share_droptop25,welfare,hisp,2012-2022,share_pp,3101,50,-0.0247132,0.0425928,-0.247132,0.425928,-0.580219,,2.61435,2.02218
F_share_droptop25,health_hosp,hisp,2012-2022,share_pp,3101,50,-0.235636,0.12179,-2.35636,1.2179,-1.93477,*,7.59192,2.02218
F_share_droptop25,highways,hisp,2012-2022,share_pp,3101,50,0.0865746,0.0478599,0.865746,0.478599,1.80892,*,4.80991,2.02218
G_level_wtd,total_direct,hisp,2012-2022,dollars_pc,3126,50,-67.5421,71.319,-675.421,713.19,-0.947042,,5998.66,2.0817
G_level_wtd,education,hisp,2012-2022,dollars_pc,3126,50,34.1498,50.679,341.498,506.79,0.673845,,2509.7,2.0817
G_level_wtd,police,hisp,2012-2022,dollars_pc,3126,50,-1.5534,3.67555,-15.534,36.7555,-0.422631,,354.126,2.0817
G_level_wtd,corrections,hisp,2012-2022,dollars_pc,3126,50,1.63217,1.59183,16.3217,15.9183,1.02534,,114.046,2.0817
G_level_wtd,judicial,hisp,2012-2022,dollars_pc,3126,50,-5.19831,2.98492,-51.9831,29.8492,-1.74153,*,91.688,2.0817
G_level_wtd,law_order,hisp,2012-2022,dollars_pc,3126,50,-5.11955,6.23698,-51.1955,62.3698,-0.820838,,559.86,2.0817
G_level_wtd,welfare,hisp,2012-2022,dollars_pc,3126,50,-8.83057,4.00953,-88.3057,40.0953,-2.2024,**,216.04,2.0817
G_level_wtd,health_hosp,hisp,2012-2022,dollars_pc,3126,50,-13.6632,11.4419,-136.632,114.419,-1.19413,,575.624,2.0817
G_level_wtd,highways,hisp,2012-2022,dollars_pc,3126,50,12.1699,4.60917,121.699,46.0917,2.64038,***,265.36,2.0817
H_perchild,education,hisp,2012-2022,dollars_pc,3125,50,-57.947,254.179,-579.47,2541.79,-0.227977,,9582.92,2.08171
I_share_2012_2017,education,hisp,2012-2017,share_pp,3126,50,0.556146,0.231379,5.56146,2.31379,2.40362,**,44.5098,1.02943
I_share_2012_2017,police,hisp,2012-2017,share_pp,3126,50,0.0295191,0.044879,0.295191,0.44879,0.657749,,5.95237,1.02943
I_share_2012_2017,corrections,hisp,2012-2017,share_pp,3126,50,-0.00290202,0.0321862,-0.0290202,0.321862,-0.0901636,,1.89103,1.02943
I_share_2012_2017,judicial,hisp,2012-2017,share_pp,3126,50,-0.0212578,0.0441406,-0.212578,0.441406,-0.481593,,1.58038,1.02943
I_share_2012_2017,law_order,hisp,2012-2017,share_pp,3126,50,0.00535923,0.0863985,0.0535923,0.863985,0.0620292,,9.42377,1.02943
I_share_2012_2017,welfare,hisp,2012-2017,share_pp,3126,50,-0.145253,0.096999,-1.45253,0.96999,-1.49747,,2.90694,1.02943
I_share_2012_2017,health_hosp,hisp,2012-2017,share_pp,3126,50,0.0908185,0.306715,0.908185,3.06715,0.2961,,8.22002,1.02943
I_share_2012_2017,highways,hisp,2012-2017,share_pp,3126,50,0.0213836,0.065207,0.213836,0.65207,0.327935,,4.61119,1.02943
I_share_2017_2022,education,hisp,2017-2022,share_pp,3126,50,0.514303,0.201089,5.14303,2.01089,2.5576,**,45.3864,1.05888
I_share_2017_2022,police,hisp,2017-2022,share_pp,3126,50,-0.0657867,0.0305054,-0.657867,0.305054,-2.15656,**,6.19623,1.05888
I_share_2017_2022,corrections,hisp,2017-2022,share_pp,3126,50,0.0110607,0.0188595,0.110607,0.188595,0.586479,,1.85873,1.05888
I_share_2017_2022,judicial,hisp,2017-2022,share_pp,3126,50,-0.0603222,0.0180922,-0.603222,0.180922,-3.33415,***,1.55158,1.05888
I_share_2017_2022,law_order,hisp,2017-2022,share_pp,3126,50,-0.115048,0.0495908,-1.15048,0.495908,-2.31995,**,9.60653,1.05888
I_share_2017_2022,welfare,hisp,2017-2022,share_pp,3126,50,0.0235791,0.0316528,0.235791,0.316528,0.744929,,2.7133,1.05888
I_share_2017_2022,health_hosp,hisp,2017-2022,share_pp,3126,50,-0.257736,0.137256,-2.57736,1.37256,-1.87778,*,8.37646,1.05888
I_share_2017_2022,highways,hisp,2017-2022,share_pp,3126,50,0.173941,0.05829,1.73941,0.5829,2.98407,***,4.61452,1.05888
J_placebo_pre,education,hisp,2012-2022,share_pp,3120,50,0.213432,0.264503,2.13432,2.64503,0.806918,,44.5179,2.36591
J_placebo_pre,police,hisp,2012-2022,share_pp,3120,50,-0.0776966,0.0321014,-0.776966,0.321014,-2.42035,**,5.95153,2.36591
J_placebo_pre,corrections,hisp,2012-2022,share_pp,3120,50,0.0420596,0.025115,0.420596,0.25115,1.67468,*,1.89085,2.36591
J_placebo_pre,judicial,hisp,2012-2022,share_pp,3120,50,-0.0360135,0.0239264,-0.360135,0.239264,-1.50518,,1.5804,2.36591
J_placebo_pre,law_order,hisp,2012-2022,share_pp,3120,50,-0.0716505,0.0476561,-0.716505,0.476561,-1.50349,,9.42279,2.36591
J_placebo_pre,welfare,hisp,2012-2022,share_pp,3120,50,-0.0141454,0.048741,-0.141454,0.48741,-0.290215,,2.90611,2.36591
J_placebo_pre,health_hosp,hisp,2012-2022,share_pp,3120,50,0.165398,0.116256,1.65398,1.16256,1.42271,,8.22142,2.36591
J_placebo_pre,highways,hisp,2012-2022,share_pp,3120,50,0.101026,0.0360753,1.01026,0.360753,2.80041,***,4.61087,2.36591
K_placebo_fb,education,fb,2012-2022,share_pp,3120,50,0.188335,0.240572,1.88335,2.40572,0.782863,,44.5179,1.32173
K_placebo_fb,police,fb,2012-2022,share_pp,3120,50,-0.0684843,0.034491,-0.684843,0.34491,-1.98557,**,5.95153,1.32173
