fips,year,total_direct,interest,n_units,admin,corrections,educ_elemsec,education,fire,health_hosp,highways,housing,judicial,libraries,parks,police,sewer_waste,welfare
01109,2007,77199.0,,12,,837.0,40744.0,40744.0,,256.0,8256.0,,311.0,,,6104.0,,127.0
01111,2007,51444.0,,12,,543.0,32731.0,32731.0,,1308.0,3497.0,,462.0,,,3210.0,,184.0
01113,2007,142237.0,,8,,487.0,91619.0,91619.0,,129.0,6628.0,,303.0,,,10017.0,,0.0
01115,2007,162834.0,,26,,1915.0,102071.0,102071.0,,667.0,8061.0,,917.0,,,10664.0,,156.0
01117,2007,452599.0,,25,,9240.0,268729.0,268729.0,,6509.0,19976.0,,4986.0,,,28311.0,,810.0
01119,2007,38854.0,,13,,842.0,22823.0,22823.0,,451.0,5267.0,,117.0,,,1615.0,,53.0
01121,2007,186533.0,,25,,3671.0,117976.0,117976.0,,7711.0,10197.0,,1789.0,,,7654.0,,202.0
01123,2007,121150.0,,18,,0.0,62245.0,62245.0,,18907.0,5008.0,,100.0,,,7515.0,,116.0
01125,2007,911602.0,,26,,9966.0,273747.0,273747.0,,390001.0,45125.0,,5675.0,,,35958.0,,127.0
01127,2007,155897.0,,25,,2688.0,109072.0,109072.0,,136.0,8311.0,,346.0,,,7905.0,,127.0
01129,2007,43755.0,,16,,226.0,30938.0,30938.0,,1291.0,4743.0,,451.0,,,1354.0,,42.0
01131,2007,40391.0,,11,,485.0,22361.0,22361.0,,4104.0,3872.0,,217.0,,,1014.0,,211.0
01133,2007,74165.0,,14,,448.0,39684.0,39684.0,,17490.0,4082.0,,405.0,,,2099.0,,416.0
02013,2007,28581.0,,6,,0.0,7296.0,7296.0,,8860.0,602.0,,0.0,,,895.0,,0.0
02016,2007,44085.0,,5,,0.0,7295.0,7295.0,,82.0,4747.0,,0.0,,,3653.0,,0.0
02020,2007,1162013.0,,4,,0.0,565895.0,565895.0,,24360.0,96258.0,,1298.0,,,84665.0,,0.0
02050,2007,37738.0,,19,,0.0,0.0,0.0,,157.0,1204.0,,378.0,,,2714.0,,0.0
02060,2007,9792.0,,1,,0.0,3740.0,3740.0,,1076.0,702.0,,0.0,,,699.0,,0.0
02063,2007,60342.0,,3,,467.0,18208.0,18208.0,,12087.0,3450.0,,947.0,,,2145.0,,0.0
02066,2007,2831.0,,1,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0
02068,2007,8448.0,,2,,0.0,6760.0,6760.0,,135.0,85.0,,0.0,,,2.0,,0.0
02070,2007,28602.0,,8,,402.0,10025.0,10025.0,,629.0,632.0,,89.0,,,1173.0,,0.0
02090,2007,284639.0,,4,,0.0,174653.0,174653.0,,3496.0,10457.0,,1010.0,,,8113.0,,0.0
02100,2007,9047.0,,1,,0.0,4248.0,4248.0,,218.0,480.0,,0.0,,,458.0,,18.0
02105,2007,9021.0,,5,,0.0,4564.0,4564.0,,73.0,555.0,,4.0,,,505.0,,0.0
02110,2007,245500.0,,2,,0.0,81560.0,81560.0,,65682.0,9105.0,,1531.0,,,13322.0,,0.0
02122,2007,319305.0,,7,,1040.0,109315.0,109315.0,,91874.0,11608.0,,904.0,,,6872.0,,0.0
02130,2007,119323.0,,4,,0.0,28663.0,28663.0,,3656.0,4450.0,,555.0,,,4100.0,,0.0
02150,2007,85142.0,,8,,0.0,37782.0,37782.0,,488.0,2425.0,,150.0,,,3794.0,,84.0
02158,2007,13336.0,,12,,0.0,3704.0,3704.0,,187.0,199.0,,13.0,,,1195.0,,0.0
02164,2007,19962.0,,7,,0.0,16055.0,16055.0,,17.0,84.0,,31.0,,,7.0,,0.0
02170,2007,317930.0,,4,,0.0,207953.0,207953.0,,8775.0,19862.0,,1094.0,,,8510.0,,0.0
02180,2007,52476.0,,17,,0.0,11691.0,11691.0,,267.0,1794.0,,0.0,,,1756.0,,0.0
02185,2007,272821.0,,9,,0.0,47985.0,59344.0,,10100.0,19373.0,,5985.0,,,9049.0,,3296.0
02188,2007,91820.0,,12,,864.0,65157.0,65157.0,,123.0,358.0,,121.0,,,977.0,,0.0
02195,2007,68672.0,,5,,679.0,15564.0,15564.0,,14168.0,8483.0,,12.0,,,1925.0,,627.0
02198,2007,24931.0,,7,,0.0,13294.0,13294.0,,1055.0,293.0,,24.0,,,831.0,,0.0
02220,2007,70468.0,,2,,0.0,21814.0,21814.0,,14918.0,1914.0,,383.0,,,4701.0,,0.0
02240,2007,1779.0,,2,,0.0,2.0,2.0,,60.0,195.0,,0.0,,,0.0,,0.0
02282,2007,4957.0,,1,,0.0,2889.0,2889.0,,171.0,374.0,,73.0,,,449.0,,0.0
02290,2007,42090.0,,18,,0.0,31743.0,31743.0,,1673.0,333.0,,44.0,,,539.0,,0.0
04001,2007,238992.0,,24,,5350.0,166581.0,166581.0,,4998.0,14458.0,,4002.0,,,2531.0,,1106.0
04003,2007,427132.0,,51,,19415.0,153003.0,186347.0,,15035.0,28083.0,,11292.0,,,37315.0,,29597.0
04005,2007,473672.0,,36,,3297.0,176268.0,191719.0,,14159.0,50005.0,,11230.0,,,45484.0,,5715.0
04007,2007,167325.0,,33,,4060.0,73545.0,73545.0,,3034.0,12880.0,,6055.0,,,11885.0,,8520.0
04009,2007,132112.0,,19,,4307.0,50774.0,79317.0,,2394.0,11965.0,,5032.0,,,4946.0,,1690.0
04011,2007,30795.0,,10,,1297.0,13108.0,13108.0,,1950.0,2494.0,,1607.0,,,724.0,,0.0
04012,2007,75044.0,,17,,5268.0,26116.0,26116.0,,2736.0,7922.0,,4333.0,,,7853.0,,0.0
04013,2007,14920092.0,,150,,379323.0,5345825.0,6105127.0,,683153.0,801752.0,,403550.0,,,1146803.0,,49676.0
04015,2007,608863.0,,43,,16597.0,176981.0,202339.0,,16534.0,45731.0,,18508.0,,,51605.0,,4562.0
04017,2007,476583.0,,42,,19025.0,223982.0,246164.0,,78273.0,19424.0,,12392.0,,,19008.0,,1360.0
04019,2007,3590122.0,,45,,113590.0,1102961.0,1237976.0,,314401.0,231503.0,,160002.0,,,296172.0,,97168.0
04021,2007,1035890.0,,63,,17001.0,415937.0,457808.0,,30178.0,94785.0,,32455.0,,,63143.0,,44706.0
04023,2007,170263.0,,12,,4934.0,79532.0,79532.0,,1819.0,12382.0,,7004.0,,,16199.0,,4299.0
04025,2007,688535.0,,59,,15964.0,184958.0,238394.0,,11036.0,72226.0,,24334.0,,,49002.0,,33294.0
04027,2007,749501.0,,31,,35104.0,319509.0,357223.0,,8467.0,49664.0,,21164.0,,,45276.0,,2290.0
05001,2007,62984.0,,18,,1613.0,28910.0,28910.0,,601.0,4915.0,,457.0,,,3003.0,,0.0
05003,2007,59735.0,,18,,446.0,37137.0,37137.0,,4.0,3029.0,,527.0,,,2073.0,,0.0
05005,2007,68209.0,,28,,582.0,39439.0,39439.0,,107.0,6723.0,,682.0,,,4988.0,,45.0
05007,2007,558309.0,,38,,7919.0,333523.0,333523.0,,21698.0,36730.0,,4950.0,,,22923.0,,0.0
05009,2007,80944.0,,24,,775.0,56412.0,56412.0,,97.0,3408.0,,1096.0,,,3723.0,,0.0
05011,2007,32757.0,,8,,375.0,21908.0,21908.0,,32.0,1583.0,,299.0,,,1333.0,,16.0
05013,2007,14930.0,,7,,242.0,6340.0,6340.0,,30.0,927.0,,152.0,,,828.0,,284.0
05015,2007,56172.0,,14,,1222.0,29927.0,29927.0,,5.0,3525.0,,491.0,,,3609.0,,0.0
05017,2007,44766.0,,16,,297.0,19431.0,19431.0,,14293.0,2134.0,,287.0,,,2146.0,,0.0
05019,2007,51906.0,,15,,1158.0,33864.0,33864.0,,72.0,3025.0,,631.0,,,2950.0,,0.0
05021,2007,48343.0,,20,,613.0,26185.0,26185.0,,11337.0,3107.0,,337.0,,,1555.0,,0.0
05023,2007,43032.0,,16,,297.0,29416.0,29416.0,,48.0,3581.0,,389.0,,,2040.0,,185.0
05025,2007,17185.0,,7,,184.0,12946.0,12946.0,,15.0,1323.0,,155.0,,,483.0,,0.0
05027,2007,67373.0,,13,,949.0,30543.0,30543.0,,16443.0,3032.0,,506.0,,,2388.0,,13.0
05029,2007,57174.0,,19,,827.0,39987.0,39987.0,,61.0,2979.0,,482.0,,,2942.0,,29.0
05031,2007,234665.0,,59,,4494.0,131597.0,131597.0,,1832.0,15084.0,,2044.0,,,12786.0,,127.0
05033,2007,160402.0,,30,,1042.0,124644.0,124644.0,,30.0,5964.0,,1487.0,,,6750.0,,3.0
05035,2007,168725.0,,33,,5884.0,100461.0,100461.0,,413.0,6567.0,,2414.0,,,11572.0,,82.0
05037,2007,43486.0,,16,,550.0,29161.0,29161.0,,164.0,2578.0,,438.0,,,2151.0,,131.0
05039,2007,17716.0,,8,,851.0,10082.0,10082.0,,452.0,1060.0,,260.0,,,1144.0,,0.0
05041,2007,50464.0,,22,,0.0,28310.0,28310.0,,7955.0,2384.0,,282.0,,,2722.0,,16.0
05043,2007,69939.0,,12,,393.0,37960.0,37960.0,,15179.0,4764.0,,406.0,,,3201.0,,0.0
05045,2007,259765.0,,35,,5557.0,162992.0,162992.0,,79.0,9739.0,,3034.0,,,13968.0,,46.0
05047,2007,40490.0,,14,,861.0,30161.0,30161.0,,1131.0,2381.0,,249.0,,,1424.0,,41.0
05049,2007,20904.0,,10,,0.0,13007.0,13007.0,,2758.0,1667.0,,226.0,,,636.0,,38.0
05051,2007,212981.0,,31,,2483.0,125399.0,125399.0,,622.0,7428.0,,3712.0,,,13075.0,,0.0
05053,2007,44521.0,,10,,1199.0,33345.0,33345.0,,22.0,1896.0,,141.0,,,1669.0,,40.0
05055,2007,91436.0,,24,,1348.0,57995.0,57995.0,,195.0,4144.0,,1297.0,,,3686.0,,67.0
05057,2007,60817.0,,20,,1514.0,41055.0,41055.0,,147.0,3369.0,,395.0,,,2680.0,,52.0
05059,2007,67264.0,,17,,577.0,46968.0,46968.0,,105.0,3952.0,,529.0,,,2578.0,,8.0
05061,2007,36514.0,,12,,572.0,24247.0,24247.0,,36.0,2043.0,,343.0,,,1494.0,,0.0
05063,2007,91525.0,,22,,1502.0,55837.0,55837.0,,100.0,4286.0,,1070.0,,,2578.0,,1.0
05065,2007,32343.0,,17,,473.0,25636.0,25636.0,,16.0,1522.0,,182.0,,,857.0,,0.0
05067,2007,39157.0,,33,,111.0,22163.0,22163.0,,426.0,2501.0,,628.0,,,2644.0,,209.0
05069,2007,235045.0,,39,,5636.0,150248.0,150248.0,,365.0,7591.0,,2351.0,,,14766.0,,29.0
05071,2007,49339.0,,12,,826.0,33603.0,33603.0,,22.0,3583.0,,608.0,,,1985.0,,0.0
05073,2007,15556.0,,13,,188.0,11501.0,11501.0,,10.0,660.0,,79.0,,,850.0,,42.0
05075,2007,60103.0,,36,,222.0,32757.0,32757.0,,11536.0,2268.0,,318.0,,,1662.0,,2260.0
05077,2007,22894.0,,16,,0.0,14157.0,14157.0,,104.0,1068.0,,379.0,,,1383.0,,0.0
05079,2007,19316.0,,11,,72.0,13360.0,13360.0,,3.0,1562.0,,117.0,,,843.0,,5.0
05081,2007,43059.0,,15,,564.0,20791.0,20791.0,,6615.0,2181.0,,365.0,,,1345.0,,2070.0
05083,2007,45625.0,,19,,1309.0,31872.0,31872.0,,740.0,2004.0,,413.0,,,2001.0,,49.0
05085,2007,162370.0,,29,,1578.0,117396.0,117396.0,,205.0,6440.0,,1110.0,,,6012.0,,19.0
05087,2007,27260.0,,7,,0.0,20835.0,20835.0,,5.0,2243.0,,327.0,,,1704.0,,0.0
