year,hisp,foreign_born,n,weighted
2017,0,False,32371,1917237.0
2017,0,True,892,55421.0
2017,2,False,3632,215073.0
2017,2,True,1285,76634.0
2017,24,False,598,37172.0
2017,24,True,97,6291.0
2017,99,False,1424,92455.0
2017,99,True,681,44286.0
2018,0,False,34041,1948241.0
2018,0,True,911,51691.0
2018,2,False,3670,211511.0
2018,2,True,1277,78599.0
2018,24,False,712,41839.0
2018,24,True,128,7597.0
2018,99,False,1372,82290.0
2018,99,True,688,42873.0
2019,0,False,33050,1914578.0
2019,0,True,840,50416.0
2019,2,False,3742,216485.0
2019,2,True,1208,76534.0
2019,24,False,801,48797.0
2019,24,True,119,8476.0
2019,99,False,1394,86985.0
2019,99,True,702,44066.0
2021,0,False,36608,1888230.0
2021,0,True,897,47116.0
2021,2,False,3533,170631.0
2021,2,True,1071,54418.0
2021,24,False,1429,83458.0
2021,24,True,403,25338.0
2021,99,False,1124,60408.0
2021,99,True,486,24955.0
2022,0,False,38158,1698725.0
2022,0,True,837,38116.0
2022,2,False,3663,154845.0
2022,2,True,1093,45895.0
2022,24,False,1863,84351.0
2022,24,True,486,27692.0
2022,99,False,1349,56977.0
2022,99,True,474,21232.0
2023,0,False,36020,1675002.0
2023,0,True,868,43065.0
2023,2,False,3725,167292.0
2023,2,True,969,43664.0
2023,24,False,1592,74626.0
2023,24,True,496,32162.0
2023,99,False,1264,54656.0
2023,99,True,608,28110.0
2024,0,False,35731,1645483.0
2024,0,True,974,47761.0
2024,2,False,3897,182328.0
2024,2,True,1329,66688.0
2024,24,False,1390,58049.0
2024,24,True,190,9460.0
2024,99,False,1477,71926.0
2024,99,True,757,39787.0
