year,cell,n,no_schooling_share
2017,mexborn_fixed_all,30165,0.08240147569938315
2017,mexborn_fixed_poor_english,17151,0.10062401993565237
2017,mexborn_fixed_english_well,13014,0.05631549564571544
2017,central_american_born_25plus,19194,0.07463749950015841
2017,native_65plus,480835,0.008961395493843458
2017,mexborn_25plus_FSCHLP_rate,77615,0.11745491243584213
2018,mexborn_fixed_all,28567,0.08493284405747771
2018,mexborn_fixed_poor_english,15689,0.10413052710377244
2018,mexborn_fixed_english_well,12878,0.058702802311379816
2018,central_american_born_25plus,19197,0.07898277052080575
2018,native_65plus,503841,0.008573469781002534
2018,mexborn_25plus_FSCHLP_rate,76415,0.12332457250230931
2019,mexborn_fixed_all,26037,0.09209503270717556
2019,mexborn_fixed_poor_english,13745,0.11500680985644464
2019,mexborn_fixed_english_well,12292,0.06372068126941283
2019,central_american_born_25plus,18698,0.07497281952162357
2019,native_65plus,536823,0.008202340301935484
2019,mexborn_25plus_FSCHLP_rate,72417,0.13126348797366508
2021,mexborn_fixed_all,26270,0.13546827033901854
2021,mexborn_fixed_poor_english,14080,0.1591074834740879
2021,mexborn_fixed_english_well,12190,0.10632421592876078
2021,central_american_born_25plus,19987,0.1099344269684037
2021,native_65plus,556626,0.008801742470748336
2021,mexborn_25plus_FSCHLP_rate,78154,0.14789540696325193
2022,mexborn_fixed_all,25931,0.13603293835193503
2022,mexborn_fixed_poor_english,13735,0.16043672995972463
2022,mexborn_fixed_english_well,12196,0.10627883417525702
2022,central_american_born_25plus,20557,0.11173786136183562
2022,native_65plus,587884,0.008623566450079558
2022,mexborn_25plus_FSCHLP_rate,78656,0.14285829529474753
2023,mexborn_fixed_all,26551,0.13864365728125946
2023,mexborn_fixed_poor_english,13922,0.15609744108782256
2023,mexborn_fixed_english_well,12629,0.11798708012385735
2023,central_american_born_25plus,21546,0.11073841030514003
2023,native_65plus,615768,0.00900003273278052
2023,mexborn_25plus_FSCHLP_rate,81324,0.14449512528108094
2024,mexborn_fixed_all,25647,0.14639879607989473
2024,mexborn_fixed_poor_english,13328,0.1667159160149718
2024,mexborn_fixed_english_well,12319,0.12294178007923452
2024,central_american_born_25plus,22027,0.11450599584315485
2024,native_65plus,627593,0.008700556405320428
2024,mexborn_25plus_FSCHLP_rate,80522,0.14570980241707168
