group,cut,pop_m,parent_birthplace_allocated_pct,hotdeck_pct
union,adult_no_parent_in_hh,21.67370216,4.75500734665443,2.5558777910234043
union,adult_parent_in_hh,7.09934931,3.3875341175457674,2.6097783319243386
union,child_0_17,12.123523899999999,2.4877016161942818,1.671234714190649
mexico_born,adult_no_parent_in_hh,10.54318039,4.051962540688351,0.0
mexico_born,adult_parent_in_hh,1.1316188399999998,3.3222723651366572,0.0
mexico_born,child_0_17,0.54598299,7.2367437674203,0.0
mexican_second_gen,adult_no_parent_in_hh,5.07483885,5.393512741788835,5.321714796914192
mexican_second_gen,adult_parent_in_hh,3.8400445899999998,2.842018561039678,2.842018561039678
mexican_second_gen,child_0_17,5.41833495,1.849830453910938,1.7375957903820618
mexican_third_plus_selfid,adult_no_parent_in_hh,6.05568292,5.443949664392269,4.687908758604554
mexican_third_plus_selfid,adult_parent_in_hh,2.1276858800000005,4.406789596216147,3.5786532549626164
mexican_third_plus_selfid,child_0_17,6.159205960000001,2.62786633619896,1.7610026471659017
third_plus_nh_white,adult_no_parent_in_hh,125.02963859,2.552983041458858,2.44180953766604
third_plus_nh_white,adult_parent_in_hh,16.86190335,2.503764024955107,2.360142516176859
third_plus_nh_white,child_0_17,31.162355090000002,1.7943488493892263,1.664071789511208
all_native,adult_no_parent_in_hh,178.66101589000002,3.414138070140355,3.1016104729930394
all_native,adult_parent_in_hh,35.60186446,2.8042126589232006,2.525010399413222
all_native,child_0_17,69.40930646000001,2.4393433911859312,2.101582041942218
