Year,records,vic_known,vic_hisp,vic_known_n,vic_white_unk,hisp_share_known
2019,16007,0.7338039607671644,2345,11746,0.09502092834384956,0.199642431466031
2020,21246,0.7515296997081804,3124,15967,0.08180363362515297,0.19565353541679714
2021,21959,0.75581766018489,3364,16597,0.08096907873764743,0.20268723263240346
2022,20076,0.7825263996812114,3286,15710,0.06749352460649531,0.20916613621896882
2023,18533,0.7481789240813683,2772,13866,0.1040846058382345,0.19991345737775854
2024,16650,0.7380780780780781,2483,12289,0.10972972972972973,0.2020506143705753
