year,residence,nativity,hispanic_pop,hisp24_share,mexican_share,fhisp_share
2019,household,1,20228568.0,0.048230008174577656,0.6368429539846815,0.011266986372935543
2019,household,2,16013065.0,0.01749958549471947,0.5724042836271507,0.005395344364117675
2019,inst,1,352267.0,0.13852276824113527,0.6145480558780697,0.006549009700028671
2019,inst,2,129076.0,0.0656667389754873,0.5929374941894697,0.003122191577055378
2019,noninst_gq,1,428710.0,0.17877819505026707,0.48292552074829137,0.0676307993748688
2019,noninst_gq,2,80155.0,0.125157507329549,0.48424926704510013,0.08860333104609819
2021,household,1,21796692.0,0.05821309949234499,0.6173774442470444,0.00610629356050909
2021,household,2,15956361.0,0.018959210060489357,0.5589175376515987,0.003951590215337946
2021,inst,1,314497.0,0.2653697809518056,0.5425520752185236,0.02770455680022385
2021,inst,2,104711.0,0.24198030770406165,0.5196970709858563,0.03154396386244043
2021,noninst_gq,1,396284.0,0.14094942011284836,0.5210783175702274,0.08688465847725368
2021,noninst_gq,2,70743.0,0.09483623821438164,0.48785038802425684,0.03211625178462887
2023,household,1,22575198.0,0.058646883185697864,0.6199594351287638,0.006883660555269549
2023,household,2,16858042.0,0.0203195602431172,0.5288206661248086,0.004571645983560843
2023,inst,1,296574.0,0.2516269126760943,0.564081814319529,0.0020905406407844248
2023,inst,2,103936.0,0.3094404248768473,0.4201046798029557,0.006138392857142857
2023,noninst_gq,1,511180.0,0.16117805860949178,0.47636449000352127,0.06422199616573418
2023,noninst_gq,2,117533.0,0.0922804659117014,0.4914534641334774,0.03365012379501927
2024,household,1,23731838.0,0.05631207325787409,0.6178590549960774,0.006562702812989032
2024,household,2,17632430.0,0.019206484869073632,0.5103147439122118,0.004776199310021364
2024,inst,1,312303.0,0.1858739749538109,0.5838176386393983,0.003980109060751898
2024,inst,2,115935.0,0.08159744684521499,0.5752188726441541,0.0015957217406305257
2024,noninst_gq,1,537943.0,0.15566519129350134,0.5014824990751808,0.07001485287474696
2024,noninst_gq,2,115334.0,0.07884058473650442,0.5007369899595956,0.03037265680545199
