year,group,sch_allocated,n,pop,public_k12,private_or_home
2024,hisp02,False,51262,7212922.0,0.8846683771154048,0.062613182285903
2024,hisp02,True,12558,1539577.0,0.8677935562820177,0.08652181735632579
2024,native_nh_white,False,216735,21142526.0,0.7735400680126868,0.17745008330603448
2024,native_nh_white,True,41357,3934581.0,0.7641507443867593,0.18725932951945837
2024,other,False,126379,16994884.0,0.8418038040153731,0.10521242745758076
2024,other,True,28063,3605125.0,0.8261305779966021,0.12132200686522658
2023,hisp02,False,53518,7259614.0,0.8914259077686499,0.056421732615535757
2023,hisp02,True,12925,1521268.0,0.8753815895687019,0.07426436367556538
2023,native_nh_white,False,219085,21547662.0,0.7793681281987809,0.17180536802554264
2023,native_nh_white,True,40279,3818796.0,0.7726464047830782,0.1799475541505752
2023,other,False,127967,16535213.0,0.8461615825571767,0.10188879937621607
2023,other,True,27943,3479632.0,0.8358671261788603,0.11513257723805276
