ethnicity_name,race_desc,n,state,year,group
Hispanic or Latino,American Indian or Alaska Native,131,TX,2022,A
Hispanic or Latino,Asian,309,TX,2022,A
Hispanic or Latino,Black or African American,1500,TX,2022,A
Hispanic or Latino,Native Hawaiian or Other Pacific Islander,622,TX,2022,A
Hispanic or Latino,Unknown,790,TX,2022,A
Hispanic or Latino,White,105474,TX,2022,A
Not Hispanic or Latino,American Indian or Alaska Native,402,TX,2022,A
Not Hispanic or Latino,Asian,3450,TX,2022,A
Not Hispanic or Latino,Black or African American,88259,TX,2022,A
Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,261,TX,2022,A
Not Hispanic or Latino,Unknown,445,TX,2022,A
Not Hispanic or Latino,White,90476,TX,2022,A
Not Specified,American Indian or Alaska Native,8,TX,2022,A
Not Specified,Asian,67,TX,2022,A
Not Specified,Black or African American,802,TX,2022,A
Not Specified,Native Hawaiian or Other Pacific Islander,5,TX,2022,A
Not Specified,Unknown,63,TX,2022,A
Not Specified,White,2229,TX,2022,A
Unknown,American Indian or Alaska Native,25,TX,2022,A
Unknown,Asian,69,TX,2022,A
Unknown,Black or African American,1444,TX,2022,A
Unknown,Native Hawaiian or Other Pacific Islander,20,TX,2022,A
Unknown,Unknown,427,TX,2022,A
Unknown,White,3011,TX,2022,A
Hispanic or Latino,American Indian or Alaska Native,88,TX,2022,B
Hispanic or Latino,Asian,216,TX,2022,B
Hispanic or Latino,Black or African American,774,TX,2022,B
Hispanic or Latino,Native Hawaiian or Other Pacific Islander,817,TX,2022,B
Hispanic or Latino,Unknown,651,TX,2022,B
Hispanic or Latino,White,82807,TX,2022,B
Not Hispanic or Latino,American Indian or Alaska Native,325,TX,2022,B
Not Hispanic or Latino,Asian,2355,TX,2022,B
Not Hispanic or Latino,Black or African American,41351,TX,2022,B
Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,168,TX,2022,B
Not Hispanic or Latino,Unknown,417,TX,2022,B
Not Hispanic or Latino,White,69155,TX,2022,B
Not Specified,American Indian or Alaska Native,6,TX,2022,B
Not Specified,Asian,66,TX,2022,B
Not Specified,Black or African American,497,TX,2022,B
Not Specified,Native Hawaiian or Other Pacific Islander,8,TX,2022,B
Not Specified,Unknown,209,TX,2022,B
Not Specified,White,2524,TX,2022,B
Unknown,American Indian or Alaska Native,18,TX,2022,B
Unknown,Asian,58,TX,2022,B
Unknown,Black or African American,793,TX,2022,B
Unknown,Native Hawaiian or Other Pacific Islander,28,TX,2022,B
Unknown,Unknown,365,TX,2022,B
Unknown,White,2363,TX,2022,B
Hispanic or Latino,American Indian or Alaska Native,159,TX,2023,A
Hispanic or Latino,Asian,394,TX,2023,A
Hispanic or Latino,Black or African American,1686,TX,2023,A
Hispanic or Latino,Native Hawaiian or Other Pacific Islander,776,TX,2023,A
Hispanic or Latino,Unknown,611,TX,2023,A
Hispanic or Latino,White,109069,TX,2023,A
Not Hispanic or Latino,American Indian or Alaska Native,454,TX,2023,A
Not Hispanic or Latino,Asian,3918,TX,2023,A
Not Hispanic or Latino,Black or African American,90028,TX,2023,A
Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,248,TX,2023,A
Not Hispanic or Latino,Unknown,366,TX,2023,A
Not Hispanic or Latino,White,89161,TX,2023,A
Not Specified,American Indian or Alaska Native,12,TX,2023,A
Not Specified,Asian,92,TX,2023,A
Not Specified,Black or African American,1287,TX,2023,A
Not Specified,Native Hawaiian or Other Pacific Islander,6,TX,2023,A
Not Specified,Unknown,67,TX,2023,A
Not Specified,White,3287,TX,2023,A
Unknown,American Indian or Alaska Native,25,TX,2023,A
Unknown,Asian,78,TX,2023,A
Unknown,Black or African American,1661,TX,2023,A
Unknown,Native Hawaiian or Other Pacific Islander,22,TX,2023,A
Unknown,Unknown,602,TX,2023,A
Unknown,White,3094,TX,2023,A
Hispanic or Latino,American Indian or Alaska Native,107,TX,2023,B
Hispanic or Latino,Asian,303,TX,2023,B
Hispanic or Latino,Black or African American,877,TX,2023,B
Hispanic or Latino,Native Hawaiian or Other Pacific Islander,918,TX,2023,B
Hispanic or Latino,Unknown,545,TX,2023,B
Hispanic or Latino,White,83995,TX,2023,B
Not Hispanic or Latino,American Indian or Alaska Native,343,TX,2023,B
Not Hispanic or Latino,Asian,2579,TX,2023,B
Not Hispanic or Latino,Black or African American,42444,TX,2023,B
Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,150,TX,2023,B
Not Hispanic or Latino,Unknown,373,TX,2023,B
Not Hispanic or Latino,White,66156,TX,2023,B
Not Specified,American Indian or Alaska Native,6,TX,2023,B
Not Specified,Asian,81,TX,2023,B
Not Specified,Black or African American,642,TX,2023,B
Not Specified,Native Hawaiian or Other Pacific Islander,11,TX,2023,B
Not Specified,Unknown,187,TX,2023,B
Not Specified,White,3432,TX,2023,B
Unknown,American Indian or Alaska Native,31,TX,2023,B
Unknown,Asian,71,TX,2023,B
Unknown,Black or African American,844,TX,2023,B
Unknown,Native Hawaiian or Other Pacific Islander,51,TX,2023,B
Unknown,Unknown,399,TX,2023,B
Unknown,White,2400,TX,2023,B
Hispanic or Latino,American Indian or Alaska Native,330,AZ,2022,A
Hispanic or Latino,Asian,34,AZ,2022,A
Hispanic or Latino,Black or African American,177,AZ,2022,A
Hispanic or Latino,Native Hawaiian or Other Pacific Islander,36,AZ,2022,A
Hispanic or Latino,Unknown,145,AZ,2022,A
Hispanic or Latino,White,14888,AZ,2022,A
Not Hispanic or Latino,American Indian or Alaska Native,4711,AZ,2022,A
Not Hispanic or Latino,Asian,378,AZ,2022,A
Not Hispanic or Latino,Black or African American,6363,AZ,2022,A
Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,196,AZ,2022,A
Not Hispanic or Latino,Unknown,115,AZ,2022,A
Not Hispanic or Latino,White,26729,AZ,2022,A
Not Specified,American Indian or Alaska Native,454,AZ,2022,A
Not Specified,Asian,36,AZ,2022,A
Not Specified,Black or African American,522,AZ,2022,A
Not Specified,Native Hawaiian or Other Pacific Islander,18,AZ,2022,A
Not Specified,Unknown,51,AZ,2022,A
Not Specified,White,3760,AZ,2022,A
Unknown,American Indian or Alaska Native,1632,AZ,2022,A
Unknown,Asian,13,AZ,2022,A
Unknown,Black or African American,384,AZ,2022,A
Unknown,Native Hawaiian or Other Pacific Islander,15,AZ,2022,A
Unknown,Unknown,240,AZ,2022,A
Unknown,White,1536,AZ,2022,A
Hispanic or Latino,American Indian or Alaska Native,224,AZ,2022,B
Hispanic or Latino,Asian,7,AZ,2022,B
Hispanic or Latino,Black or African American,99,AZ,2022,B
Hispanic or Latino,Native Hawaiian or Other Pacific Islander,22,AZ,2022,B
Hispanic or Latino,Unknown,120,AZ,2022,B
Hispanic or Latino,White,10044,AZ,2022,B
Not Hispanic or Latino,American Indian or Alaska Native,5243,AZ,2022,B
Not Hispanic or Latino,Asian,273,AZ,2022,B
Not Hispanic or Latino,Black or African American,3847,AZ,2022,B
Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,143,AZ,2022,B
Not Hispanic or Latino,Unknown,106,AZ,2022,B
Not Hispanic or Latino,White,17758,AZ,2022,B
Not Specified,American Indian or Alaska Native,571,AZ,2022,B
Not Specified,Asian,44,AZ,2022,B
Not Specified,Black or African American,528,AZ,2022,B
Not Specified,Native Hawaiian or Other Pacific Islander,7,AZ,2022,B
Not Specified,Unknown,71,AZ,2022,B
Not Specified,White,3411,AZ,2022,B
Unknown,American Indian or Alaska Native,6252,AZ,2022,B
Unknown,Asian,26,AZ,2022,B
Unknown,Black or African American,191,AZ,2022,B
Unknown,Native Hawaiian or Other Pacific Islander,7,AZ,2022,B
Unknown,Unknown,164,AZ,2022,B
Unknown,White,1098,AZ,2022,B
Hispanic or Latino,American Indian or Alaska Native,359,AZ,2023,A
Hispanic or Latino,Asian,17,AZ,2023,A
Hispanic or Latino,Black or African American,152,AZ,2023,A
Hispanic or Latino,Native Hawaiian or Other Pacific Islander,34,AZ,2023,A
Hispanic or Latino,Unknown,162,AZ,2023,A
Hispanic or Latino,White,15248,AZ,2023,A
Not Hispanic or Latino,American Indian or Alaska Native,4635,AZ,2023,A
Not Hispanic or Latino,Asian,397,AZ,2023,A
Not Hispanic or Latino,Black or African American,6744,AZ,2023,A
Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,212,AZ,2023,A
Not Hispanic or Latino,Unknown,142,AZ,2023,A
Not Hispanic or Latino,White,26043,AZ,2023,A
Not Specified,American Indian or Alaska Native,702,AZ,2023,A
Not Specified,Asian,63,AZ,2023,A
Not Specified,Black or African American,817,AZ,2023,A
Not Specified,Native Hawaiian or Other Pacific Islander,25,AZ,2023,A
Not Specified,Unknown,112,AZ,2023,A
Not Specified,White,5361,AZ,2023,A
Unknown,American Indian or Alaska Native,1646,AZ,2023,A
Unknown,Asian,19,AZ,2023,A
Unknown,Black or African American,386,AZ,2023,A
Unknown,Native Hawaiian or Other Pacific Islander,23,AZ,2023,A
Unknown,Unknown,267,AZ,2023,A
Unknown,White,1289,AZ,2023,A
Hispanic or Latino,American Indian or Alaska Native,218,AZ,2023,B
Hispanic or Latino,Asian,6,AZ,2023,B
Hispanic or Latino,Black or African American,95,AZ,2023,B
Hispanic or Latino,Native Hawaiian or Other Pacific Islander,29,AZ,2023,B
Hispanic or Latino,Unknown,134,AZ,2023,B
Hispanic or Latino,White,11034,AZ,2023,B
Not Hispanic or Latino,American Indian or Alaska Native,5191,AZ,2023,B
Not Hispanic or Latino,Asian,330,AZ,2023,B
Not Hispanic or Latino,Black or African American,4186,AZ,2023,B
Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,142,AZ,2023,B
Not Hispanic or Latino,Unknown,144,AZ,2023,B
Not Hispanic or Latino,White,18999,AZ,2023,B
Not Specified,American Indian or Alaska Native,506,AZ,2023,B
Not Specified,Asian,46,AZ,2023,B
Not Specified,Black or African American,609,AZ,2023,B
Not Specified,Native Hawaiian or Other Pacific Islander,15,AZ,2023,B
Not Specified,Unknown,144,AZ,2023,B
Not Specified,White,4442,AZ,2023,B
Unknown,American Indian or Alaska Native,5513,AZ,2023,B
Unknown,Asian,14,AZ,2023,B
Unknown,Black or African American,208,AZ,2023,B
Unknown,Native Hawaiian or Other Pacific Islander,11,AZ,2023,B
Unknown,Unknown,207,AZ,2023,B
Unknown,White,1137,AZ,2023,B
Hispanic or Latino,American Indian or Alaska Native,94,CA,2022,A
Hispanic or Latino,Asian,90,CA,2022,A
Hispanic or Latino,Black or African American,245,CA,2022,A
Hispanic or Latino,Native Hawaiian or Other Pacific Islander,57,CA,2022,A
Hispanic or Latino,Unknown,468,CA,2022,A
Hispanic or Latino,White,67501,CA,2022,A
Not Hispanic or Latino,American Indian or Alaska Native,1072,CA,2022,A
Not Hispanic or Latino,Asian,5139,CA,2022,A
Not Hispanic or Latino,Black or African American,22394,CA,2022,A
Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,758,CA,2022,A
Not Hispanic or Latino,Unknown,2201,CA,2022,A
Not Hispanic or Latino,White,59280,CA,2022,A
Not Specified,American Indian or Alaska Native,102,CA,2022,A
Not Specified,Asian,668,CA,2022,A
Not Specified,Black or African American,1832,CA,2022,A
Not Specified,Native Hawaiian or Other Pacific Islander,71,CA,2022,A
Not Specified,Unknown,392,CA,2022,A
Not Specified,White,14956,CA,2022,A
Unknown,American Indian or Alaska Native,67,CA,2022,A
Unknown,Asian,493,CA,2022,A
Unknown,Black or African American,2369,CA,2022,A
Unknown,Native Hawaiian or Other Pacific Islander,89,CA,2022,A
Unknown,Unknown,1636,CA,2022,A
Unknown,White,6791,CA,2022,A
Hispanic or Latino,American Indian or Alaska Native,71,CA,2022,B
Hispanic or Latino,Asian,85,CA,2022,B
Hispanic or Latino,Black or African American,216,CA,2022,B
Hispanic or Latino,Native Hawaiian or Other Pacific Islander,49,CA,2022,B
Hispanic or Latino,Unknown,418,CA,2022,B
Hispanic or Latino,White,66338,CA,2022,B
Not Hispanic or Latino,American Indian or Alaska Native,903,CA,2022,B
Not Hispanic or Latino,Asian,4248,CA,2022,B
Not Hispanic or Latino,Black or African American,15149,CA,2022,B
Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,480,CA,2022,B
Not Hispanic or Latino,Unknown,2195,CA,2022,B
Not Hispanic or Latino,White,46415,CA,2022,B
Not Specified,American Indian or Alaska Native,62,CA,2022,B
Not Specified,Asian,530,CA,2022,B
Not Specified,Black or African American,1558,CA,2022,B
Not Specified,Native Hawaiian or Other Pacific Islander,66,CA,2022,B
Not Specified,Unknown,328,CA,2022,B
