window,origin,inst,pop,rate_pct,ratio_to_white_raw,ratio_to_white_hisp24_spread
2019,All other Hispanic,28686,347199,8.262120570623763,5.57792240578109,1.827758742160133
2019,Colombian,1132,93114,1.215714070923814,0.8207528197228097,0.9056017269239812
2019,Dominican,4667,175358,2.6614126529727757,1.7967727705195395,1.982522002692622
2019,Guatemalan,1693,93409,1.812459184875119,1.2236273497174834,1.3501251709251625
2019,Honduran,1426,57179,2.493922593959321,1.6836968906735723,1.8577564099328674
2019,Mexican,133898,4744001,2.8224698940830746,1.9055057266805266,2.102495703064672
2019,Puerto Rican,32586,977566,3.3333810709455935,2.2504320535751097,2.483080295393912
2019,Salvadoran,3169,180444,1.7562235374963977,1.1856615424121935,1.3082344824821481
2019,other named Hispanic,7987,569829,1.401648564744862,0.9462809054275296,1.044106826705482
2019,NH White,386961,26124509,1.4812182690208648,1.0,1.0
2021,All other Hispanic,48354,436037,11.089425897343574,7.6509238458996744,1.3613996777733124
2021,Colombian,679,121527,0.5587235758308853,0.38547996705716336,0.4947802018030671
2021,Dominican,3034,231934,1.308130761337277,0.9025182122248312,1.1584211407523706
2021,Guatemalan,1797,119892,1.498848964067661,1.0341003571099476,1.3273125119355682
2021,Honduran,723,64963,1.1129412126903007,0.7678511531689357,0.9855701488718486
2021,Mexican,106771,4788432,2.2297695780163527,1.5383841682366595,1.9745825834261947
2021,Puerto Rican,18508,915961,2.0206100478077125,1.3940788045429633,1.789360410884491
2021,Salvadoran,1118,219222,0.5099853116931695,0.3518539930210925,0.45161981049556077
2021,other named Hispanic,7560,642613,1.1764467883469523,0.8116655334296352,1.0418078000078168
2021,NH White,369210,25472893,1.449423118135816,1.0,1.0
2022,All other Hispanic,48910,472962,10.341211344674624,9.40572569136403,1.4731287030730063
2022,Colombian,430,108067,0.3979013019700741,0.3619063931513603,0.48762349285885476
2022,Dominican,1985,215968,0.9191176470588235,0.8359725160030792,1.126368160114096
2022,Guatemalan,1946,138561,1.4044355915445184,1.2773876758701852,1.7211197481724652
2022,Honduran,642,68218,0.9411005892872849,0.8559668394530575,1.153308004290738
2022,Mexican,88462,4988842,1.773197066573766,1.6127902862668904,2.1730327165272887
2022,Puerto Rican,18025,940260,1.9170229510986323,1.7436054076361418,2.3492896923861015
2022,Salvadoran,1660,209279,0.7931995087897018,0.7214451720922029,0.9720569223949209
2022,other named Hispanic,5597,662474,0.8448633455803548,0.7684353999117439,1.0353703632547921
2022,NH White,282657,25708731,1.099459168171311,1.0,1.0
2023,All other Hispanic,42087,468401,8.985249817997827,8.045401870625104,1.5569467825040735
2023,Colombian,520,130143,0.399560483468185,0.35776686527777785,0.45257303316004405
2023,Dominican,2924,204900,1.427037579306979,1.2777709070494165,1.6163728707464917
2023,Guatemalan,1406,139787,1.0058159914727407,0.900608666783024,1.1392647994379077
2023,Honduran,1206,72936,1.6535044422507403,1.4805495675951434,1.8728867136146867
2023,Mexican,95986,4998841,1.9201650942688515,1.7193177879590684,2.1749271432906636
2023,Puerto Rican,16948,924508,1.833191275792097,1.6414413420013076,2.0764138856935315
2023,Salvadoran,2003,225925,0.8865774040057541,0.7938423136944289,1.0042059749734753
2023,other named Hispanic,7094,669251,1.0599909451013148,0.9491169756328585,1.2006275319888626
2023,NH White,281780,25230610,1.116818023821065,1.0,1.0
2024,All other Hispanic,32654,453801,7.195665060235654,6.851484883220898,1.6979660518885609
2024,Colombian,249,125868,0.19782629421298503,0.18836394592544978,0.2215267393636471
2024,Dominican,2743,231544,1.1846560480945307,1.1279920531862653,1.326582963330764
2024,Guatemalan,1368,158083,0.8653681926582871,0.8239762469189014,0.9690430426918429
2024,Honduran,1278,82326,1.5523649879746375,1.4781128859270858,1.7383450236300095
2024,Mexican,107917,5297333,2.0371949431912246,1.9397526483801655,2.28125970315851
2024,Puerto Rican,18287,984791,1.8569422344436535,1.7681217151995212,2.079411940760838
2024,Salvadoran,2541,239777,1.0597346701309966,1.0090458646764506,1.1866954643146752
2024,other named Hispanic,5126,703524,0.7286176448848938,0.6937666967246768,0.8159091881910995
2024,NH White,264799,25213324,1.0502343919429267,1.0,1.0
pooled_2021_2024,All other Hispanic,172005,1831201,9.393015840423853,7.965068731389759,1.507095297444392
pooled_2021_2024,Colombian,1878,485605,0.3867340739901772,0.3279419019869485,0.41480175972308886
pooled_2021_2024,Dominican,10686,884346,1.2083505777150572,1.0246544418348016,1.2960480591408856
pooled_2021_2024,Guatemalan,6517,556323,1.1714417703384545,0.9933565932478667,1.2564605511379463
pooled_2021_2024,Honduran,3849,288443,1.3344057578100352,1.1315464337638717,1.4312518439693613
pooled_2021_2024,Mexican,399136,20073448,1.98837788106956,1.68610026382959,2.1326867724695737
pooled_2021_2024,Puerto Rican,71768,3765520,1.905925343644437,1.6161823440873235,2.044250144001083
pooled_2021_2024,Salvadoran,7322,894203,0.818829728819966,0.6943494166472058,0.8782572710071791
pooled_2021_2024,other named Hispanic,25377,2677862,0.947658990642535,0.8035937682445801,1.016436469846497
pooled_2021_2024,NH White,1198446,101625558,1.1792761816865005,1.0,1.0
