State,Ori,Agency,n,known,hisp,off_hisp,off_known
Pennsylvania,PA00228,Allegheny County Police Department,157,155,0,0,119
Missouri,MO09500,St. Louis County Police Department,97,91,0,0,73
Louisiana,LA00901,Shreveport,95,88,0,0,65
North Carolina,NC07800,Robeson County,93,84,0,0,40
Georgia,GA06072,South Fulton,69,60,0,0,34
Virginia,VA11100,Hampton,68,67,0,0,34
Arkansas,AR03501,Pine Bluff,62,56,0,0,18
South Carolina,SC03800,Orangeburg County,48,48,0,0,34
Louisiana,LA03701,Monroe,47,45,0,0,0
Alabama,AL00100,Jefferson County,42,41,0,0,24
Louisiana,LA05501,Houma,39,33,0,0,0
North Carolina,NC03301,Rocky Mount,38,38,0,0,32
South Carolina,SC02101,Florence,36,36,0,0,31
Illinois,IL05802,Decatur,36,36,0,0,11
Alabama,AL03801,Dothan,35,35,0,0,32
Missouri,MO01002,Columbia,34,34,0,0,30
Louisiana,LA05300,Tangipahoa County,33,28,0,0,0
Georgia,GA06001,College Park,33,31,0,0,23
South Carolina,SC02100,Florence County,31,31,0,0,23
Louisiana,LA04000,Rapides County,30,25,0,0,0
South Carolina,SC04301,Sumter,30,30,0,0,26
Alabama,AL00202,Prichard,28,25,0,0,11
Arizona,AZ00489,San Carlos Apache,27,27,0,0,16
Louisiana,LA04902,Opelousas,26,25,0,0,0
Virginia,VA10700,Danville,26,26,0,0,22
Maine,ME00102,Lewiston,25,25,0,0,0
Georgia,GA07602,Warner Robins,25,25,0,0,11
North Carolina,NC04200,Halifax County,23,20,0,0,17
North Carolina,NC09801,Wilson,22,21,0,0,19
West Virginia,WV02002,Charleston,22,21,0,0,0
North Carolina,NC07801,Lumberton,22,20,0,0,14
Arkansas,AR07001,El Dorado,22,19,0,0,10
Virginia,VA11300,Hopewell,21,20,0,0,8
Georgia,GA09201,Valdosta,21,21,0,0,19
Arkansas,AR06201,Forrest City,21,21,0,0,20
North Carolina,NC08301,Laurinburg,21,20,0,0,18
Missouri,MO09528,Ferguson,21,20,0,0,11
North Carolina,NC06200,Montgomery County,21,21,0,0,9
North Carolina,NC03606,Gastonia,20,20,0,0,14
Virginia,VA11400,Lynchburg,20,20,0,0,19
