year,group,edu,n,alloc_share,mean_all,mean_reported,mean_allocated,allocated_over_reported,ratio_to_white_mean_all,ratio_to_white_mean_reported
2023,mexico_born,all,40198,0.3459704398435232,45915.54675580388,45584.205268618956,46541.92144614784,1.0210098250454351,0.5859144946686302,0.5639847729186644
2023,mexico_born,lt_hs,16092,0.336432328237285,37828.11002928727,36704.41680987614,40044.444283747805,1.0909979714750013,0.8261763447311141,0.8045680912460529
2023,mexico_born,hs,11667,0.37474207095686857,43246.459665246344,41846.794547955185,45581.80384039263,1.0892543702040842,0.8516972030178148,0.8163249183930451
2023,mexico_born,some_col,6855,0.36441190692813813,51288.826871390644,51081.93405536185,51649.67844596869,1.0111143871332577,0.8615354148129483,0.8481901275737634
2023,mexico_born,ba,3881,0.2882464764516457,66026.16761948736,66157.53836522109,65701.77999012859,0.9931110137052486,0.7076242547466742,0.7075226571674678
2023,mexico_born,grad,1703,0.2664523469057585,89485.87747256296,96061.68130917115,71382.58235218584,0.7430911199903268,0.750656306283779,0.7912060573129109
2023,usborn_mexican,all,62359,0.3045560569789966,55987.97999925636,58688.36975590803,49821.726999110375,0.8489199343298325,0.7144457885527653,0.726114378756947
2023,usborn_mexican,lt_hs,5570,0.4815527377094815,39945.605123480615,39046.6555245212,40913.42842095471,1.047808778277084,0.8724230209608353,0.8559104281001156
2023,usborn_mexican,hs,17346,0.36467154934833784,45203.60753411174,45512.25870969083,44665.87742184252,0.9814032238380624,0.8902413376986124,0.8878288355992363
2023,usborn_mexican,some_col,21492,0.27592188325195377,51562.673311618055,52974.54688043722,47857.61468144259,0.9034077212487824,0.8661354109693816,0.8796160229168923
2023,usborn_mexican,ba,12439,0.2212023299357475,72849.44544329877,73782.38463716017,69564.80160296525,0.942837534257862,0.7807515777321598,0.7890666750998492
2023,usborn_mexican,grad,5512,0.18226895253880285,96809.52940934722,101788.87952199802,74470.18347808036,0.7316141392634772,0.8120910898121643,0.838377768818107
2023,native_nh_white,all,589275,0.1992474108047381,78365.60995435328,80825.24113677254,68480.63313165419,0.8472679099808834,1.0,1.0
2023,native_nh_white,lt_hs,18149,0.36690799334160906,45786.9682066469,45620.025463638725,46075.0243899029,1.0099736666439791,1.0,1.0
2023,native_nh_white,hs,115490,0.284249446852764,50776.80132330053,51262.42456291986,49553.98415961848,0.9666726570608374,1.0,1.0
2023,native_nh_white,some_col,166921,0.2053638049604624,59531.88457438652,60224.62699663936,56851.38202590941,0.943988943743592,1.0,1.0
2023,native_nh_white,ba,178697,0.16148534484170704,93306.81809815066,93505.89369120637,92273.11561310374,0.9868160387603615,1.0,1.0
2023,native_nh_white,grad,110018,0.13005864370085765,119210.18543835908,121411.71117346501,104484.5337674823,0.8605803571798911,1.0,1.0
