State,records,vic_unknown,vic_hisp,vic_known_n,off_present,off_known,hisp_share_known_vic,off_eth_unknown_given_offender
California,5946,0.38849646821392536,1679,3636,3845,2184,0.46177117711771176,0.4319895968790637
Texas,5717,0.051600489767360536,2163,5422,4693,4245,0.39893028402803393,0.09546132537822294
North Carolina,2508,0.19298245614035092,202,2024,1950,1483,0.09980237154150198,0.23948717948717946
Illinois,2422,0.11395540875309662,409,2146,1309,1017,0.19058713886300094,0.2230710466004584
Pennsylvania,2380,0.10336134453781509,285,2134,1551,1373,0.13355201499531397,0.11476466795615736
Georgia,2312,0.19982698961937717,117,1850,1767,1222,0.06324324324324325,0.30843237125070744
Tennessee,2044,0.015655577299412915,135,2012,1411,1345,0.06709741550695825,0.04677533664068034
Ohio,1919,0.8603439291297551,48,268,1182,317,0.1791044776119403,0.7318104906937395
Michigan,1898,0.9093782929399368,22,172,1386,139,0.12790697674418605,0.8997113997113997
New York,1881,0.06539074960127589,414,1758,1192,1076,0.2354948805460751,0.09731543624161076
Missouri,1736,0.14919354838709675,71,1477,1263,1076,0.04807041299932295,0.1480601741884402
Virginia,1671,0.09335727109515257,84,1515,1237,1038,0.055445544554455446,0.16087308003233625
Florida,1519,0.22778143515470706,245,1173,1051,668,0.20886615515771526,0.36441484300666027
Maryland,1513,0.3707865168539326,105,952,865,561,0.11029411764705882,0.35144508670520236
South Carolina,1503,0.02461743180306053,74,1466,1213,1170,0.0504774897680764,0.03544929925803797
Alabama,1396,0.16977077363896853,37,1159,997,796,0.03192407247627265,0.20160481444333
Arizona,1368,0.13011695906432752,477,1190,1123,941,0.4008403361344538,0.1620658949243099
Indiana,1238,0.13166397415185782,82,1075,772,627,0.07627906976744186,0.1878238341968912
Louisiana,1110,0.13153153153153152,33,964,727,147,0.03423236514522822,0.7977991746905089
Washington,1103,0.3155031731640979,174,755,826,437,0.2304635761589404,0.4709443099273608
Colorado,998,0.11322645290581157,360,885,872,737,0.4067796610169492,0.15481651376146788
Wisconsin,912,0.14035087719298245,97,784,689,554,0.12372448979591837,0.19593613933236576
Kentucky,873,0.025200458190148933,40,851,608,6,0.04700352526439483,0.9901315789473685
Arkansas,828,0.17874396135265702,36,680,630,509,0.052941176470588235,0.19206349206349205
Oklahoma,806,0.9863523573200993,0,11,707,8,0.0,0.9886845827439887
District of Columbia,794,0.35516372795969775,29,512,392,232,0.056640625,0.40816326530612246
New Jersey,745,0.10738255033557043,153,665,488,442,0.23007518796992482,0.09426229508196726
Nevada,679,0.26951399116347574,152,496,620,516,0.3064516129032258,0.16774193548387095
New Mexico,665,0.28872180451127816,279,473,431,323,0.5898520084566596,0.25058004640371234
Minnesota,560,0.4125,25,329,487,251,0.07598784194528875,0.4845995893223819
Oregon,559,0.6976744186046512,71,169,431,148,0.42011834319526625,0.6566125290023201
Massachusetts,426,0.15727699530516437,119,359,302,254,0.33147632311977715,0.1589403973509934
Kansas,394,0.058375634517766506,63,371,352,0,0.16981132075471697,1.0
Connecticut,370,0.11081081081081079,102,329,224,202,0.3100303951367781,0.0982142857142857
Mississippi,366,0.2568306010928961,4,272,320,221,0.014705882352941176,0.30937499999999996
West Virginia,251,0.1872509960159362,1,204,207,0,0.004901960784313725,1.0
Utah,228,0.4342105263157895,31,129,208,107,0.24031007751937986,0.48557692307692313
Iowa,208,0.21634615384615385,10,163,193,163,0.06134969325153374,0.15544041450777202
Alaska,195,0.8153846153846154,2,36,173,27,0.05555555555555555,0.8439306358381503
Delaware,163,0.042944785276073594,17,156,130,0,0.10897435897435898,1.0
Maine,144,0.1527777777777778,3,122,137,66,0.02459016393442623,0.5182481751824817
Idaho,134,0.26119402985074625,23,99,119,71,0.23232323232323232,0.40336134453781514
Nebraska,125,0.12,23,110,117,105,0.20909090909090908,0.10256410256410253
South Dakota,123,0.4390243902439024,2,69,113,75,0.028985507246376812,0.33628318584070793
Montana,119,0.10924369747899154,1,106,110,103,0.009433962264150943,0.0636363636363636
North Dakota,80,0.11250000000000004,5,71,74,33,0.07042253521126761,0.5540540540540541
New Hampshire,79,0.22784810126582278,2,61,77,38,0.03278688524590164,0.5064935064935066
Rhodes Island,69,0.02898550724637683,26,67,57,18,0.3880597014925373,0.6842105263157895
Vermont,62,0.4516129032258065,1,34,51,0,0.029411764705882353,1.0
Hawaii,60,0.25,1,45,57,47,0.022222222222222223,0.17543859649122806
Wyoming,60,0.01666666666666672,7,59,57,56,0.11864406779661017,0.01754385964912286
