flag,hisp,flag_value,nativity,gq,weighted
FHISP,01,1,2,noninst,23655
FHISP,01,0,2,hh,19660106
FHISP,01,0,2,inst,46480
FHISP,01,0,2,noninst,286353
FHISP,02,1,1,hh,87353
FHISP,02,1,1,inst,500
FHISP,02,1,1,noninst,14002
FHISP,02,0,1,hh,14575578
FHISP,02,0,1,inst,181828
FHISP,02,0,1,noninst,255767
FHISP,02,1,2,hh,39764
FHISP,02,1,2,inst,63
FHISP,02,1,2,noninst,1054
FHISP,02,0,2,hh,8958325
FHISP,02,0,2,inst,66625
FHISP,02,0,2,noninst,56698
FHISP,24,1,1,hh,15233
FHISP,24,1,1,inst,301
FHISP,24,1,1,noninst,7063
FHISP,24,0,1,hh,1321156
FHISP,24,0,1,inst,57748
FHISP,24,0,1,noninst,76676
FHISP,24,1,2,hh,3794
FHISP,24,1,2,inst,0
FHISP,24,1,2,noninst,438
FHISP,24,0,2,hh,334863
FHISP,24,0,2,inst,9460
FHISP,24,0,2,noninst,8655
FYOEP,01,1,1,hh,424072
FYOEP,01,1,1,inst,4071
FYOEP,01,1,1,noninst,11821
FYOEP,01,0,1,hh,138010959
FYOEP,01,0,1,inst,1641412
FYOEP,01,0,1,noninst,3319723
FYOEP,01,1,2,hh,3843994
FYOEP,01,1,2,inst,22435
FYOEP,01,1,2,noninst,77097
FYOEP,01,0,2,hh,15936267
FYOEP,01,0,2,inst,25326
FYOEP,01,0,2,noninst,232911
FYOEP,02,1,1,hh,164695
FYOEP,02,1,1,inst,575
FYOEP,02,1,1,noninst,816
FYOEP,02,0,1,hh,14498236
FYOEP,02,0,1,inst,181753
FYOEP,02,0,1,noninst,268953
FYOEP,02,1,2,hh,2165745
FYOEP,02,1,2,inst,22635
FYOEP,02,1,2,noninst,15493
FYOEP,02,0,2,hh,6832344
FYOEP,02,0,2,inst,44053
FYOEP,02,0,2,noninst,42259
FYOEP,24,1,1,hh,22964
FYOEP,24,1,1,inst,2019
FYOEP,24,1,1,noninst,1690
FYOEP,24,0,1,hh,1313425
FYOEP,24,0,1,inst,56030
FYOEP,24,0,1,noninst,82049
FYOEP,24,1,2,hh,149404
FYOEP,24,1,2,inst,8355
FYOEP,24,1,2,noninst,6987
FYOEP,24,0,2,hh,189253
FYOEP,24,0,2,inst,1105
FYOEP,24,0,2,noninst,2106
FRACP,01,0,1,hh,136517584
FRACP,01,0,1,inst,1634955
FRACP,01,0,1,noninst,3072842
FRACP,01,1,1,hh,1917447
FRACP,01,1,1,inst,10528
FRACP,01,1,1,noninst,258702
FRACP,01,0,2,hh,19543322
FRACP,01,0,2,inst,46212
FRACP,01,0,2,noninst,284061
FRACP,01,1,2,hh,236939
FRACP,01,1,2,inst,1549
FRACP,01,1,2,noninst,25947
FRACP,02,0,1,hh,14575578
FRACP,02,0,1,inst,181828
FRACP,02,0,1,noninst,255767
FRACP,02,1,1,hh,87353
FRACP,02,1,1,inst,500
FRACP,02,1,1,noninst,14002
FRACP,02,0,2,hh,8958325
FRACP,02,0,2,inst,66625
FRACP,02,0,2,noninst,56698
FRACP,02,1,2,hh,39764
FRACP,02,1,2,inst,63
FRACP,02,1,2,noninst,1054
FRACP,24,0,1,hh,1319145
FRACP,24,0,1,inst,57748
FRACP,24,0,1,noninst,76676
FRACP,24,1,1,hh,17244
FRACP,24,1,1,inst,301
FRACP,24,1,1,noninst,7063
FRACP,24,0,2,hh,334671
FRACP,24,0,2,inst,9460
FRACP,24,0,2,noninst,8655
FRACP,24,1,2,hh,3986
FRACP,24,1,2,inst,0
FRACP,24,1,2,noninst,438
