group,band,acs_household_m,cps_m,ratio
Mexican self-ID,0-17,11.69551,12.082808810000001,1.0331151706937107
Mexican self-ID,18-24,4.575446,4.935617,1.0787182276875302
Mexican self-ID,25-34,5.944882,6.18909667,1.0410798179005067
Mexican self-ID,35-44,5.344296,5.59272455,1.0464848036111771
Mexican self-ID,45-54,4.530776,4.822762490000001,1.064445139199113
Mexican self-ID,55-64,3.26562,3.63699329,1.1137221385219345
Mexican self-ID,65-74,1.899939,2.00854624,1.057163540513669
Mexican self-ID,75+,1.036346,1.0915656299999998,1.0532830058686962
Mexico-born FB,0-17,0.462656,0.54598299,1.1801057156937333
Mexico-born FB,18-24,0.484085,0.57990279,1.1979358790295094
Mexico-born FB,25-34,1.498698,1.6971086000000002,1.1323886466786504
Mexico-born FB,35-44,2.435073,2.59709317,1.0665360627792266
Mexico-born FB,45-54,2.640307,2.8689295,1.0865893625248884
Mexico-born FB,55-64,1.953374,2.2938636,1.1743084529639485
Mexico-born FB,65-74,1.000024,1.11234735,1.1123206543042967
Mexico-born FB,75+,0.531115,0.53598589,1.009171064647016
Other Hispanic,0-17,7.855116,7.63529658,0.97201576399381
Other Hispanic,18-24,2.813436,2.9645220099999996,1.0537015983302978
Other Hispanic,25-34,4.336514,4.309958559999999,0.9938763163222808
Other Hispanic,35-44,4.243889,4.10968056,0.9683760720414695
Other Hispanic,45-54,3.499815,3.46107859,0.9889318692559464
Other Hispanic,55-64,2.809594,2.63488515,0.9378170475876586
Other Hispanic,65-74,1.785442,1.7175931599999998,0.9619988551854386
Other Hispanic,75+,1.127779,1.33330447,1.182239135504385
Not Hispanic,0-17,53.174461,53.259799799999996,1.0016048832163995
Not Hispanic,18-24,20.498503,22.76994379,1.1108100815947388
Not Hispanic,25-34,34.944112,35.3055063,1.0103420656389839
Not Hispanic,35-44,35.663609,35.82171294,1.0044332008014107
Not Hispanic,45-54,32.16142,32.17730832,1.0004940179880117
Not Hispanic,55-64,34.947648,34.49172432,0.9869540954515738
Not Hispanic,65-74,31.298803,31.5980663,1.009561493453919
Not Hispanic,75+,22.269473,23.739146039999998,1.0659949627007337
