YEAR,grp,inst,n,qbpl,qcitizen,qyrimm,qeduc
1980,mexico_born,False,31438,0.008651949869584579,,0.07169667281633692,0.1341370316177874
1990,mexico_born,False,71571,0.024608480038337592,,0.06648031833123787,0.08071489916190364
2000,mexico_born,False,147687,0.08129202651429387,,0.16517763467139993,0.136978931813007
1980,mexico_born,True,184,0.0,0.10869565217391304,0.1956521739130435,0.11413043478260869
1990,mexico_born,True,619,0.0,0.07965548601080619,0.0939924035735302,0.08168833253089391
2000,mexico_born,True,1170,0.07858928075534574,0.2797371100620198,0.4113209293714709,0.3283347218365269
1980,native_nh_white,False,1505769,0.03491505005083781,,0.0,0.0801882626086737
1990,native_nh_white,False,1577629,0.042264392185200415,,0.0,0.03640630968891636
2000,native_nh_white,False,1366851,0.08459104217123603,,0.0,0.052341342555228175
1980,native_nh_white,True,13906,0.20674528980296275,0.0,0.0,0.2583776786998418
1990,native_nh_white,True,13670,0.2330512415139961,0.17129069923638882,0.0,0.19398979096272875
2000,native_nh_white,True,22407,0.5138931162305058,0.0,0.0,0.508605971671548
1980,usborn_mexican_hispan,False,51440,0.05913685847589425,,0.0,0.12964618973561431
1990,usborn_mexican_hispan,False,66479,0.06854972675927118,,0.0,0.05720789195704628
2000,usborn_mexican_hispan,False,78557,0.11043927248472432,,0.0,0.08439617899639101
1980,usborn_mexican_hispan,True,1166,0.20840480274442538,0.0,0.0,0.2890222984562607
1990,usborn_mexican_hispan,True,1559,0.2881166351679716,0.21780383384116944,0.0,0.21521965518571373
2000,usborn_mexican_hispan,True,4158,0.7618407344416445,0.0,0.0,0.7466585932699927
