group,item,pop_m,n,any_change_pct,longitudinal_pct,hotdeck_pct,blank_kept_pct
mexico_born,nativity,12.220782219999998,5631,3.8698860800090427,0.0,0.5558293141729844,0.0
mexico_born,father_birthplace,12.220782219999998,5631,4.101085274065214,0.0,0.0,0.0
mexico_born,mother_birthplace,12.220782219999998,5631,4.07119676174051,0.0,0.0,0.0
mexico_born,citizenship,12.220782219999998,5631,11.43147251011237,4.503867674683104,4.567658763172037,0.0
mexico_born,year_of_entry,12.220782219999998,5631,23.448545914763876,0.0,20.23632829290366,0.0
mexico_born,hispanic_origin,12.220782219999998,5631,0.4102740650917189,0.018796341826963676,0.16702073265486933,0.0
mexico_born,race,12.220782219999998,5631,36.305632815703675,16.49709882482465,16.178543029465754,0.0
mexico_born,age,12.220782219999998,5631,4.974007220300503,0.0,4.974007220300503,0.0
mexico_born,whole_asec_imputed_FL665,12.220782219999998,5631,18.25800738309859,,18.25800738309859,
mexican_second_gen,nativity,14.333218389999999,6349,2.257545243472705,0.0,0.0,0.0
mexican_second_gen,father_birthplace,14.333218389999999,6349,3.261083779523714,0.0,3.261083779523714,0.0
mexican_second_gen,mother_birthplace,14.333218389999999,6349,2.9149391199641106,0.0,2.8373667304458063,0.0
mexican_second_gen,citizenship,14.333218389999999,6349,0.14987282978250918,0.05710887657799792,0.0,0.0
mexican_second_gen,year_of_entry,14.333218389999999,6349,0.43516060596352923,0.0,0.28022945654705816,0.0
mexican_second_gen,hispanic_origin,14.333218389999999,6349,0.42800924628903253,0.04493254637418527,0.11888579059039929,0.0
mexican_second_gen,race,14.333218389999999,6349,32.45045281138705,14.923777352701038,13.360939098898362,0.0
mexican_second_gen,age,14.333218389999999,6349,3.1017292690535783,0.0,3.1017292690535783,0.0
mexican_second_gen,whole_asec_imputed_FL665,14.333218389999999,6349,16.503215507065196,,16.503215507065196,
mexican_third_plus_selfid,nativity,14.34257476,6351,2.5000062819961903,0.0,0.0,0.0
mexican_third_plus_selfid,father_birthplace,14.34257476,6351,3.973535432350781,0.0,0.10493617953433627,0.0
mexican_third_plus_selfid,mother_birthplace,14.34257476,6351,3.266437008971185,0.0,3.161500829436848,0.0
mexican_third_plus_selfid,citizenship,14.34257476,6351,0.10493617953433627,0.05972811816112157,0.0,0.0
mexican_third_plus_selfid,year_of_entry,14.34257476,6351,0.14051556528194803,0.0,0.13051547796150376,0.0
mexican_third_plus_selfid,hispanic_origin,14.34257476,6351,0.8098805266398348,0.4884741489749085,0.13284344212126667,0.0
mexican_third_plus_selfid,race,14.34257476,6351,18.18988601179165,6.7424133126847305,6.403048792614415,0.0
mexican_third_plus_selfid,age,14.34257476,6351,4.549603407470752,0.0,4.549603407470752,0.0
mexican_third_plus_selfid,whole_asec_imputed_FL665,14.34257476,6351,18.424386305935492,,18.424386305935492,
third_plus_nh_white,nativity,173.05389703,73873,1.8565461484193193,0.0,0.010673576450461514,0.0
third_plus_nh_white,father_birthplace,173.05389703,73873,2.377739831704962,0.0,0.013408828346684009,0.0
third_plus_nh_white,mother_birthplace,173.05389703,73873,2.2964435867694255,0.0,2.280393633271305,0.0
third_plus_nh_white,citizenship,173.05389703,73873,0.01573742658639971,0.014253790537709685,0.0014836360486900268,0.0
third_plus_nh_white,year_of_entry,173.05389703,73873,0.04175845863064987,0.0,0.024887893736674205,0.0
third_plus_nh_white,hispanic_origin,173.05389703,73873,0.6786373726079158,0.33445685415547916,0.08111043577115565,0.0
third_plus_nh_white,race,173.05389703,73873,1.0224352877145952,0.46565931991713677,0.24283366466295173,0.0
third_plus_nh_white,age,173.05389703,73873,3.7116818056322045,0.0,3.7116818056322045,0.0
third_plus_nh_white,whole_asec_imputed_FL665,173.05389703,73873,17.46525209123746,,17.46525209123746,
all_native,nativity,283.67218681,119938,2.2477966034332493,0.0,0.010378137642277371,0.0
all_native,father_birthplace,283.67218681,119938,3.0318895048250147,0.0,0.6448313810987679,0.0
all_native,mother_birthplace,283.67218681,119938,2.8417638403864216,0.0,2.6864157659221592,0.0
all_native,citizenship,283.67218681,119938,0.22743238145942077,0.04580004175277856,0.0032174144750091722,0.0
all_native,year_of_entry,283.67218681,119938,0.363147872050629,0.0,0.25943240973882353,0.0
all_native,hispanic_origin,283.67218681,119938,0.7670757589842405,0.2914351806205544,0.1063697443845993,0.0
all_native,race,283.67218681,119938,5.188045453274306,2.1368150569022646,1.7708928945384046,0.0
all_native,age,283.67218681,119938,4.026500239041887,0.0,4.026500239041887,0.0
all_native,whole_asec_imputed_FL665,283.67218681,119938,17.586105501211367,,17.586105501211367,
union,nativity,40.89657537000001,18331,2.824379546575222,0.0,0.1660938339835373,0.0
union,father_birthplace,40.89657537000001,18331,3.761953748158057,0.0,1.1797291231233966,0.0
union,mother_birthplace,40.89657537000001,18331,3.383725501414765,0.0,2.103175100159982,0.0
union,citizenship,40.89657537000001,18331,3.505299641914735,1.3868152647716425,1.364915338142163,0.0
union,year_of_entry,40.89657537000001,18331,7.208725359832005,0.0,6.191038655665314,0.0
union,hispanic_origin,40.89657537000001,18331,0.5566332093591141,0.19267410360673437,0.13816455164959696,0.0
union,race,40.89657537000001,18331,28.601232460604436,12.524686342703905,11.762743228443577,0.0
union,age,40.89657537000001,18331,4.168981081116866,0.0,4.168981081116866,0.0
union,whole_asec_imputed_FL665,40.89657537000001,18331,17.701346761935483,,17.701346761935483,
