item,table_cell,pums,published,difference
total population,B01003_001E,340110990.0,340110990.0,0.0
"employed, civilian plus armed forces",B23025_004E+006E,168650666.0,168565238.0,0.000506794882584316
adults 25+,B15003_001E,235934112.0,235910719.0,9.916039465762694e-05
adults 25+ with a BA or more,B15003_022E..025E,87113659.0,86932697.0,0.0020816333352684513
"aggregate earnings, population 16+ with earnings ($)",B20003_001E,12199428980971.373,12185643950900.0,0.0011312516701553754
