cz,group_persons,other_persons,group_workers,other_workers,group_earnings,other_earnings,mexborn_persons,s_persons,s_workers,s_ba_workers,E_lths,E_hs,E_sc,E_ba,E_grad,E_hsless,E_more,E_baplus,E_nonba,dSC,dBA,dYRS,dCOLLY,dHSY,dIPCOLL,dIPHS,ba25_with,dBA25,lnpop_with,group_ft_lc,group_ft_ba,E_all
100,10278.114619275351,621951.2161807247,6087.400790705522,280734.3597092945,302790638.66562873,14836379323.902578,4419.9948715736455,0.0162569405096562,0.021223636519396936,0.01217205903967544,610943014.4370096,3962469035.816178,4396411424.807392,3267268136.308773,2599287712.533227,4573412050.253187,10262967273.649391,5866555848.842,8969823475.06058,0.0018841200155247373,0.002467728621733556,0.029213826943941257,0.013042643243522445,0.016171183700418368,0.035652083429818404,-0.006438256485877147,0.24990590513462244,0.0012477368171271708,13.357007472499216,3050.9699719319533,633.4563490218383,14836379323.902578
200,10932.162016990367,278250.83798300964,5189.146733491727,132878.85326650826,150424171.20663103,6599820699.920869,4441.320470280147,0.0378036123042861,0.03758399291285256,0.006601925621394749,367516798.8352707,2184537409.354724,2154660120.738588,1005315018.5172863,887791352.475,2552054208.189995,4047766491.730874,1893106370.9922862,4706714328.928583,0.010036695193390455,0.006520326526809367,0.08436954866992608,0.04339141958473958,0.04097812908518783,0.16383176190542503,-0.07946221323549896,0.19258979718222638,0.003231671721771523,12.574814984689729,1384.6713750172808,75.71611264139439,6599820699.920869
301,687.3840611832978,63283.21843881671,275.1209259660459,24265.225574033953,13586445.248150073,1150937761.6730168,316.77049255743646,0.010745311663795847,0.011210963380897897,0.005422914145622644,65220078.131871894,391121186.1116878,392767559.44211185,166180049.96658033,135648888.02076498,456341264.24355966,694596497.4294571,301828937.98734534,849108823.6856716,0.004866517364678691,0.0011195800777718534,0.03858676447035769,0.01208639068761852,0.026500373782738507,0.07048459906376348,-0.03189783459340578,0.14837196817586318,0.0010416117706296135,11.066178920877242,196.63671522304392,0.0,1150937761.6730168
302,24605.299586833145,906632.4232131669,11757.12692227468,455653.8061777253,536548292.7792199,29310762945.737617,8752.759387907887,0.026422146552280052,0.025153726816568293,0.011874783440917793,777223866.1713896,6210612345.332851,7141112088.5952835,8160273419.645654,7021541225.992439,6987836211.504241,22322926734.233376,15181814645.638092,14128948300.099525,0.007318996102528508,0.005040174405556153,0.05937310456861944,0.03201560089177491,0.027357503676842754,0.11984355412211833,-0.060470449553498895,0.3475005824417042,0.003081554000506692,13.744269865018532,4789.2858975251365,762.3471615263682,29310762945.737617
401,50010.56452456563,547349.3519231796,21417.497263277815,263241.6125673691,783778111.1023821,16770009237.260843,25734.3942522822,0.08371931752963603,0.07523910714123917,0.021209733990439083,493191844.2074497,2498225642.7871604,4025053908.571367,4224420516.8144693,5529117324.880397,2991417486.99461,13778591750.266232,9753537841.694866,7016471395.565977,0.032053043050816576,0.022023648205050372,0.26970742697758077,0.132591350403652,0.13711607657392832,0.5172278670134514,-0.2475204400358706,0.3408724768624888,0.015508999645493238,13.300275085840392,10547.68410649227,1821.9687816632572,16770009237.260843
402,2788.770467331321,76803.51013266867,1134.7188997760434,33929.55650022395,54561114.274111964,1790997101.9660375,768.4285137406014,0.035038202779319794,0.03236111075536566,0.0,124991961.77168536,652647063.1850691,499359324.0023968,299559212.6594235,214439540.3474625,777639024.9567544,1013358077.0092828,513998753.006886,1276998348.9591513,0.007501249844428015,0.006816812588533394,0.07935984396865514,0.03619629127203017,0.04316355269662431,0.12621128940516613,-0.046851445436510986,0.16916851781213305,0.0028884296788411756,11.284672389742928,676.0516409763305,0.0,1790997101.9660375
500,84608.3308404382,1201156.9714595617,40107.8207923296,585861.9955076703,1602109711.6068115,35052395519.17799,33144.90961255792,0.06580386847357703,0.0640730906633806,0.022456605433439487,1499516306.3911657,7099308422.180786,9440640460.567379,9514967585.853397,7497962744.185267,8598824728.571953,26453570790.606045,17012930330.038666,18039465189.13933,0.020627312864900937,0.013707418395248194,0.18496598565396205,0.08291157065116939,0.10205441500279377,0.33043932502997997,-0.14547333937601792,0.2946656763412804,0.009618992931781756,14.066864665024633,20799.860351872703,1961.3672957785514,35052395519.17799
601,4585.8491221180175,88973.7593306367,2617.737546871117,39654.20638353584,74717254.11926031,1990815737.0969763,1871.5521686076424,0.04901526628805589,0.06192612176011456,0.03048673377886613,147210034.13541743,432903783.21374506,627288404.7470973,444709573.81903934,338703941.1816772,580113817.3491625,1410701919.7478137,783413515.0007166,1207402222.0962596,0.01886040608323425,0.008838985026183799,0.09091967032020065,0.05984335821786657,0.031076312102335635,0.28616823121667956,-0.1952485608964789,0.24430699282306967,0.005110116811769927,11.446354035703838,967.3216858670787,114.29086418405124,1990815737.0969763
602,1398.0078748204867,60511.80752467956,850.5576052611132,25857.211333684987,31445726.555911317,1319276230.3967814,631.9078302163042,0.02258136073899158,0.03184682356678635,0.02550203655951894,55002590.88100952,423708857.9824639,418502657.5622995,238294780.30020243,183767343.6708062,478711448.8634734,840564781.533308,422062123.97100866,897214106.4257729,0.010695839812828178,0.0015314431952674346,0.057575207130661,0.022902068003894716,0.03467313912676673,0.15125214575783197,-0.09367693862717097,0.21903933236530368,0.0006416720949521393,11.033434014753059,355.08884393137686,35.18567196521661,1319276230.3967814
700,22267.384925034425,453774.4484304111,12526.003458724499,212423.79325045642,554034920.5453173,12292934184.432768,7047.023863392982,0.04677610950298157,0.055683550916555566,0.048011687935468755,623611384.4877588,3146689411.0253415,3858742079.018562,2697084538.979108,1966806770.9219964,3770300795.5131,8522633388.919665,4663891309.901104,7629042874.531662,0.008924623003307097,0.0021815655729787164,0.04264776080078825,0.025282530613666365,0.017365230187120773,0.13237800665335087,-0.08973024585256262,0.24914549996101873,0.00016798353358901674,13.073261014552395,4658.9795088181,2330.944244479068,12292934184.432768
