year,cell,workers,income,worker_share,income_share
1980,lths,16631140.0,201002414200.0,0.2221776620817221,0.1712800031609558
1980,hs,27844700.0,390980384500.0,0.37198113583115333,0.3331657570361248
1980,sc,13925820.0,221312753000.0,0.18603692411770253,0.18858703356509152
1980,ba,16453480.0,360235569800.0,0.219804277969422,0.3069672062378279
1990,lths,13820267.0,250250149887.0,0.14513984820618542,0.09461028962281452
1990,hs,28235232.0,616352055508.0,0.29652518916938647,0.2330198263919529
1990,sc,27956368.0,734474720510.0,0.293596571463942,0.2776776200112744
1990,ba,25208482.0,1043985792798.0,0.2647383911604861,0.3946922639739582
2000,lths,12152267.0,296808205564.0,0.11259298665801497,0.06626040310987145
2000,hs,28686935.0,869208551752.0,0.26578972381978955,0.1940448678505831
2000,sc,33869709.0,1242584008298.0,0.31380907723207935,0.2773983863796914
2000,ba,33222030.0,2070819697190.0,0.3078082122901161,0.46229634265985403
