STATE,PUMA,label,persons,adults25,adults25_yrs,adults25_ba,workers,workers_yrs,workers_collyrs,workers_hsyrs,earnings,wages,earners,ft3065_lc,ft3065_ba,workers_lths,earnings_lths,workers_hs,earnings_hs,workers_sc,earnings_sc,workers_ba,earnings_ba,workers_grad,earnings_grad
01,00100,group_other,4092.0,810.0,10563.5,266.0,1755.0,22785.5,2601.5,20184.0,34807541.675,34807541.675,1755.0,138.0,0.0,73.0,2075171.0,65.0,1583790.0,1351.0,28448015.675,266.0,2700565.0,0.0,0.0
01,00100,mexborn,4888.0,4699.0,50650.0,985.0,4151.0,43936.0,6735.0,37201.0,159995481.05,86255843.05,4151.0,2206.0,220.0,1967.0,76183547.8,567.0,29042241.5,632.0,25126422.25,220.0,6678314.5,765.0,22964955.0
01,00100,other,179199.0,126239.0,1683616.0,34867.0,85047.0,1156885.0,164794.5,992090.5,4992997074.56775,4457483805.8125,91876.0,33304.0,15255.0,7457.0,182552204.025,21920.0,1108768688.75275,30663.0,1761513299.3825,16576.0,1085073108.075,8431.0,855089774.3325
01,00200,group_other,4708.0,620.0,6233.0,337.0,1970.0,25583.0,3124.0,22459.0,31320360.975,27239055.975,2618.0,0.0,0.0,787.0,2794983.25,402.0,5397069.0,0.0,0.0,781.0,23128308.725,0.0,0.0
01,00200,mexborn,1083.0,1083.0,13895.5,211.0,892.0,11603.5,1244.5,10359.0,59569793.75,42879083.75,892.0,414.0,0.0,115.0,5604180.0,299.0,30619940.0,267.0,4066076.25,211.0,19279597.5,0.0,0.0
01,00200,other,113208.0,79348.0,1078616.0,25830.0,55210.0,771721.0,122330.5,649390.5,3591882336.03,3438654389.65,60222.0,22301.0,13990.0,4004.0,101135956.2,15219.0,653959277.05,16158.0,902571179.23,12011.0,1064602723.85,7818.0,869613199.7
01,00300,group_other,6748.0,2949.0,31059.0,622.0,2970.0,32364.5,3740.5,28624.0,108105444.4,108105444.4,2970.0,745.0,433.0,638.0,27905161.5,1076.0,28375425.3,634.0,12919462.35,419.0,22417735.25,203.0,16487660.0
01,00300,mexborn,3097.0,2415.0,27739.5,0.0,1783.0,21103.5,871.5,20232.0,57515943.0,48148840.4,2070.0,636.0,0.0,393.0,8250936.75,901.0,23156431.15,489.0,26108575.1,0.0,0.0,0.0,0.0
01,00300,other,149786.0,106408.0,1390592.5,25812.0,66096.0,884474.0,115110.5,769363.5,4146588509.0725,3803812098.325,71974.0,30945.0,12488.0,7359.0,319467986.52,20920.0,1000707091.985,19715.0,1063179922.0425,11174.0,1004570280.675,6928.0,758663227.85
01,00401,group_other,1036.0,454.0,6232.0,94.0,329.0,4982.0,1034.0,3948.0,33640308.75,34833227.5,329.0,235.0,94.0,0.0,0.0,0.0,0.0,235.0,15507943.75,0.0,0.0,94.0,18132365.0
01,00401,mexborn,470.0,470.0,7370.0,361.0,470.0,7370.0,2166.0,5204.0,54570702.75,47930967.75,470.0,109.0,361.0,109.0,6639735.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,47930967.75
01,00401,other,126404.0,87897.0,1271131.5,38107.0,60226.0,882721.0,163473.5,719247.5,4187586019.845,4046476940.1225,63812.0,21165.0,21156.0,2419.0,77995769.05,10536.0,386650652.7,19986.0,1057222952.82,16543.0,1440425126.15,10742.0,1225291519.125
01,00402,group_other,4709.0,2310.0,30447.0,581.0,1643.0,22443.0,3788.0,18655.0,106798005.45,106798005.45,1643.0,505.0,581.0,301.0,29137675.0,413.0,10311691.2,348.0,19151676.0,146.0,16749594.5,435.0,31447368.75
01,00402,mexborn,1253.0,1253.0,14630.0,0.0,1027.0,11918.0,320.0,11598.0,57904682.224999994,51407082.224999994,1027.0,515.0,0.0,121.0,4643550.449999999,746.0,37504451.775,160.0,15756680.0,0.0,0.0,0.0,0.0
01,00402,other,157254.0,109989.0,1618051.5,54772.0,91975.0,1352754.0,259709.0,1093045.0,6720479690.4075,6413961806.4825,98347.0,20741.0,30829.0,4023.0,73127949.875,15755.0,546200235.95,26361.0,1488476329.9575,29109.0,2744763502.65,16727.0,1867911671.975
01,00403,group_other,5696.0,1385.0,16003.0,311.0,2354.0,30540.5,2416.5,28124.0,70739168.15,70739168.15,2354.0,454.0,248.0,171.0,1761458.75,1118.0,27663125.9,817.0,25162971.25,111.0,12396202.5,137.0,3755409.75
01,00403,mexborn,1672.0,1386.0,10336.0,88.0,980.0,7852.0,352.0,7500.0,49013833.4,38475538.4,980.0,606.0,88.0,892.0,37399373.4,0.0,0.0,0.0,0.0,88.0,11614460.0,0.0,0.0
01,00403,other,109510.0,75496.0,1088061.0,36832.0,54305.0,785719.5,153030.5,632689.0,3951255282.1875,3717302016.37,60064.0,13450.0,17336.0,3919.0,83764764.735,9175.0,399463777.765,14450.0,695882746.585,16392.0,1445409699.075,10369.0,1326734294.0275
01,00501,group_other,9867.0,1339.0,16265.0,274.0,2656.0,33548.0,3776.0,29772.0,99925625.9125,99925625.9125,2830.0,733.0,274.0,187.0,6243939.7875,1219.0,39158192.5,642.0,20477084.875,401.0,26547772.25,207.0,7498636.5
01,00501,mexborn,3890.0,3759.0,36260.0,141.0,2551.0,26400.0,2431.5,23968.5,163428853.5,155072533.8,2656.0,1594.0,41.0,953.0,61962636.475,464.0,25019516.425,1076.0,62349954.35,41.0,13320080.0,17.0,776666.25
