geography,spec,gain_bn,gain_low_bn,gain_high_bn,sd_bn,induced_receipts_bn,private_bn,note,per_group_member,per_other_resident
CZ 1990,"CRY joint: scale by education + college gradient net of CES (sigma 2, CRY weights) [central]",13.927466764218613,-56.56867989186499,84.42361342030222,35.96808240155615,5.959734945102332,7.967731819116281,one regression on the CRY public file; covariance from the fit,340.5533863110052,46.54677722552851
CZ 1990,"CRY joint: scale by education + college gradient net of CES (sigma 1.5, CRY weights)",42.39259903794037,-27.679879577434082,112.46507765331482,35.75192126762249,17.909151028862077,24.48344800907829,one regression on the CRY public file; covariance from the fit,1036.5806934815705,141.6796677267728
CZ 1990,"CRY joint: scale by education + college gradient net of CES (sigma 2.5, CRY weights)",-3.2340878541280937,-73.98607038171114,67.51789467345496,36.0986133049296,-1.244577058224231,-1.9895107959038627,one regression on the CRY public file; covariance from the fit,-79.07967679953077,-10.808596381693366
CZ 1990,"CRY joint: scale by education + college gradient net of CES (no CES term, CRY weights)",-72.5055181837675,-144.29325682243822,-0.717779545096756,36.627070006730094,-30.32458721442421,-42.180930969343294,one regression on the CRY public file; covariance from the fit,-1772.8995632682459,-242.3196019531609
CZ 1990,"CRY joint central, weight m's SE included (independence)",13.927466764218613,-211.90832002948054,239.76325355791778,115.22445656843654,5.959734945102332,7.967731819116281,m = 0.609 (0.156) from CRY Tables 3 and 10,340.5533863110052,46.54677722552851
CZ 1990,"Ciccone-Peri joint, Table 4 col 2: scale + average schooling",116.1084498721484,3.4395756462391356,228.77732409805765,57.485175353174476,48.71540122265143,67.39304864949696,Ciccone-Peri 2006; covariance not reported (independence),2839.0752211211725,388.044304229474
CZ 1990,"Ciccone-Peri joint, Table 4 col 1: scale + average schooling",168.1501881769039,-47.93527819678146,384.23565455058923,110.24971192005842,70.53401988652813,97.61616829037578,Ciccone-Peri 2006; covariance not reported (independence),4111.595953658707,561.972215192011
CZ 1990,"Ciccone-Peri joint, Table 4 col 4: scale + average schooling",169.1129609728369,32.369626198600955,305.85629574707286,69.7682889962448,70.95760449902828,98.15535647380864,Ciccone-Peri 2006; covariance not reported (independence),4135.137602793743,565.1898836747121
CZ 1990,"Glaeser-Resseger joint, Table 1 col 3, BA term net of CES sigma 2",11.83261917086003,-65.07613884138694,88.74137718310699,39.23988298369101,4.914433635686108,6.918185535173921,Glaeser-Resseger 2010; covariance not reported (independence),289.3303280333465,39.545618586973525
CBSA 2023,"CRY joint: scale by education + college gradient net of CES (sigma 2, CRY weights) [central]",13.959223789166561,-54.910546986951815,82.82899456528494,35.138283548125564,5.971154250024939,7.988069539141622,one regression on the CRY public file; covariance from the fit,341.32990673415725,46.6529119010314
