channel,geography,spec,unit,parameters,gain_bn,gain_low_bn,gain_high_bn,sd_bn,induced_receipts_bn,private_bn,source,population,per_group_member,per_other_resident
scale,CZ 1990,"CRY place effect by education, conditional on college share [central]",log CZ workers; 0.020/0.043 x (conditional/pooled 0.0254/0.034),0.02541 (0.00215),38.64683303419723,32.261554161641875,45.032111906752576,3.2578551812968755,16.336715634323653,22.310117399873572,"Card-Rothstein-Yi 2023 Table 10, scaled by this lane's joint regression on the public CZ file","US, 691 CZs, LEHD 2010-2018 [INFERENCE: equal proportional conditioning by education]",944.9895004456174,129.16099949608454
scale,CZ 1990,"CRY place effect, pooled, conditional on college share",log CZ workers,0.02541 (0.00215),33.32614283023552,27.815109745824433,38.83717591464661,2.8118032190443745,13.981674919368736,19.344467910866783,this lane's WLS of CRY psi_acspredict on log size and share with some college (HC1),"US, 691 CZs, LEHD 2010-2018",814.8883774527304,111.3788007802255
scale,CZ 1990,"CRY place effect by education, unconditional",log CZ workers,0.02 (0.002); 0.043 (0.003),51.623396858248185,45.113626831905286,58.13316688459108,3.3213722427263455,21.821994996668458,29.801401861579727,"Card-Rothstein-Yi 2023 Table 10 cols 1, 3","US, 691 CZs, LEHD 2010-2018",1262.2914784560728,172.52977830536142
scale,CZ 1990,"CRY place effect, pooled, unconditional",log CZ workers,0.034 (0.003),44.52931068199135,36.87072241225095,52.18789895173175,3.9075147654448776,18.681852874675645,25.847457807315703,Card-Rothstein-Yi 2023 Table 3 col 2,"US, 691 CZs, LEHD 2010-2018",1088.8274084276925,148.82073957957743
scale,CZ 1990,CRY raw earnings gradient (sorting not removed),log CZ workers,0.075 (0.008),97.58215801931489,77.42573565442622,117.73858038420357,10.284077852903762,40.93959437384147,56.642563645473416,Card-Rothstein-Yi 2023 Table 3 col 2 row 1,"US, 691 CZs, LEHD 2010-2018",2386.071704180279,326.1278628343726
scale,CZ 1990,A&P recommended density elasticity (+-1.96 SD of estimates),log density = log persons at fixed area,0.04 (0.04),53.38413376914122,-50.56985011055379,157.33811764883623,53.03872105798627,22.39895094923148,30.985182819909742,"Ahlfeldt-Pietrostefani 2019 Table 6; SD 0.04 across 47 estimates (a spread, not an SE)","347 estimates, mostly high-income countries; area-based, includes sorting",1305.3448870592736,178.41431065654677
scale,CZ 1990,"A&P net of sorting (half), fixed area",log persons at fixed area,0.02,26.779434390053183,,,,11.236145557684242,15.543288832368942,"A&P 2019: 'net of selection effects, elasticity estimates about halve'; Combes-Gobillon 2015 ~0.02","worker fixed-effect studies, France, Spain, Italy, UK, Netherlands",654.808747306148,89.499144954477
scale,CZ 1990,A&P density with area scaling (0.04 x 0.43),"log persons, density elasticity to size 0.43",0.0172,23.04087978766084,,,,9.66752003147652,13.373359756184323,A&P 0.04 x their city-size elasticity of density 0.43,[INFERENCE: area shrinks with population],563.3938869221868,77.00457783979513
scale,CZ 1990,A&P net of sorting with area scaling (0.02 x 0.43),log persons,0.0086,11.536703089863895,,,,4.840585989124485,6.696117100739411,0.02 x 0.43,[INFERENCE],282.0946099265893,38.556641902788186
scale,CZ 1990,De la Roca-Puga static plus seven years' learning,log persons,0.049,65.29978601061454,,,,27.398514565006693,37.90127144560785,"Combes-Gobillon 2015 p. 53, De la Roca-Puga","Spain, worker panel",1596.7055335885725,218.23743282013035
