outcome_ratio,spec,mexborn_mean_years_25plus,mexborn_adults25,mexborn_persons,effect_per_1000,se,ratio_to_average_migrant,ratio_low,ratio_high,structural_share_of_E_average_migrant,gain_bn,gain_low_bn,gain_high_bn
patents,linear in migrants' years (Table 9 col 2),9.714265069860431,10787569.134813843,12023326.62319893,-0.016947708582798815,0.17734172111770502,-0.06594439137275804,-1.4184089403561884,1.2865201576106722,0.0326635622859225,-24.087769897959493,-518.1078703627659,469.9323305668469
patents,bottom tercile of migrant schooling (Table 9 col 5),9.714265069860431,10787569.134813843,12023326.62319893,2.023,3.628,8.464435146443515,-21.28765435983264,38.21652465271967,0.0326635622859225,3091.837863378328,-7775.826104580163,13959.50183133682
wages,linear in migrants' years (Table 9 col 2),9.714265069860431,10787569.134813843,12023326.62319893,0.0370187489022257,0.07110449565870432,0.13761616692277212,-0.38045911831595186,0.6556914521614962,0.0326635622859225,50.267604174815496,-138.9718140815393,239.50702243117033
wages,bottom tercile of migrant schooling (Table 9 col 5),9.714265069860431,10787569.134813843,12023326.62319893,-0.184,0.242,-0.7666666666666667,-2.7429637,1.2096303666666668,0.0326635622859225,-280.04338004598236,-1001.9332511627399,441.8464910707752
