area,group_persons,other_persons,group_workers,other_workers,group_earnings,other_earnings,mexborn_persons,s_persons,s_workers,s_ba_workers,E_lths,E_hs,E_sc,E_ba,E_grad,E_hsless,E_more,E_baplus,E_nonba,dSC,dBA,dYRS,dCOLLY,dHSY,dIPCOLL,dIPHS,ba25_with,dBA25,lnpop_with,group_ft_lc,group_ft_ba,land_sqmi,f05,f525,E_all,name
10100,781.843541928016,40801.40145807198,353.3681349044101,20337.92886509559,17081502.366200224,1204531959.2210274,125.06849718526875,0.018801888643563438,0.01707810462072098,0.014573505113735107,39010800.17192047,304728842.8464856,450850536.78300244,272844996.29883146,137096783.12078735,343739643.0184061,860792316.2026212,409941779.41961884,794590179.8014085,0.004553983938072159,0.0006877946411592006,0.011203646655003396,0.008365928111166543,0.0028377185438372976,0.06301373536803112,-0.051810088713027724,0.26959501419446413,0.0006518952248245613,10.635452600694903,123.41415198440541,64.18859379349772,2839.011,0.027664498777829616,0.6639479706679108,1204531959.2210274,"Aberdeen, SD"
10140,8030.987142776914,71041.81005722308,2937.6651656336007,27136.0250343664,216522870.00485033,1778424957.1051946,2733.4216778283553,0.10156447510594599,0.09768223141547161,0.043422735825886453,53701260.661424346,426302996.6186314,790760541.5817182,345622179.92696816,162037978.31645244,480004257.28005576,1298420699.8251388,507660158.2434206,1270764798.861774,0.0347738032156395,0.011909640565571172,0.18138901154784115,0.09395447966900483,0.08743453187883787,0.5112401182566781,-0.329851106708837,0.20283706023745357,0.006673670542559851,11.27812419068814,1136.1044009166787,213.67864892668362,1901.463,0.04130494063767995,0.95869505936232,1778424957.1051946,"Aberdeen, WA"
10180,45308.7441210511,137447.57001036205,21172.83857823125,66887.90779640622,899534540.0969894,3882504688.7898207,2812.739371527281,0.2479188986514102,0.2404344665460305,0.11309118401926668,200428082.74305406,899845251.137603,1187656866.730349,926292466.0449743,668282022.1338404,1100273333.8806572,2782231354.909164,1594574488.178815,2287930200.6110063,0.06114644047155282,0.043460786240109905,0.2695960510258164,0.25112442877520413,0.018471622250610054,0.984881714433838,-0.7152856634080216,0.2716474392394412,0.04896234259642923,12.115908927665853,10011.08255575303,953.8950981194403,2743.514,0.028627452362096503,0.6870588566903161,3882504688.7898207,"Abilene, TX"
10220,2669.66591052534,37165.77368947466,1364.339628079724,15943.957971920277,49928111.46605833,796351912.2504272,790.7176777709918,0.06701735784347514,0.07882575511526471,0.020955680441535948,40570302.50683735,228020780.1117829,205391798.69652018,154715651.0541991,167653379.88108775,268591082.6186203,527760829.6318071,322369030.9352869,473982881.3151405,0.027207390139345256,0.016788361980643318,0.14457763709705063,0.10085090373230576,0.04372673336474442,0.42733958540445016,-0.28276194830739954,0.2481352944416901,0.009674506584542858,10.592512237275102,506.65862028868276,42.501839601766385,720.353,0.1090296234481495,0.8909703765518505,796351912.2504272,"Ada, OK"
10300,5123.993226005212,93384.48887399478,2720.7672335505285,44338.026866449465,112524764.66535862,2415328799.3362393,1193.443590695793,0.05201575658026723,0.05781633986984229,0.03968553121637887,165458188.08578697,572543360.9562868,829175686.9833218,537020113.9046012,311131449.40624225,738001549.0420737,1677327250.2941651,848151563.3108435,1567177236.0253954,0.016416263534860476,0.004640774722577151,0.06369579161743921,0.04344816405215579,0.02024762756528453,0.2404433264704835,-0.17674753485304429,0.24017827341801967,0.0019954800321870247,11.497897936143051,1230.3835113601867,450.38287886972194,749.638,0.1047703242628373,0.8952296757371627,2415328799.3362393,"Adrian, MI"
10420,7973.010381841077,695434.9896181589,2996.491087958745,357655.50891204126,240797707.81212914,21915228734.29337,910.6677657417024,0.011334830399769518,0.008308538668740905,0.009291445996412533,772814564.1965843,3881356894.23954,5080905017.580969,6631022804.910412,5549129453.365867,4654171458.436125,17261057275.857246,12180152258.27628,9735076476.017094,6.508549888140092e-05,-0.00038255708446960357,-0.0007597213856254115,0.0011013623009703544,-0.0018610836865935454,0.0018823882875480535,-0.002642109673173465,0.359482430292461,-0.0005469782400885914,13.463692372286886,837.0260671452776,1049.653506754673,900.201,0.08724697744142122,0.9127530225585788,21915228734.29337,"Akron, OH"
10460,23786.763290674196,42650.47020932581,9655.165695994796,15244.332404005205,481526056.66016716,822462784.3747987,3805.026530286196,0.3580336211722933,0.38776547451752835,0.22308590762467584,34566601.33940398,113241746.98652752,353462425.25888395,166782178.0470097,154409832.74297354,147808348.3259315,674654436.0488672,321192010.7899833,501270773.58481544,0.09252104673871264,0.06909044418585764,0.4844977514979085,0.3900580589597853,0.09443969253812234,1.5003106198243348,-1.0158128683264263,0.25501563627616064,0.0451731643695259,11.104012923787453,3963.8663844028683,1038.202637505738,6612.562,0.011877365586854963,0.2850567740845191,822462784.3747987,"Alamogordo, NM"
10480,8323.113389038706,19147.526610961297,3312.6566813806685,8777.743318619332,123494875.46163288,469257354.4159992,715.174986143757,0.30298214344619223,0.27399066047282705,0.13307156832707911,16169930.1324616,89060862.73156413,198946063.36359033,100086905.40933733,64993592.7790458,105230792.86402574,364026561.55197346,165080498.18838313,304176856.2276161,0.07990485396312852,0.05064527902167698,0.48180818330302877,0.30250723145905,0.17930095184398098,1.2613654790165931,-0.7795572957135644,0.25590596495266593,0.05480404560072871,10.220873076961352,1546.8656603653728,205.383585764361,3237.667,0.024258151421917337,0.582195634126016,469257354.4159992,"Alamosa, CO"
10500,5078.176309430702,141558.84057336947,2701.0709759207125,60591.300230853005,109946780.28498949,3301695113.0667796,2215.191966565797,0.03463093028883314,0.04267609072658091,0.00992947499897842,125058395.93607688,719007601.8104221,1186121929.0307364,573390141.7730868,698117044.516457,844065997.746499,2457629115.32028,1271507186.2895436,2030187926.7772355,0.01786427238679944,0.009308154580400907,0.12700315957044594,0.06461938608988382,0.0623837734805619,0.27899065473147644,-0.1519874951610305,0.23565760395225377,0.0050871243039548875,11.895715539172457,1608.5839916809432,131.15021806898733,1590.971,0.04936596351520225,0.9506340364847977,3301695113.0667796,"Albany, GA"
10540,12377.340730636944,121454.47796936306,6082.126074392676,56548.644325607325,187659917.90444633,3424433418.2458653,3456.3909635839786,0.09248428999072508,0.09711082963770594,0.01458229078151788,84004839.93793324,661202110.7598078,1454401921.865368,708060716.015458,516763829.6672981,745206950.697741,2679226467.5481243,1224824545.682756,2199608872.563109,0.048126360634008325,0.021676905270899466,0.2712318594750389,0.14898848645624363,0.12224337301879551,0.7265048140643451,-0.45527295458930617,0.24642165275888242,0.008932855746031504,11.804339206326715,2770.099496278167,197.22408555987712,2289.508,0.03430423319758867,0.823301596742128,3424433418.2458653,"Albany, OR"
