outcome,regressors,term,coef,se_hc1,r2,n
psi_acspredict,lnsize,lnsize,0.03400000003846498,0.0032592257185088892,0.495159890002414,691
psi_acspredict,frachighed,frachighed,0.6639999987427387,0.08481320072047994,0.3740648028905039,691
psi_acspredict,lnsize+frachighed,lnsize,0.02541065267457247,0.0021527944510913383,0.5539506113973813,691
psi_acspredict,lnsize+frachighed,frachighed,0.3264075761547089,0.08718098411058384,0.5539506113973813,691
cz_effects_m1,lnsize,lnsize,0.06248729379016508,0.004683678773452083,0.6246410801556546,691
cz_effects_m1,frachighed,frachighed,1.1488212209879296,0.12504276893330957,0.41819137740722423,691
cz_effects_m1,lnsize+frachighed,lnsize,0.049594891717234225,0.003011051240335154,0.6741080861829701,691
cz_effects_m1,lnsize+frachighed,frachighed,0.48992985533772315,0.12193751415122447,0.6741080861829701,691
